Parameter,Specification
Category temp. range,-40 ℃ to +105 ℃
Rated voltage range,6.3 V to 100 V
Capacitance range,4.7 μF to 8200 μF
Capacitance tolerance,±20 % (120 Hz / +20℃)
Leakage current,I ≦ 0.01 CV (μA) After 2 minutes
Dissipation factor (tan δ) 6.3V,0.22
Dissipation factor (tan δ) 10V,0.19
Dissipation factor (tan δ) 16V,0.16
Dissipation factor (tan δ) 25V,0.14
Dissipation factor (tan δ) 35V,0.12
Dissipation factor (tan δ) 50V,0.10
Dissipation factor (tan δ) 63V,0.09
Dissipation factor (tan δ) 100V,0.08
Endurance Duration ø5×11/ø6.3×11.2,5000 h
Endurance Duration ø8×11.5/ø10×12.5,6000 h (✽ Only EEUFR1V331U (ø10×12.5) 5000 h)
Endurance Duration ø8×15/ø10×16,8000 h
Endurance Duration ø8×20,9000 h
Endurance Duration ø10×20 to ø10×25/ø12.5×20 to ø12.5×35/ø16×20 to ø16×25,10000 h
