Parameter,Specification
Category temp. range,-40 ℃ to +105 ℃
Rated voltage range,6.3 V to 100 V
Capacitance range,27 μF to 10000 μF
Capacitance tolerance,±20 % (120 Hz / +20℃)
Leakage current,I ≦ 0.01 CV (μA) After 2 minutes
Endurance Duration,ø5×11 ø6.3×11.2 : 5000 h|ø8×11.5 ø10×12.5 : 6000 h|ø8×15 ø10×16 : 8000 h ø8×20 : 9000 h|ø10×20 to ø10×25 ø12.5×20 to ø12.5×35 ø16×20 to ø16×25 : 10000 h
Capacitance change,Within ±25 % of the initial value (6.3 V to 10 V : ±30 %)
Dissipation factor (tan δ),≦ 200 % of the initial limit
DC leakage current,Within the initial limit
Shelf life,After storage for 1000 h at +105 ℃±2 ℃ with no voltage applied and then being stabilized at +20 ℃ capacitors shall meet the limits specified in endurance
