Parameter,Specification
Category temp. range,-40 ℃ to +125 ℃
Rated voltage range,10 V to 63 V
Capacitance range,2.2 μF to 4700 μF
Capacitance tolerance,±20 % (120 Hz / +20℃)
Leakage current,I ≦ 0.01 CV or 3 (μA) After 2 minutes (Whichever is greater)
Endurance test conditions,After following life test with DC voltage and +125 ℃±2 ℃ ripple current value applied for 2000 h
Capacitance change after endurance,Within ±30 % of the initial value
Dissipation factor after endurance,≦ 300 % of the initial limit
DC leakage current after endurance,Within the initial limit
Shelf life conditions,After storage for 1000 h at +125 ℃±2 ℃ with no voltage applied
Heat cycle,1000 cycle –40 ℃ to +125 ℃
Standards compliance,AEC-Q200 compliant RoHS compliant
