Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
6.3,82,0.22,5,7,3.558,0.25,510,469.29,107.14,372.86,516.6
6.3,220,0.22,5,11,1.326,0.14,800,736.69,287.77,584.17,1386
6.3,220,0.22,6.3,7,1.326,0.13,720,663.02,258.99,525.76,1386
6.3,470,0.22,6.3,11,0.621,0.067,1140,1071.1,626.37,876.92,2961
6.3,470,0.22,8,7.5,0.621,0.065,1080,1014.73,593.41,830.77,2961
6.3,680,0.22,8,9,0.429,0.049,1360,1277.8,747.25,1046.15,4284
6.3,820,0.22,8,10.8,0.356,0.042,1600,1532.93,958.08,1274.25,5166
6.3,1000,0.22,8,16,0.318,0.027,2010,1925.75,1203.59,1600.78,6300
6.3,1000,0.22,10,9,0.318,0.036,1540,1475.45,922.16,1226.47,6300
6.3,1200,0.22,10,12.5,0.265,0.025,1970,1887.43,1179.64,1568.92,7560
8,75,0.2,5,7,3.537,0.25,510,469.29,107.14,372.86,600
8,200,0.2,5,11,1.326,0.14,800,736.69,287.77,584.17,1600
8,200,0.2,6.3,7,1.326,0.13,720,663.02,258.99,525.76,1600
8,390,0.2,8,7.5,0.68,0.065,1080,1014.73,593.41,830.77,3120
8,430,0.2,6.3,11,0.617,0.067,1140,1071.1,626.37,876.92,3440
8,620,0.2,8,9,0.428,0.049,1360,1277.8,747.25,1046.15,4960
8,750,0.2,8,10.8,0.354,0.042,1600,1503.3,879.12,1230.77,6000
8,910,0.2,8,16,0.291,0.027,2010,1925.75,1203.59,1600.78,7280
8,910,0.2,10,9,0.291,0.036,1540,1475.45,922.16,1226.47,7280
8,1100,0.2,10,12.5,0.265,0.025,1970,1887.43,1179.64,1568.92,8800
10,68,0.19,5,7,3.706,0.25,510,469.29,107.14,372.86,680
10,180,0.19,5,11,1.4,0.14,800,736.69,287.77,584.17,1800
10,180,0.19,6.3,7,1.4,0.13,720,663.02,258.99,525.76,1800
10,330,0.19,8,7.5,0.764,0.065,1080,1014.73,593.41,830.77,3300
10,390,0.19,6.3,11,0.646,0.067,1140,1071.1,626.37,876.92,3900
10,560,0.19,8,9,0.45,0.049,1360,1277.8,747.25,1046.15,5600
10,680,0.19,8,10.8,0.371,0.042,1600,1503.3,879.12,1230.77,6800
10,820,0.19,8,16,0.307,0.027,2010,1925.75,1203.59,1600.78,8200
10,820,0.19,10,9,0.307,0.036,1540,1475.45,922.16,1226.47,8200
10,1000,0.19,10,12.5,0.279,0.025,1970,1887.43,1179.64,1568.92,10000
16,390,0.16,8,9,0.544,0.049,1360,1277.8,747.25,1046.15,6240
16,470,0.16,8,10.8,0.452,0.042,1600,1503.3,879.12,1230.77,7520
16,560,0.16,8,16,0.379,0.027,2010,1888.52,1104.4,1546.15,8960
16,560,0.16,10,9,0.379,0.036,1540,1446.92,846.15,1184.62,8960
16,680,0.16,10,12.5,0.312,0.025,1970,1850.93,1082.42,1515.38,10880
16,1000,0.16,10,16,0.239,0.019,2480,2376.05,1485.03,1975.09,16000
25,220,0.14,8,9,0.844,0.049,1360,1252.37,489.21,993.09,5500
25,270,0.14,8,10.8,0.688,0.042,1600,1473.38,575.54,1168.35,6750
25,390,0.14,8,16,0.476,0.027,2010,1888.52,1104.4,1546.15,9750
25,390,0.14,10,9,0.476,0.036,1540,1446.92,846.15,1184.62,9750
25,470,0.14,10,12.5,0.395,0.025,1970,1850.93,1082.42,1515.38,11750
25,680,0.14,10,16,0.273,0.019,2480,2330.11,1362.64,1907.69,17000
35,150,0.12,8,9,1.061,0.049,1360,1252.37,489.21,993.09,5250
35,180,0.12,8,10.8,0.884,0.042,1600,1473.38,575.54,1168.35,6300
35,220,0.12,8,16,0.723,0.027,2010,1850.94,723.02,1467.73,7700
35,220,0.12,10,9,0.723,0.036,1540,1418.13,553.96,1124.53,7700
35,270,0.12,10,12.5,0.589,0.025,1970,1814.1,708.63,1438.53,9450
35,390,0.12,10,16,0.408,0.019,2480,2330.11,1362.64,1907.69,13650
400,4.7,0.25,8,9,70.547,,50,46.25,25,38.5,1880
400,6.8,0.25,8,10.8,48.761,,70,64.75,35,53.9,2720
400,7.5,0.25,8,10.8,44.21,,75,69.38,37.5,57.75,3000
400,8.2,0.25,8,16,40.436,,85,78.62,42.5,65.45,3279.9999999999995
400,8.2,0.25,10,9,40.436,,85,78.62,42.5,65.45,3279.9999999999995
400,10,0.25,8,16,33.157,,90,83.25,45,69.3,4000
400,10,0.25,8,16,33.157,,90,83.33,55.56,69.44,4000
400,10,0.25,10,12.5,33.157,,100,92.5,50,77,4000
400,10,0.25,10,12.5,33.157,,100,92.59,61.73,77.16,4000
400,12,0.25,8,20,27.631,,120,111,60,92.4,4800
400,12,0.25,8,20,27.631,,120,111.11,74.07,92.59,4800
400,12,0.25,10,12.5,27.631,,110,101.75,55,84.7,4800
400,12,0.25,10,12.5,27.631,,110,101.85,67.9,84.88,4800
400,15,0.25,8,20,22.105,,130,120.25,65,100.1,6000
400,15,0.25,8,20,22.105,,130,120.37,80.25,100.31,6000
400,15,0.25,10,16,22.105,,150,138.75,75,115.5,6000
400,15,0.25,10,16,22.105,,150,138.89,92.59,115.74,6000
400,18,0.25,10,16,18.421,,150,138.75,75,115.5,7200
400,18,0.25,10,16,18.421,,150,138.89,92.59,115.74,7200
400,22,0.25,12.5,16,15.072,,180,166.5,90,138.6,8800
400,22,0.25,12.5,16,15.072,,180,166.67,111.11,138.89,8800
400,24,0.25,12.5,16,13.816,,190,175.75,95,146.3,9600
400,24,0.25,12.5,16,13.816,,190,175.93,117.28,146.6,9600
