Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,VC
400,56,0.2,16,20,4.737,1100,1000,500,750,650,400,400,22400
400,56,0.2,16,20,4.737,1000,950,500,750,650,400,400,22400
400,68,0.2,18,20,3.901,1254,1140,570,855,741,456,456,27200
400,68,0.2,18,20,3.901,1140,1083,570,855,741,456,456,27200
400,75,0.2,16,25,3.537,1364,1240,620,930,806,496,496,30000
400,75,0.2,16,25,3.537,1240,1178,620,930,806,496,496,30000
400,100,0.2,16,30,2.653,1650,1500,750,1125,975,600,600,40000
400,100,0.2,16,30,2.653,1500,1425,750,1125,975,600,600,40000
400,100,0.2,18,25,2.653,1606,1460,730,1095,949,584,584,40000
400,100,0.2,18,25,2.653,1460,1387,730,1095,949,584,584,40000
400,120,0.2,16,35,2.21,1892,1720,860,1290,1118,688,688,48000
400,120,0.2,16,35,2.21,1720,1634,860,1290,1118,688,688,48000
400,130,0.2,16,40,2.04,2046,1860,930,1395,1209,744,744,52000
400,130,0.2,16,40,2.04,1860,1767,930,1395,1209,744,744,52000
400,130,0.2,18,30,2.04,1914,1740,870,1305,1131,696,696,52000
400,130,0.2,18,30,2.04,1740,1653,870,1305,1131,696,696,52000
400,150,0.2,16,45,1.768,2266,2060,1030,1545,1339,824,824,60000
400,150,0.2,16,45,1.768,2060,1957,1030,1545,1339,824,824,60000
400,160,0.2,18,35,1.658,2200,2000,1000,1500,1300,800,800,64000
400,160,0.2,18,35,1.658,2000,1900,1000,1500,1300,800,800,64000
400,180,0.2,18,40,1.474,2442,2220,1110,1665,1443,888,888,72000
400,180,0.2,18,40,1.474,2220,2109,1110,1665,1443,888,888,72000
400,190,0.2,18,45,1.396,2596,2360,1180,1770,1534,944,944,76000
400,190,0.2,18,45,1.396,2360,2242,1180,1770,1534,944,944,76000
400,220,0.2,18,50,1.206,2882,2620,1310,1965,1703,1048,1048,88000
400,220,0.2,18,50,1.206,2620,2489,1310,1965,1703,1048,1048,88000
420,51,0.25,16,20,6.501,1034,940,470,705,611,376,376,21420
420,51,0.25,16,20,6.501,940,893,470,705,611,376,376,21420
420,68,0.25,16,25,4.876,1276,1160,580,870,754,464,464,28560
420,68,0.25,16,25,4.876,1160,1102,580,870,754,464,464,28560
420,68,0.25,18,20,4.876,1210,1100,550,825,715,440,440,28560
420,68,0.25,18,20,4.876,1100,1045,550,825,715,440,440,28560
420,91,0.25,16,30,3.644,1540,1400,700,1050,910,560,560,38220
420,91,0.25,16,30,3.644,1400,1330,700,1050,910,560,560,38220
420,91,0.25,18,25,3.644,1518,1380,690,1035,897,552,552,38220
420,91,0.25,18,25,3.644,1380,1311,690,1035,897,552,552,38220
420,110,0.25,16,35,3.014,1760,1600,800,1200,1040,640,640,46200
420,110,0.25,16,35,3.014,1600,1520,800,1200,1040,640,640,46200
420,120,0.25,18,30,2.763,1804,1640,820,1230,1066,656,656,50400
420,120,0.25,18,30,2.763,1640,1558,820,1230,1066,656,656,50400
420,130,0.25,16,40,2.551,2002,1820,910,1365,1183,728,728,54600
420,130,0.25,16,40,2.551,1820,1729,910,1365,1183,728,728,54600
420,150,0.25,18,35,2.21,2090,1900,950,1425,1235,760,760,63000
420,150,0.25,18,35,2.21,1900,1805,950,1425,1235,760,760,63000
420,150,0.25,16,45,2.21,2222,2020,1010,1515,1313,808,808,63000
420,150,0.25,16,45,2.21,2020,1919,1010,1515,1313,808,808,63000
420,160,0.25,18,40,2.072,2266,2060,1030,1545,1339,824,824,67200
420,160,0.25,18,40,2.072,2060,1957,1030,1545,1339,824,824,67200
420,180,0.25,18,45,1.842,2486,2260,1130,1695,1469,904,904,75600
420,180,0.25,18,45,1.842,2260,2147,1130,1695,1469,904,904,75600
420,190,0.25,18,50,1.745,2640,2400,1200,1800,1560,960,960,79800
420,190,0.25,18,50,1.745,2400,2280,1200,1800,1560,960,960,79800
450,47,0.25,16,20,7.055,990,900,450,675,585,360,360,21150
450,47,0.25,16,20,7.055,900,855,450,675,585,360,360,21150
450,62,0.25,16,25,5.348,1232,1120,560,840,728,448,448,27900
450,62,0.25,16,25,5.348,1120,1064,560,840,728,448,448,27900
450,62,0.25,18,20,5.348,1166,1060,530,795,689,424,424,27900
450,62,0.25,18,20,5.348,1060,1007,530,795,689,424,424,27900
450,82,0.25,16,30,4.044,1474,1340,670,1005,871,536,536,36900
450,82,0.25,16,30,4.044,1340,1273,670,1005,871,536,536,36900
450,82,0.25,18,25,4.044,1452,1320,660,990,858,528,528,36900
450,82,0.25,18,25,4.044,1320,1254,660,990,858,528,528,36900
450,100,0.25,16,35,3.316,1716,1560,780,1170,1014,624,624,45000
450,100,0.25,16,35,3.316,1560,1482,780,1170,1014,624,624,45000
450,110,0.25,18,30,3.014,1738,1580,790,1185,1027,632,632,49500
450,110,0.25,18,30,3.014,1580,1501,790,1185,1027,632,632,49500
450,120,0.25,16,40,2.763,1914,1740,870,1305,1131,696,696,54000
450,120,0.25,16,40,2.763,1740,1653,870,1305,1131,696,696,54000
450,130,0.25,18,35,2.551,1980,1800,900,1350,1170,720,720,58500
450,130,0.25,18,35,2.551,1800,1710,900,1350,1170,720,720,58500
450,130,0.25,16,45,2.551,2090,1900,950,1425,1235,760,760,58500
450,130,0.25,16,45,2.551,1900,1805,950,1425,1235,760,760,58500
450,160,0.25,18,40,2.072,2244,2040,1020,1530,1326,816,816,72000
450,160,0.25,18,40,2.072,2040,1938,1020,1530,1326,816,816,72000
450,180,0.25,18,45,1.842,2464,2240,1120,1680,1456,896,896,81000
450,180,0.25,18,45,1.842,2240,2128,1120,1680,1456,896,896,81000
450,190,0.25,18,50,1.745,2640,2400,1200,1800,1560,960,960,85500
450,190,0.25,18,50,1.745,2400,2280,1200,1800,1560,960,960,85500
