Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,VC
160,47,0.2,10,16,5.644,650,546,260,390,338,208,208,7520
160,68,0.2,10,20,3.901,800,672,320,480,416,256,256,10880
160,82,0.2,16,16,3.235,1350,1134,540,810,702,432,432,13120
160,100,0.2,10,25,2.653,1193,1060,530,795,689,424,424,16000
160,100,0.2,12.5,20,2.653,1350,1200,600,900,780,480,480,16000
160,100,0.2,18,16,2.653,1553,1380,690,1035,897,552,552,16000
160,120,0.2,10,30,2.21,1395,1240,620,930,806,496,496,19200
160,150,0.2,10,35,1.768,1575,1400,700,1050,910,560,560,24000
160,150,0.2,12.5,25,1.768,1643,1460,730,1095,949,584,584,24000
160,150,0.2,14.5,20,1.768,1800,1600,800,1200,1040,640,640,24000
160,180,0.2,10,40,1.474,1800,1600,800,1200,1040,640,640,28800
160,180,0.2,12.5,30,1.474,1958,1740,870,1305,1131,696,696,28800
160,180,0.2,16,20,1.474,1800,1600,800,1200,1040,640,640,28800
160,220,0.2,10,50,1.206,2250,2000,1000,1500,1300,800,800,35200
160,220,0.2,12.5,35,1.206,2250,2000,1000,1500,1300,800,800,35200
160,220,0.2,14.5,25,1.206,2003,1780,890,1335,1157,712,712,35200
160,220,0.2,18,20,1.206,2228,1980,990,1485,1287,792,792,35200
160,270,0.2,12.5,40,0.982,2240,2128,1120,1680,1456,896,896,43200
160,270,0.2,14.5,30,0.982,2200,2090,1100,1650,1430,880,880,43200
160,270,0.2,16,25,0.982,2000,1900,1000,1500,1300,800,800,43200
160,330,0.2,12.5,45,0.804,2480,2356,1240,1860,1612,992,992,52800
160,330,0.2,14.5,35,0.804,2440,2318,1220,1830,1586,976,976,52800
160,330,0.2,16,30,0.804,2400,2280,1200,1800,1560,960,960,52800
160,330,0.2,18,25,0.804,2360,2242,1180,1770,1534,944,944,52800
160,390,0.2,14.5,40,0.68,2760,2622,1380,2070,1794,1104,1104,62400
160,390,0.2,16,35,0.68,2760,2622,1380,2070,1794,1104,1104,62400
160,470,0.2,14.5,45,0.564,3040,2888,1520,2280,1976,1216,1216,75200
160,470,0.2,16,40,0.564,3100,2945,1550,2325,2015,1240,1240,75200
160,470,0.2,18,30,0.564,3100,2945,1550,2325,2015,1240,1240,75200
