Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
10,100,0.3,5,11,3.979,5000,0.5,2,5,2.5,EEUEB1A101S(),85.8,82.5,66,79.2,56.1,200,2000,1000
10,220,0.3,6.3,11.2,1.809,5000,0.5,2.5,5,2.5,EEUEB1A221S(),130,125,100,120,85,200,2000,2200
10,220,0.3,6.3,11.2,1.809,5000,0.5,2.5,5,2.5,EEUEB1A221S(),,118,100,106,65,200,2000,2200
10,470,0.3,8,15,0.847,10000,0.6,3.5,5,,EEUEB1A471(),361.4,347.5,278,333.6,236.3,200,1000,4700
10,470,0.3,8,11.5,0.847,5000,0.6,3.5,5,,EEUEB1A471S(),234,225,180,216,153,200,1000,4700
10,2200,0.32,12.5,20,0.217,10000,0.6,5,5,,EEUEB1A222(),621,594,540,567,513,200,500,22000
10,3300,0.34,12.5,25,0.161,10000,0.6,5,5,,EEUEB1A332(),922.3,882.2,802,842.1,761.9,200,500,33000
16,1000,0.25,10,20,0.358,10000,0.6,5,5,,EEUEB1C102(),494.5,473,430,451.5,408.5,200,500,16000
16,2200,0.27,12.5,25,0.187,10000,0.6,5,5,,EEUEB1C222(),811.9,776.6,706,741.3,670.7,200,500,35200
25,47,0.22,5,11,6.208,5000,0.5,2,5,2.5,EEUEB1E470S(),71.5,68.75,55,66,46.75,200,2000,1175
25,100,0.22,6.3,11.2,2.918,5000,0.5,2.5,5,2.5,EEUEB1E101S(),123.5,118.75,95,114,80.75,200,2000,2500
25,220,0.22,8,11.5,1.326,5000,0.6,3.5,5,,EEUEB1E221S(),162.5,156.25,125,150,106.25,200,1000,5500
25,220,0.22,8,11.5,1.326,5000,0.6,3.5,5,,EEUEB1E221S(),,147.5,125,132.5,81.25,200,1000,5500
25,330,0.22,8,15,0.884,10000,0.6,3.5,5,,EEUEB1E331(),331.5,318.75,255,306,216.75,200,1000,8250
25,470,0.22,10,16,0.621,10000,0.6,5,5,,EEUEB1E471(),417.3,401.25,321,385.2,272.85,200,500,11750
25,1000,0.22,12.5,20,0.318,10000,0.6,5,5,,EEUEB1E102(),572.7,547.8,498,522.9,473.1,200,500,25000
35,33,0.18,5,11,7.234,5000,0.5,2,5,2.5,EEUEB1V330S(),59.8,57.5,46,55.2,39.1,200,2000,1155
35,220,0.18,8,15,1.085,10000,0.6,3.5,5,,EEUEB1V221(),256.1,246.25,197,236.4,167.45,200,1000,7700
35,220,0.18,8,15,1.085,10000,0.6,3.5,5,,EEUEB1V221(),,232.46,197,208.82,128.05,200,1000,7700
35,330,0.18,10,16,0.723,10000,0.6,5,5,,EEUEB1V331(),361.4,347.5,278,333.6,236.3,200,500,11550
35,470,0.18,10,20,0.508,10000,0.6,5,5,,EEUEB1V471(),453.7,436.25,349,418.8,296.65,200,500,16450
35,1000,0.18,12.5,25,0.265,10000,0.6,5,5,,EEUEB1V102(),673.9,644.6,586,615.3,556.7,200,500,35000
50,2.2,0.15,5,11,90.429,5000,0.5,2,5,2.5,EEUEB1H2R2S(),24.75,23.25,15,21,11.25,200,2000,110.00000000000001
50,3.3,0.15,5,11,60.286,5000,0.5,2,5,2.5,EEUEB1H3R3S(),29.7,27.9,18,25.2,13.5,200,2000,165
50,4.7,0.15,5,11,42.328,5000,0.5,2,5,2.5,EEUEB1H4R7S(),29.7,27.9,18,25.2,13.5,200,2000,235
50,10,0.15,5,11,19.894,5000,0.5,2,5,2.5,EEUEB1H100S(),44.55,41.85,27,37.8,20.25,200,2000,500
50,22,0.15,5,11,9.043,5000,0.5,2,5,2.5,EEUEB1H220S(),50.7,48.75,39,46.8,33.15,200,2000,1100
50,47,0.15,6.3,11.2,4.233,5000,0.5,2.5,5,2.5,EEUEB1H470S(),79.3,76.25,61,73.2,51.85,200,2000,2350
50,100,0.15,8,11.5,1.989,5000,0.6,3.5,5,,EEUEB1H101S(),128.7,123.75,99,118.8,84.15,200,1000,5000
50,220,0.15,10,16,0.904,10000,0.6,5,5,,EEUEB1H221(),304.2,292.5,234,280.8,198.9,200,500,11000
50,220,0.15,10,16,0.904,10000,0.6,5,5,,EEUEB1H221(),,276.12,234,248.04,152.1,200,500,11000
50,330,0.15,10,20,0.603,10000,0.6,5,5,,EEUEB1H331(),380.9,366.25,293,351.6,249.05,200,500,16500
50,470,0.15,12.5,20,0.423,10000,0.6,5,5,,EEUEB1H471(),481,462.5,370,444,314.5,200,500,23500
63,2.2,0.12,5,11,72.343,5000,0.5,2,5,2.5,EEUEB1J2R2S(),26.4,24.8,16.5,22.4,12,200,2000,138.60000000000002
63,3.3,0.12,5,11,48.229,5000,0.5,2,5,2.5,EEUEB1J3R3S(),33,31,20,28,15,200,2000,207.89999999999998
63,4.7,0.12,5,11,33.863,5000,0.5,2,5,2.5,EEUEB1J4R7S(),37.95,35.65,23,32.2,17.25,200,2000,296.1
63,10,0.12,5,11,15.916,5000,0.5,2,5,2.5,EEUEB1J100S(),49.5,46.5,30,42,22.5,200,2000,630
63,22,0.12,6.3,11.2,7.234,5000,0.5,2.5,5,2.5,EEUEB1J220S(),52,50,40,48,34,200,2000,1386
63,33,0.12,6.3,11.2,4.823,5000,0.5,2.5,5,2.5,EEUEB1J330S(),65,62.5,50,60,42.5,200,2000,2079
63,47,0.12,8,15,3.386,10000,0.6,3.5,5,,EEUEB1J470(),122.2,117.5,94,112.8,79.9,200,1000,2961
63,47,0.12,8,11.5,3.386,5000,0.6,3.5,5,,EEUEB1J470S(),104,100,80,96,68,200,1000,2961
63,100,0.12,8,15,1.592,10000,0.6,3.5,5,,EEUEB1J101(),234,225,180,216,153,200,1000,6300
63,220,0.12,10,20,0.723,10000,0.6,5,5,,EEUEB1J221(),379.6,365,292,350.4,248.2,200,500,13860
63,220,0.12,10,20,0.723,10000,0.6,5,5,,EEUEB1J221(),,344.56,292,309.52,189.8,200,500,13860
63,330,0.12,12.5,20,0.482,10000,0.6,5,5,,EEUEB1J331(),495.3,476.25,381,457.2,323.85,200,500,20790
63,470,0.12,12.5,25,0.339,10000,0.6,5,5,,EEUEB1J471(),590.2,567.5,454,544.8,385.9,200,500,29610
160,22,0.15,10,20,9.043,5000,0.6,5,5,,EEUEB2C220(),611,587.5,470,564,399.5,200,500,3520
160,33,0.15,10,20,6.029,5000,0.6,5,5,,EEUEB2C330(),611,587.5,470,564,399.5,200,500,5280
160,47,0.15,12.5,20,4.233,5000,0.6,5,5,,EEUEB2C470(),780,750,600,720,510,200,500,7520
160,68,0.15,12.5,25,2.926,5000,0.6,5,5,,EEUEB2C680(),975,937.5,750,900,637.5,200,500,10880
160,68,0.15,16,20,2.926,5000,0.8,7.5,7.5,,EEUEB2C680S(),975,937.5,750,900,637.5,100,250,10880
160,100,0.15,16,25,1.989,5000,0.8,7.5,7.5,,EEUEB2C101(),1378,1325,1060,1272,901,100,250,16000
160,100,0.15,18,20,1.989,5000,0.8,7.5,7.5,,EEUEB2C101S(),1378,1325,1060,1272,901,100,250,16000
160,150,0.15,16,31.5,1.326,5000,0.8,7.5,,,EEUEB2C151,1664,1600,1280,1536,1088,100,,24000
160,150,0.15,18,25,1.326,5000,0.8,7.5,7.5,,EEUEB2C151S(),1664,1600,1280,1536,1088,100,250,24000
160,220,0.15,16,31.5,0.904,5000,0.8,7.5,,,EEUEB2C221,1664,1600,1280,1536,1088,100,,35200
160,220,0.15,16,31.5,0.904,5000,0.8,7.5,,,EEUEB2C221,,1510.4,1280,1356.8,832,100,,35200
