Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,,Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Straight leads,Taping,VC
160,22,1.786,1.447,10,20,1,0.15,9.043,8000,0.6,5,5,EEUED2C220( ),500,450,200,350,276,150,200,500,3520
160,33,1.191,0.965,10,20,1,0.15,6.029,8000,0.6,5,5,EEUED2C330( ),580,522,232,406,320.16,174,200,500,5280
160,47,0.836,0.677,10,20,1,0.15,4.233,8000,0.6,5,5,EEUED2C470( ),750,675,300,525,414,225,200,500,7520
160,68,0.578,0.468,12.5,20,1,0.15,2.926,10000,0.6,5,5,EEUED2C680( ),950,855,380,665,524.4,285,200,500,10880
160,82,0.479,0.388,12.5,25,1,0.15,2.426,10000,0.6,5,5,EEUED2C820( ),1060,954,424,742,585.12,318,200,500,13120
160,100,0.497,0.404,12.5,25,1,0.15,1.989,10000,0.6,5,5,EEUED2C101( ),1170,1054.05,527.03,880.14,700.95,411.08,200,500,16000
160,100,0.497,0.404,16,20,1,0.15,1.989,10000,0.8,7.5,7.5,EEUED2C101S( ),1280,1153.15,576.58,962.88,766.85,449.73,100,250,16000
160,150,0.332,0.269,16,25,1,0.15,1.326,10000,0.8,7.5,7.5,EEUED2C151( ),1400,1261.26,630.63,1053.15,838.74,491.89,100,250,24000
160,150,0.332,0.269,18,20,1,0.15,1.326,10000,0.8,7.5,7.5,EEUED2C151S( ),1400,1261.26,630.63,1053.15,838.74,491.89,100,250,24000
160,220,0.226,0.183,16,31.5,1,0.15,0.904,10000,0.8,7.5,,EEUED2C221,1700,1531.53,765.77,1278.83,1018.47,597.3,100,,35200
160,220,0.226,0.183,18,25,1,0.15,0.904,10000,0.8,7.5,7.5,EEUED2C221S( ),1500,1351.35,675.68,1128.38,898.65,527.03,100,250,35200
160,330,0.151,0.122,18,31.5,1,0.15,0.603,10000,0.8,7.5,,EEUED2C331,2000,1801.8,900.9,1504.5,1198.2,702.7,50,,52800
200,22,1.786,1.447,10,20,1,0.15,9.043,8000,0.6,5,5,EEUED2D220( ),600,540,240,420,331.2,180,200,500,4400
200,33,1.191,0.965,10,20,1,0.15,6.029,8000,0.6,5,5,EEUED2D330( ),650,585,260,455,358.8,195,200,500,6600
200,47,0.836,0.677,12.5,20,1,0.15,4.233,10000,0.6,5,5,EEUED2D470( ),790,711,316,553,436.08,237,200,500,9400
200,68,0.578,0.468,12.5,25,1,0.15,2.926,10000,0.6,5,5,EEUED2D680( ),950,855,380,665,524.4,285,200,500,13600
200,68,0.578,0.468,16,20,1,0.15,2.926,10000,0.8,7.5,7.5,EEUED2D680S( ),1000,900,400,700,552,300,100,250,13600
200,82,0.479,0.388,16,20,1,0.15,2.426,10000,0.8,7.5,7.5,EEUED2D820S( ),1100,990,440,770,607.2,330,100,250,16400
200,100,0.497,0.404,16,25,1,0.15,1.989,10000,0.8,7.5,7.5,EEUED2D101( ),1300,1171.17,585.59,977.93,778.83,456.76,100,250,20000
200,100,0.497,0.404,18,20,1,0.15,1.989,10000,0.8,7.5,7.5,EEUED2D101S( ),1280,1153.15,576.58,962.88,766.85,449.73,100,250,20000
200,150,0.332,0.269,16,25,1,0.15,1.326,10000,0.8,7.5,7.5,EEUED2D151( ),1400,1261.26,630.63,1053.15,838.74,491.89,100,250,30000
200,220,0.226,0.183,18,31.5,1,0.15,0.904,10000,0.8,7.5,,EEUED2D221,2000,1801.8,900.9,1504.5,1198.2,702.7,50,,44000
200,330,0.151,0.122,18,40,1,0.15,0.603,10000,0.8,7.5,,EEUED2D331,2400,2162.16,1081.08,1805.41,1437.84,843.24,50,,66000
250,22,1.786,1.447,10,20,1,0.15,9.043,8000,0.6,5,5,EEUED2E220( ),560,504,224,392,309.12,168,200,500,5500
250,33,1.191,0.965,12.5,20,1,0.15,6.029,10000,0.6,5,5,EEUED2E330( ),710,639,284,497,391.92,213,200,500,8250
250,47,0.836,0.677,12.5,25,1,0.15,4.233,10000,0.6,5,5,EEUED2E470( ),920,828,368,644,507.84,276,200,500,11750
250,47,0.836,0.677,16,20,1,0.15,4.233,10000,0.8,7.5,7.5,EEUED2E470S( ),990,891,396,693,546.48,297,100,250,11750
250,68,0.578,0.468,16,20,1,0.15,2.926,10000,0.8,7.5,7.5,EEUED2E680S( ),1000,900,400,700,552,300,100,250,17000
250,82,0.479,0.388,16,25,1,0.15,2.426,10000,0.8,7.5,7.5,EEUED2E820( ),1200,1080,480,840,662.4,360,100,250,20500
250,82,0.479,0.388,18,20,1,0.15,2.426,10000,0.8,7.5,7.5,EEUED2E820S( ),1200,1080,480,840,662.4,360,100,250,20500
250,100,0.497,0.404,16,31.5,1,0.15,1.989,10000,0.8,7.5,,EEUED2E101,1500,1351.35,675.68,1128.38,898.65,527.03,100,,25000
250,100,0.497,0.404,18,25,1,0.15,1.989,10000,0.8,7.5,7.5,EEUED2E101S( ),1500,1351.35,675.68,1128.38,898.65,527.03,100,250,25000
250,150,0.332,0.269,18,31.5,1,0.15,1.326,10000,0.8,7.5,,EEUED2E151,1800,1621.62,810.81,1354.05,1078.38,632.43,50,,37500
250,220,0.226,0.183,18,40,1,0.15,0.904,10000,0.8,7.5,,EEUED2E221,2100,1891.89,945.95,1579.73,1258.11,737.84,50,,55000
350,10,5.24,4.244,10,20,1,0.2,26.526,8000,0.6,5,5,EEUED2V100( ),350,315,140,245,193.2,105,200,500,3500
350,22,2.382,1.929,12.5,20,1,0.2,12.057,10000,0.6,5,5,EEUED2V220( ),480,432,192,336,264.96,144,200,500,7700
350,33,1.588,1.286,16,20,1,0.2,8.038,10000,0.8,7.5,7.5,EEUED2V330S( ),640,576,256,448,353.28,192,100,250,11550
350,47,1.115,0.903,16,25,1,0.2,5.644,10000,0.8,7.5,7.5,EEUED2V470( ),800,720,320,560,441.6,240,100,250,16450
350,47,1.115,0.903,18,20,1,0.2,5.644,10000,0.8,7.5,7.5,EEUED2V470S( ),800,720,320,560,441.6,240,100,250,16450
350,68,0.771,0.624,16,31.5,1,0.2,3.901,10000,0.8,7.5,,EEUED2V680,1100,990,440,770,607.2,330,100,,23800
350,68,0.771,0.624,18,25,1,0.2,3.901,10000,0.8,7.5,7.5,EEUED2V680S( ),1000,900,400,700,552,300,100,250,23800
350,82,0.639,0.518,18,25,1,0.2,3.235,10000,0.8,7.5,7.5,EEUED2V820S( ),1100,990,440,770,607.2,330,100,250,28700
350,100,0.663,0.538,18,31.5,1,0.2,2.653,10000,0.8,7.5,,EEUED2V101,1200,1081.08,540.54,902.7,718.92,421.62,50,,35000
400,10,6.288,5.093,10,20,1,0.24,31.831,8000,0.6,5,5,EEUED2G100( ),300,270,120,210,165.6,90,200,500,4000
400,15,4.192,3.395,12.5,20,1,0.24,21.221,10000,0.6,5,5,EEUED2G150( ),410,369,164,287,226.32,123,200,500,6000
400,22,2.858,2.315,12.5,25,1,0.24,14.469,10000,0.6,5,5,EEUED2G220( ),500,450,200,350,276,150,200,500,8800
400,22,2.858,2.315,16,20,1,0.24,14.469,10000,0.8,7.5,7.5,EEUED2G220S( ),600,540,240,420,331.2,180,100,250,8800
400,33,1.905,1.543,16,20,1,0.24,9.646,10000,0.8,7.5,7.5,EEUED2G330S( ),730,657,292,511,402.96,219,100,250,13200
400,47,1.338,1.084,16,25,1,0.24,6.773,10000,0.8,7.5,7.5,EEUED2G470( ),840,756,336,588,463.68,252,100,250,18800
400,47,1.338,1.084,18,20,1,0.24,6.773,10000,0.8,7.5,7.5,EEUED2G470S( ),840,756,336,588,463.68,252,100,250,18800
400,68,0.925,0.749,18,31.5,1,0.24,4.681,10000,0.8,7.5,,EEUED2G680,1200,1080,480,840,662.4,360,50,,27200
400,82,0.767,0.621,18,40,1,0.24,3.882,10000,0.8,7.5,,EEUED2G820,1500,1350,600,1050,828,450,50,,32800
450,10,6.288,5.093,12.5,20,1,0.24,31.831,10000,0.6,5,5,EEUED2W100( ),350,315,140,245,193.2,105,200,500,4500
450,15,4.192,3.395,12.5,25,1,0.24,21.221,10000,0.6,5,5,EEUED2W150( ),560,504,224,392,309.12,168,200,500,6750
450,22,2.858,2.315,16,20,1,0.24,14.469,10000,0.8,7.5,7.5,EEUED2W220S( ),680,612,272,476,375.36,204,100,250,9900
450,33,1.905,1.543,16,31.5,1,0.24,9.646,10000,0.8,7.5,,EEUED2W330,850,765,340,595,469.2,255,100,,14850
450,33,1.905,1.543,18,25,1,0.24,9.646,10000,0.8,7.5,7.5,EEUED2W330S( ),850,765,340,595,469.2,255,100,250,14850
450,47,1.338,1.084,18,31.5,1,0.24,6.773,10000,0.8,7.5,,EEUED2W470,1000,900,400,700,552,300,50,,21150
450,68,0.925,0.749,18,40,1,0.24,4.681,10000,0.8,7.5,,EEUED2W680,1300,1170,520,910,717.6,390,50,,30600
