Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 60Hz,Lead Diameter,Lead Space,Lead Space Taping,Min Packaging Qty Straight,Min Packaging Qty Taping,Part Number,Ripple Current 105°C,VC
160,22,1.369,1.106,10,20,0.15,9.043,8000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2C220( ),700,3520
160,33,0.913,0.737,10,20,0.15,6.029,8000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2C330( ),810,5280
160,47,0.641,0.517,10,20,0.15,4.233,8000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2C470( ),1065,7520
160,68,0.443,0.358,12.5,20,0.15,2.926,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2C680( ),1350,10880
160,82,0.367,0.297,12.5,25,0.15,2.426,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2C820( ),1480,13120
160,100,0.393,0.318,12.5,25,0.15,1.989,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.6,5.0,5.0,200,500,EEUEE2C101( ),1660,16000
160,100,0.393,0.318,16,20,0.15,1.989,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.8,7.5,7.5,100,250,EEUEE2C101S( ),1700,16000
160,150,0.262,0.212,16,25,0.15,1.326,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.8,7.5,7.5,100,250,EEUEE2C151( ),1890,24000
160,150,0.262,0.212,18,20,0.15,1.326,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.8,7.5,7.5,100,250,EEUEE2C151S( ),1820,24000
160,220,0.179,0.145,16,31.5,0.15,0.904,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.8,7.5,nan,100,nan,EEUEE2C221,2280,35200
160,220,0.179,0.145,18,25,0.15,0.904,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.8,7.5,7.5,100,250,EEUEE2C221S( ),1950,35200
160,330,0.119,0.096,18,31.5,0.15,0.603,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.8,7.5,nan,50,nan,EEUEE2C331,2600,52800
200,22,1.369,1.106,10,20,0.15,9.043,8000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2D220( ),850,4400
200,33,0.913,0.737,10,20,0.15,6.029,8000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2D330( ),920,6600
200,47,0.641,0.517,12.5,20,0.15,4.233,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2D470( ),1100,9400
200,68,0.443,0.358,12.5,25,0.15,2.926,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2D680( ),1330,13600
200,82,0.367,0.297,16,20,0.15,2.426,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.8,7.5,7.5,100,250,EEUEE2D820S( ),1460,16400
200,100,0.393,0.318,16,25,0.15,1.989,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.8,7.5,7.5,100,250,EEUEE2D101( ),1730,20000
200,150,0.262,0.212,16,25,0.15,1.326,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.8,7.5,7.5,100,250,EEUEE2D151( ),1860,30000
200,220,0.179,0.145,18,31.5,0.15,0.904,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.8,7.5,nan,50,nan,EEUEE2D221,2600,44000
200,330,0.119,0.096,18,40,0.15,0.603,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.8,7.5,nan,50,nan,EEUEE2D331,3120,66000
250,22,1.369,1.106,10,20,0.15,9.043,8000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2E220( ),785,5500
250,33,0.913,0.737,12.5,20,0.15,6.029,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2E330( ),995,8250
250,47,0.641,0.517,12.5,25,0.15,4.233,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2E470( ),1290,11750
250,68,0.443,0.358,16,20,0.15,2.926,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.8,7.5,7.5,100,250,EEUEE2E680S( ),1400,17000
250,82,0.367,0.297,16,25,0.15,2.426,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.8,7.5,7.5,100,250,EEUEE2E820( ),1680,20500
250,100,0.393,0.318,16,31.5,0.15,1.989,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.8,7.5,nan,100,nan,EEUEE2E101,2100,25000
250,100,0.393,0.318,18,25,0.15,1.989,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.8,7.5,7.5,100,250,EEUEE2E101S( ),2100,25000
250,150,0.262,0.212,18,31.5,0.15,1.326,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.8,7.5,nan,50,nan,EEUEE2E151,2520,37500
250,220,0.179,0.145,18,40,0.15,0.904,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.8,7.5,nan,50,nan,EEUEE2E221,2940,55000
350,15,2.677,2.162,10,20,0.2,17.684,8000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2V150( ),480,5250
350,22,1.825,1.474,12.5,20,0.2,12.057,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2V220( ),660,7700
