Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Leakage Current,Part Number,Ripple Current 105°C@120Hz,Surge Voltage
160,22,15,10,20,904.29,222,ESG226M160AH4(1),160,200
160,33,15,10,20,602.86,327,ESG336M160AH4(1),210,200
160,47,15,13,20,423.285,461,ESG476M160AL3(1),260,200
160,68,15,13,25,292.564,663,ESG686M160AL4(1),360,200
160,68,15,16,20,292.564,663,ESG686M160AM5(1),430,200
160,100,15,16,25,198.944,970,ESG107M160AM7(1),475,200
160,100,15,18,20,198.944,970,ESG107M160AN4(1),465,200
160,150,15,16,32,132.629,1450,ESG157M160AM2(1),650,200
160,150,15,18,25,132.629,1450,ESG157M160AN5(1),625,200
160,220,15,16,32,90.429,2122,ESG227M160AM2(1),750,200
160,220,15,18,25,90.429,2122,ESG227M160AN5(1),725,200
160,330,15,18,32,60.286,3178,ESG337M160AN1(1),960,200
200,10,15,10,16,1989.438,274,ESG106M200AH8(1),80,250
200,15,15,10,16,1326.292,274,ESG156M200AH8(1),100,250
200,22,15,10,20,904.29,274,ESG226M200AH4(1),160,250
200,33,15,10,20,602.86,406,ESG336M200AH4(1),160,250
200,33,15,13,20,602.86,406,ESG336M200AL3(1),210,250
200,47,15,13,20,423.285,574,ESG476M200AL3(1),260,250
200,68,15,13,25,292.564,826,ESG686M200AL4(1),360,250
200,68,15,16,20,292.564,826,ESG686M200AM5(1),430,250
200,100,15,16,25,198.944,1210,ESG107M200AM7(1),475,250
200,100,15,18,20,198.944,1210,ESG107M200AN4(1),465,250
200,150,15,18,25,132.629,1810,ESG157M200AN5(1),650,250
200,220,15,18,32,90.429,2650,ESG227M200AN1(1),780,250
250,10,15,10,16,1989.438,160,ESG106M250AH8(1),85,300
250,10,15,10,25,1989.438,160,ESG106M250AH5(1),145,300
250,10,15,10,20,1989.438,160,ESG106M250AH4(1),100,300
250,22,15,13,20,904.29,340,ESG226M250AL3(1),160,300
250,33,15,13,20,602.86,505,ESG336M250AL3(1),210,300
250,47,15,13,25,423.285,715,ESG476M250AL4(1),270,300
250,47,15,16,20,423.285,715,ESG476M250AM5(1),275,300
250,68,15,16,25,292.564,1030,ESG686M250AM7(1),380,300
250,68,15,18,20,292.564,1030,ESG686M250AN4(1),375,300
250,100,15,16,32,198.944,1510,ESG107M250AM2(1),520,300
250,100,15,18,25,198.944,1510,ESG107M250AN5(1),500,300
250,150,15,18,32,132.629,2260,ESG157M250AN1(1),650,300
250,220,15,18,40,90.429,3310,ESG227M250AN3(1),820,300
350,10,20,10,20,2652.585,220,ESG106M350AH4(1),100,400
350,22,20,13,20,1205.72,472,ESG226M350AL3(1),160,400
350,33,20,13,25,803.814,703,ESG336M350AL4(1),230,400
350,33,20,16,20,803.814,703,ESG336M350AM5(1),250,400
350,47,20,16,25,564.38,997,ESG476M350AM7(1),300,400
350,47,20,18,20,564.38,997,ESG476M350AN4(1),315,400
350,68,20,16,32,390.086,1438,ESG686M350AM2(1),400,400
350,68,20,18,25,390.086,1438,ESG686M350AN5(1),380,400
350,100,20,18,32,265.258,2110,ESG107M350AN1(1),530,400
400,4.7,24,10,16,6772.556,123,ESG475M400AH8(1),60,450
400,6.8,24,10,16,4681.032,123,ESG685M400AH8(1),72,450
400,10,24,10,16,3183.102,123,ESG106M400AH8(1),85,450
400,10,24,10,20,3183.102,250,ESG106M400AH4(1),100,450
400,22,24,13,20,1446.864,538,ESG226M400AL3(1),145,450
400,22,24,13,25,1446.864,538,ESG226M400AL4(1),170,450
400,22,24,16,20,1446.864,538,ESG226M400AM5(1),200,450
400,33,24,16,25,964.576,802,ESG336M400AM7(1),230,450
400,33,24,18,20,964.576,802,ESG336M400AN4(1),250,450
400,47,24,16,25,677.256,1138,ESG476M400AM7(1),255,450
400,47,24,16,32,677.256,1138,ESG476M400AM2(1),300,450
400,47,24,18,25,677.256,1138,ESG476M400AN5(1),325,450
400,68,24,16,30,468.103,1642,ESG686M400AM9(1),340,450
400,68,24,16,32,468.103,1642,ESG686M400AM2(1),350,450
400,68,24,18,36,468.103,1642,ESG686M400AN2(1),420,450
400,100,24,18,32,318.31,2410,ESG107M400AN1(1),465,450
400,100,24,18,40,318.31,2410,ESG107M400AN3(1),545,450
400,150,24,18,40,212.207,3610,ESG157M400AN3(1),525,450
400,150,24,22,40,212.207,3610,ESG157M400AQ4(1),650,450
450,3.3,24,10,20,9645.762,99,ESG335M450AH4(1),60,500
450,4.7,24,13,20,6772.556,137,ESG475M450AL3(1),80,500
450,6.8,24,10,20,4681.032,194,ESG685M450AH4(1),90,500
450,10,24,13,20,3183.102,280,ESG106M450AL3(1),110,500
450,10,24,13,25,3183.102,280,ESG106M450AL4(1),110,500
