Voltage,Capacitance,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@120Hz,Surge Voltage
4,33,4,7,35,1406.674,ESS336M004AB2(1),30,5
4,47,4,7,35,987.664,ESS476M004AB2(1),35,5
4,100,5,7,35,464.202,ESS107M004AC2(1),55,5
4,220,6.3,7,35,211.001,ESS227M004AE2(1),95,5
6.3,22,4,7,24,1446.864,ESS226M6R3AB2(1),37,8
6.3,33,5,7,24,964.576,ESS336M6R3AC2(1),42,8
6.3,47,4,7,24,677.256,ESS476M6R3AB2(1),46,8
6.3,47,5,7,24,677.256,ESS476M6R3AC2(1),55,8
6.3,100,5,7,24,318.31,ESS107M6R3AC2(1),75,8
6.3,100,6.3,7,24,318.31,ESS107M6R3AE2(1),90,8
6.3,220,6.3,7,24,144.686,ESS227M6R3AE2(1),130,8
6.3,330,8,7,24,96.458,ESS337M6R3AG1(1),140,8
10,22,4,7,20,1205.72,ESS226M010AB2(1),31,13
10,22,5,7,20,1205.72,ESS226M010AC2(1),38,13
10,33,4,7,20,803.814,ESS336M010AB2(1),39,13
10,33,5,7,20,803.814,ESS336M010AC2(1),47,13
10,47,4,7,20,564.38,ESS476M010AB2(1),50,13
10,47,5,7,20,564.38,ESS476M010AC2(1),60,13
10,47,6.3,7,20,564.38,ESS476M010AE2(1),60,13
10,100,5,7,20,265.258,ESS107M010AC2(1),85,13
10,100,6.3,7,20,265.258,ESS107M010AE2(1),100,13
10,220,6.3,7,20,120.572,ESS227M010AE2(1),135,13
10,470,8,9,20,56.438,ESS477M010AG2(1),165,13
16,2.2,4,7,17,10248.622,ESS225M016AB2(1),7,20
16,3.3,4,7,17,6832.415,ESS335M016AB2(1),13,20
16,4.7,4,7,17,4797.228,ESS475M016AB2(1),19,20
16,10,4,7,17,2254.697,ESS106M016AB2(1),29,20
16,22,4,7,17,1024.862,ESS226M016AB2(1),36,20
16,22,5,7,17,1024.862,ESS226M016AC2(1),44,20
16,33,4,7,17,683.241,ESS336M016AB2(1),50,20
16,33,5,7,17,683.241,ESS336M016AC2(1),57,20
16,47,5,7,17,479.723,ESS476M016AC2(1),75,20
16,47,6.3,7,17,479.723,ESS476M016AE2(1),77,20
16,68,5,7,17,331.573,ESS686M016AC2(1),84,20
16,100,5,7,17,225.47,ESS107M016AC2(1),94,20
16,100,6.3,7,17,225.47,ESS107M016AE2(1),110,20
16,150,6.3,7,17,150.313,ESS157M016AE2(1),120,20
16,220,8,7,17,102.486,ESS227M016AG1(1),140,20
16,220,8,9,17,102.486,ESS227M016AG2(1),140,20
16,330,8,9,17,68.324,ESS337M016AG2(1),155,20
16,470,8,9,17,47.972,ESS477M016AG2(1),165,20
25,4.7,4,7,15,4232.848,ESS475M025AB2(1),24,30
25,10,4,7,15,1989.438,ESS106M025AB2(1),33,30
25,10,5,7,15,1989.438,ESS106M025AC2(1),35,30
25,10,6.3,7,15,1989.438,ESS106M025AE2(1),35,30
25,22,4,7,15,904.29,ESS226M025AB2(1),43,30
25,22,5,7,15,904.29,ESS226M025AC2(1),51,30
25,22,6.3,7,15,904.29,ESS226M025AE2(1),53,30
25,33,5,7,15,602.86,ESS336M025AC2(1),55,30
25,33,6.3,7,15,602.86,ESS336M025AE2(1),65,30
25,47,5,7,15,423.285,ESS476M025AC2(1),67,30
25,47,6.3,7,15,423.285,ESS476M025AE2(1),79,30
25,100,6.3,7,15,198.944,ESS107M025AE2(1),120,30
25,100,8,7,15,198.944,ESS107M025AG1(1),120,30
35,4.7,4,7,12,3386.278,ESS475M035AB2(1),24,44
35,4.7,5,7,12,3386.278,ESS475M035AC2(1),24,44
35,10,4,7,12,1591.551,ESS106M035AB2(1),34,44
35,10,5,7,12,1591.551,ESS106M035AC2(1),36,44
35,22,5,7,12,723.432,ESS226M035AC2(1),48,44
35,22,6.3,7,12,723.432,ESS226M035AE2(1),57,44
35,33,6.3,7,12,482.288,ESS336M035AE2(1),70,44
35,47,6.3,7,12,338.628,ESS476M035AE2(1),81,44
50,1,4,7,10,13262.923,ESS105M050AB2(1),10,63
50,2.2,4,7,10,6028.601,ESS225M050AB2(1),19,63
50,3.3,4,7,10,4019.068,ESS335M050AB2(1),24,63
50,4.7,4,7,10,2821.899,ESS475M050AB2(1),29,63
50,4.7,5,7,10,2821.899,ESS475M050AC2(1),31,63
50,10,4,7,10,1326.292,ESS106M050AB2(1),37,63
50,10,5,7,10,1326.292,ESS106M050AC2(1),45,63
50,10,6.3,7,10,1326.292,ESS106M050AE2(1),45,63
50,22,6.3,7,10,602.86,ESS226M050AE2(1),65,63
63,1,4,7,8,10610.339,ESS105M063AB2(1),13,79
63,2.2,4,7,8,4822.881,ESS225M063AB2(1),21,79
63,3.3,4,7,8,3215.254,ESS335M063AB2(1),26,79
63,4.7,4,7,8,2257.519,ESS475M063AB2(1),26,79
63,4.7,6.3,7,8,2257.519,ESS475M063AE2(1),33,79
63,10,5,7,8,1061.034,ESS106M063AC2(1),42,79
63,10,6.3,7,8,1061.034,ESS106M063AE2(1),50,79
