Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance,Leakage Current,Part Number,Ripple Current,Surge Voltage
6.3,150,0.72,5,11,22,0.72,9.5,EST157M6R3AC3(1),210,8
6.3,330,0.38,6.3,11,22,0.38,20.8,EST337M6R3AE3(1),340,8
6.3,680,0.2,8,11,22,0.2,42.8,EST687M6R3AG3(1),640,8
6.3,820,0.16,8,15,22,0.16,51.7,EST827M6R3AG4(1),840,8
6.3,1000,0.12,10,12,22,0.12,63.0,EST108M6R3AH1(1),865,8
6.3,1000,0.12,10,12.5,22,0.12,63.0,EST108M6R3AH9(1),865,8
6.3,1500,0.11,8,20,22,0.11,94.5,EST158M6R3AG6(1),1050,8
6.3,1500,0.084,10,15,22,0.084,94.5,EST158M6R3AH2(1),1210,8
6.3,2200,0.062,10,20,22,0.062,138.6,EST228M6R3AH4(1),1400,8
6.3,2700,0.052,10,25,22,0.052,170.1,EST278M6R3AH5(1),1650,8
6.3,3300,0.046,13,20,22,0.046,207.9,EST338M6R3AL3(1),1900,8
6.3,3900,0.034,13,25,22,0.034,245.7,EST398M6R3AL4(1),2230,8
6.3,4700,0.03,13,30,22,0.03,296.1,EST478M6R3AL8(1),2650,8
6.3,5600,0.027,13,35,22,0.027,352.8,EST568M6R3AL6(1),2880,8
6.3,6800,0.024,13,40,22,0.024,428.4,EST688M6R3AL7(1),3350,8
6.3,6800,0.028,16,25,22,0.028,428.4,EST688M6R3AM7(1),2930,8
6.3,8200,0.025,16,32,22,0.025,516.6,EST828M6R3AM2(1),3450,8
6.3,10000,0.018,16,36,22,0.018,630.0,EST109M6R3AM3(1),3610,8
6.3,12000,0.015,18,32,22,0.015,756.0,EST129M6R3AN1(1),4170,8
6.3,15000,0.014,18,36,22,0.014,945.0,EST159M6R3AN2(1),4220,8
10,100,0.72,5,11,19,0.72,10.0,EST107M010AC3(1),210,13
10,220,0.38,6.3,11,19,0.38,22.0,EST227M010AE3(1),340,13
10,470,0.2,8,11,19,0.2,47.0,EST477M010AG3(1),640,13
10,680,0.16,8,15,19,0.16,68.0,EST687M010AG4(1),840,13
10,1000,0.084,10,15,19,0.084,100.0,EST108M010AH2(1),1210,13
10,1000,0.014,18,36,19,0.014,100.0,EST108M010AN2(1),4220,13
10,1500,0.062,10,20,19,0.062,150.0,EST158M010AH4(1),1400,13
10,2200,0.052,10,25,19,0.052,220.0,EST228M010AH5(1),1650,13
10,2700,0.046,13,20,19,0.046,270.0,EST278M010AL3(1),1900,13
10,3300,0.034,13,25,19,0.034,330.0,EST338M010AL4(1),2230,13
10,3900,0.03,13,30,19,0.03,390.0,EST398M010AL8(1),2650,13
10,4700,0.027,13,35,19,0.027,470.0,EST478M010AL6(1),2880,13
10,5600,0.024,13,40,19,0.024,560.0,EST568M010AL7(1),3350,13
10,5600,0.028,16,25,19,0.028,560.0,EST568M010AM7(1),2930,13
10,6800,0.025,16,32,19,0.025,680.0,EST688M010AM2(1),3450,13
10,8200,0.018,16,36,19,0.018,820.0,EST828M010AM3(1),3610,13
10,10000,0.014,,,19,0.014,1000.0,EST109M010AN2(1),4220,13
16,56,0.72,5,11,16,0.72,9.0,EST566M016AC3(1),210,20
16,100,0.38,6.3,11,16,0.38,16.0,EST107M016AE3(1),340,20
16,220,0.2,8,11,16,0.2,35.2,EST227M016AG3(1),640,20
16,330,0.16,8,15,16,0.16,52.8,EST337M016AG4(1),701,20
16,470,0.16,8,15,16,0.16,75.2,EST477M016AG4(1),840,20
16,680,0.084,10,15,16,0.084,108.8,EST687M016AH2(1),1210,20
16,1000,0.062,10,20,16,0.062,160.0,EST108M016AH4(1),1400,20
16,1500,0.052,10,25,16,0.052,240.0,EST158M016AH5(1),1650,20
16,2200,0.034,13,25,16,0.034,352.0,EST228M016AL4(1),2230,20
16,2700,0.03,13,30,16,0.03,432.0,EST278M016AL8(1),2650,20
16,3300,0.027,13,35,16,0.027,528.0,EST338M016AL6(1),2880,20
16,3900,0.024,13,40,16,0.024,624.0,EST398M016AL7(1),3350,20
16,4700,0.028,16,32,16,0.028,752.0,EST478M016AM2(1),3450,20
16,5600,0.018,16,36,16,0.018,896.0,EST568M016AM3(1),3610,20
16,5600,0.015,18,32,16,0.015,896.0,EST568M016AN1(1),4170,20
16,6800,0.014,18,36,16,0.014,1088.0,EST688M016AN2(1),4220,20
25,47,0.72,5,11,14,0.72,11.8,EST476M025AC3(1),210,32
25,100,0.38,6.3,11,14,0.38,25.0,EST107M025AE3(1),340,32
25,150,0.2,8,11,14,0.2,37.5,EST157M025AG3(1),640,32
25,220,0.2,8,11,14,0.2,55.0,EST227M025AG3(1),640,32
25,330,0.16,8,15,14,0.16,82.5,EST337M025AG4(1),840,32
25,470,0.084,10,15,14,0.084,117.5,EST477M025AH2(1),1210,32
25,680,0.062,10,20,14,0.062,170.0,EST687M025AH4(1),1400,32
25,820,0.052,10,25,14,0.052,205.0,EST827M025AH5(1),1650,32
25,1000,0.046,13,20,14,0.046,250.0,EST108M025AL3(1),1900,32
25,1500,0.034,13,25,14,0.034,375.0,EST158M025AL4(1),2230,32
25,2200,0.027,13,35,14,0.027,550.0,EST228M025AL6(1),2880,32
25,2700,0.028,16,25,14,0.028,675.0,EST278M025AM7(1),2930,32
25,3300,0.025,16,32,14,0.025,825.0,EST338M025AM2(1),3450,32
25,3900,0.015,18,32,14,0.015,975.0,EST398M025AN1(1),4170,32
25,4700,0.014,18,36,14,0.014,1175.0,EST478M025AN2(1),4280,32
35,33,0.72,5,11,12,0.72,11.6,EST336M035AC3(1),210,44
35,47,0.38,6.3,11,12,0.38,16.5,EST476M035AE3(1),340,44
35,150,0.2,8,11,12,0.2,52.5,EST157M035AG3(1),640,44
35,220,0.16,8,15,12,0.16,77.0,EST227M035AG4(1),840,44
35,330,0.062,10,20,12,0.062,115.5,EST337M035AH4(1),1400,44
35,470,0.052,10,25,12,0.052,164.5,EST477M035AH5(1),1650,44
35,680,0.044,10,30,12,0.044,238.0,EST687M035AH6(1),1910,44
35,680,0.046,13,20,12,0.046,238.0,EST687M035AL3(1),1900,44
35,820,0.045,13,25,12,0.045,287.0,EST827M035AL4(1),2230,44
35,1000,0.045,13,25,12,0.045,350.0,EST108M035AL4(1),2230,44
35,1200,0.03,13,30,12,0.03,420.0,EST128M035AL8(1),2650,44
35,1500,0.027,13,35,12,0.027,525.0,EST158M035AL6(1),2880,44
