Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Leakage Current,Part Number,Ripple Current 105°C@100Hz,Surge Voltage
160,33,15,10,16,602.86,311.2,ESU336M160AH8(1),500,200
160,47,15,10,20,423.285,400.8,ESU476M160AH4(1),580,200
160,68,15,13,20,292.564,535.2,ESU686M160AL3(1),720,200
160,100,15,13,25,198.944,740,ESU107M160AL4(1),970,200
160,150,15,16,25,132.629,1060,ESU157M160AM7(1),1120,200
160,220,15,16,32,90.429,1508,ESU227M160AM2(1),1300,200
160,330,15,18,36,60.286,2212,ESU337M160AN2(1),1380,200
160,560,15,18,50,35.526,3684,ESU567M160AN9(1),2086,200
200,22,15,10,16,904.29,276,ESU226M200AH8(1),500,250
200,33,15,10,20,602.86,364,ESU336M200AH4(1),520,250
200,47,15,13,20,423.285,476,ESU476M200AL3(1),660,250
200,68,15,13,25,292.564,644,ESU686M200AL4(1),720,250
200,100,15,16,25,198.944,900,ESU107M200AM7(1),1120,250
200,150,15,16,32,132.629,1300,ESU157M200AM2(1),1620,250
200,220,15,18,32,90.429,1860,ESU227M200AN1(1),2080,250
200,390,15,18,50,51.011,3220,ESU397M200AN9(1),3380,250
250,10,15,10,16,1989.438,200,ESU106M250AH8(1),320,300
250,22,15,10,20,904.29,320,ESU226M250AH4(1),500,300
250,33,15,13,20,602.86,430,ESU336M250AL3(1),800,300
250,47,15,13,20,423.285,570,ESU476M250AL3(1),980,300
250,100,15,16,25,198.944,1100,ESU107M250AM7(1),1530,300
250,150,15,18,25,132.629,1600,ESU157M250AN5(1),1940,300
250,220,15,18,36,90.429,2300,ESU227M250AN2(1),2753,300
250,330,15,18,50,60.286,3400,ESU337M250AN9(1),3912,300
350,6.8,20,10,16,3900.86,195.2,ESU685M350AH8(1),280,400
350,10,20,10,20,2652.585,240,ESU106M350AH4(1),350,400
350,22,20,13,20,1205.72,408,ESU226M350AL3(1),650,400
350,33,20,13,25,803.814,562,ESU336M350AL4(1),900,400
350,47,20,16,25,564.38,758,ESU476M350AM7(1),1000,400
350,68,20,16,32,390.086,1052,ESU686M350AM2(1),1100,400
400,6.8,20,10,16,3900.86,208.8,ESU685M400AH8(1),140,450
400,10,20,10,20,2652.585,260,ESU106M400AH4(1),180,450
400,22,20,13,20,1205.72,452,ESU226M400AL3(1),430,450
400,33,20,16,25,803.814,628,ESU336M400AM7(1),520,450
400,47,20,16,20,564.38,520,ESU476M400AM5(1),852,450
400,47,20,16,32,564.38,852,ESU476M400AM2(1),700,450
400,68,20,18,32,390.086,1188,ESU686M400AN1(1),870,450
400,100,20,18,50,265.258,1700,ESU107M400AN9(1),1290,450
450,10,20,10,20,2652.585,280,ESU106M450AH4(1),180,500
450,15,20,13,20,1768.39,370,ESU156M450AL3(1),380,500
450,22,20,13,25,1205.72,496,ESU226M450AL4(1),500,500
450,33,20,16,25,803.814,694,ESU336M450AM7(1),560,500
450,47,20,16,36,564.38,946,ESU476M450AM3(1),880,500
450,68,20,16,36,390.086,1324,ESU686M450AM3(1),1110,500
450,100,20,18,50,265.258,1900,ESU107M450AN9(1),1560,500
