Voltage,Capacitance,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Leakage Current,Part Number,Ripple Current 105°C@100kHz,Surge Voltage,Z 20°C@100kHz
10,2700,13,25,19,9.353,270,ESY278M010AL4(1),2510,13,0.02
10,3300,13,25,19,7.66,330,ESY338M010AL4(1),2770,13,0.018
10,3900,13,30,19,6.482,390,ESY398M010AL8(1),3290,13,0.016
10,3900,16,20,19,6.482,390,ESY398M010AM5(1),3140,13,0.018
10,4700,13,35,19,5.384,470,ESY478M010AL6(1),3400,13,0.015
10,5600,16,25,19,4.524,560,ESY568M010AM7(1),3460,13,0.016
16,18,4,7,16,1178.927,3,ESY186M016AB2(1),130,20,0.92
16,27,5,7,16,785.951,4.3,ESY276M016AC2(1),190,20,0.61
16,33,5,7,16,643.051,5.3,ESY336M016AC2(1),210,20,0.45
16,39,5,11,16,544.12,6.2,ESY396M016AC3(1),220,20,0.43
16,47,5,11,16,451.504,7.5,ESY476M016AC3(1),230,20,0.36
16,56,5,11,16,378.941,9,ESY566M016AC3(1),250,20,0.3
16,68,6.3,7,16,312.069,10.9,ESY686M016AE2(1),300,20,0.24
16,100,6.3,11,16,212.207,16,ESY107M016AE3(1),370,20,0.16
16,100,8,7,16,212.207,16,ESY107M016AG1(1),350,20,0.18
16,120,6.3,11,16,176.839,19.2,ESY127M016AE3(1),410,20,0.13
16,120,8,7,16,176.839,19.2,ESY127M016AG1(1),380,20,0.15
16,150,8,11,16,141.471,24,ESY157M016AG3(1),510,20,0.12
16,180,8,11,16,117.893,28.8,ESY187M016AG3(1),560,20,0.11
16,220,8,11,16,96.458,35.2,ESY227M016AG3(1),620,20,0.1
16,270,8,11,16,78.595,43.2,ESY277M016AG3(1),690,20,0.088
16,330,8,11,16,64.305,52.8,ESY337M016AG3(1),760,20,0.072
16,470,8,16,16,45.15,75.2,ESY477M016AG8(1),1000,20,0.056
16,470,10,12.5,16,45.15,75.2,ESY477M016AH9(1),1030,20,0.053
16,560,8,20,16,37.894,89.6,ESY567M016AG6(1),1140,20,0.049
16,560,10,16,16,37.894,89.6,ESY567M016AH8(1),1300,20,0.046
16,680,8,20,16,31.207,108.8,ESY687M016AG6(1),1250,20,0.041
16,680,10,16,16,31.207,108.8,ESY687M016AH8(1),1430,20,0.038
16,820,10,20,16,25.879,131.2,ESY827M016AH4(1),1650,20,0.032
16,1000,10,20,16,21.247,160,ESY108M016AH4(1),1820,20,0.026
16,1200,10,25,16,17.706,192,ESY128M016AH5(1),2150,20,0.023
16,1500,13,20,16,14.165,240,ESY158M016AL3(1),2360,20,0.021
16,1800,13,25,16,11.804,288,ESY188M016AL4(1),2510,20,0.02
16,2200,13,25,16,9.67,352,ESY228M016AL4(1),2770,20,0.018
16,2700,13,30,16,7.879,432,ESY278M016AL8(1),3290,20,0.016
16,2700,16,20,16,7.879,432,ESY278M016AM5(1),3140,20,0.018
16,3300,13,35,16,6.455,528,ESY338M016AL6(1),3400,20,0.015
16,3900,16,25,16,5.462,624,ESY398M016AM7(1),3460,20,0.016
25,15,4,7,14,1237.873,3.8,ESY156M025AB2(1),130,32,0.94
25,18,5,7,14,1031.561,4.5,ESY186M025AC2(1),170,32,0.69
25,27,5,7,14,687.707,6.8,ESY276M025AC2(1),210,32,0.46
25,33,5,11,14,562.669,8.3,ESY336M025AC3(1),220,32,0.42
25,39,5,11,14,476.105,9.8,ESY396M025AC3(1),230,32,0.36
25,47,5,11,14,395.066,11.8,ESY476M025AC3(1),250,32,0.3
25,56,6.3,7,14,331.573,14,ESY566M025AE2(1),300,32,0.24
25,68,6.3,11,14,273.06,17,ESY686M025AE3(1),340,32,0.19
25,68,8,7,14,273.06,17,ESY686M025AG1(1),310,32,0.22
25,100,6.3,11,14,185.681,25,ESY107M025AE3(1),410,32,0.13
25,100,8,7,14,185.681,25,ESY107M025AG1(1),380,32,0.15
25,120,8,11,14,154.734,30,ESY127M025AG3(1),560,32,0.12
25,150,8,11,14,123.787,37.5,ESY157M025AG3(1),630,32,0.105
25,180,8,11,14,103.156,45,ESY187M025AG3(1),690,32,0.088
25,220,8,11,14,84.4,55,ESY227M025AG3(1),760,32,0.072
25,270,8,15,14,68.771,67.5,ESY277M025AG4(1),900,32,0.068
25,270,10,12.5,14,68.771,67.5,ESY277M025AH9(1),930,32,0.065
25,330,10,12.5,14,56.267,82.5,ESY337M025AH9(1),1030,32,0.053
25,330,8,16,14,56.267,82.5,ESY337M025AG8(1),1000,32,0.056
25,470,8,20,14,39.507,117.5,ESY477M025AG6(1),1250,32,0.041
25,470,10,16,14,39.507,117.5,ESY477M025AH8(1),1430,32,0.038
25,560,10,20,14,33.157,140,ESY567M025AH4(1),1650,32,0.032
25,680,10,20,14,27.306,170,ESY687M025AH4(1),1820,32,0.026
25,820,10,25,14,22.644,205,ESY827M025AH5(1),2150,32,0.023
25,1000,13,20,14,18.595,250,ESY108M025AL3(1),2360,32,0.021
25,1200,13,25,14,15.496,300,ESY128M025AL4(1),2510,32,0.02
25,1500,13,25,14,12.396,375,ESY158M025AL4(1),2770,32,0.018
25,1800,13,30,14,10.33,450,ESY188M025AL8(1),3290,32,0.016
25,1800,16,20,14,10.33,450,ESY188M025AM5(1),3140,32,0.018
25,2200,13,35,14,8.464,550,ESY228M025AL6(1),3400,32,0.015
25,2700,16,25,14,6.897,675,ESY278M025AM7(1),3460,32,0.016
35,10,4,7,12,1591.551,3.5,ESY106M035AB2(1),130,44,0.96
35,15,5,7,12,1061.034,5.3,ESY156M035AC2(1),190,44,0.57
35,18,5,7,12,884.195,6.3,ESY186M035AC2(1),210,44,0.47
35,27,5,11,12,589.463,9.5,ESY276M035AC3(1),230,44,0.37
35,33,5,11,12,482.288,11.6,ESY336M035AC3(1),250,44,0.3
35,39,6.3,7,12,408.09,13.7,ESY396M035AE2(1),300,44,0.25
35,47,6.3,11,12,338.628,16.5,ESY476M035AE3(1),380,44,0.15
35,47,8,7,12,338.628,16.5,ESY476M035AG1(1),350,44,0.19
35,56,6.3,11,12,284.205,19.6,ESY566M035AE3(1),410,44,0.13
35,56,8,7,12,284.205,19.6,ESY566M035AG1(1),380,44,0.16
35,68,8,11,12,234.052,23.8,ESY686M035AG3(1),510,44,0.12
35,100,8,11,12,159.155,35,ESY107M035AG3(1),620,44,0.105
35,120,8,11,12,132.629,42,ESY127M035AG3(1),680,44,0.088
35,150,8,11,12,106.103,52.5,ESY157M035AG3(1),760,44,0.072
35,180,8,15,12,88.419,63,ESY187M035AG4(1),910,44,0.068
35,180,10,12.5,12,88.419,63,ESY187M035AH9(1),930,44,0.065
35,220,10,12.5,12,72.343,77,ESY227M035AH9(1),1030,44,0.053
35,220,8,16,12,72.343,77,ESY227M035AG8(1),1000,44,0.056
35,270,8,20,12,58.946,94.5,ESY277M035AG6(1),1250,44,0.041
35,330,10,16,12,48.229,115.5,ESY337M035AH8(1),1430,44,0.038
35,470,10,20,12,33.863,164.5,ESY477M035AH4(1),1820,44,0.026
35,560,10,25,12,28.421,196,ESY567M035AH5(1),2150,44,0.023
35,680,13,20,12,23.405,238,ESY687M035AL3(1),2360,44,0.021
35,820,13,25,12,19.409,287,ESY827M035AL4(1),2510,44,0.02
35,1000,13,25,12,15.942,350,ESY108M035AL4(1),2770,44,0.018
