Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Leakage Current,Part Number,Ripple Current 105°C@100kHz,Surge Voltage,Z 20°C@100kHz
6.3,150,22,5,11,194.523,9.5,ETA157M6R3AC3(1),210,8,0.58
6.3,330,22,6.3,11,88.419,20.8,ETA337M6R3AE3(1),340,8,0.22
6.3,680,22,8,11,42.909,42.8,ETA687M6R3AG3(1),640,8,0.13
6.3,820,22,10,12.5,35.583,51.7,ETA827M6R3AH9(1),865,8,0.08
6.3,1000,22,8,15,29.205,63,ETA108M6R3AG4(1),840,8,0.087
6.3,1200,22,8,20,24.337,75.6,ETA128M6R3AG6(1),1050,8,0.069
6.3,1200,22,10,15,24.337,75.6,ETA128M6R3AH2(1),1210,8,0.06
6.3,1500,22,10,20,19.47,94.5,ETA158M6R3AH4(1),1400,8,0.046
6.3,1800,22,13,16,16.225,113.4,ETA188M6R3AL2(1),1450,8,0.049
6.3,2200,22,10,25,13.287,138.6,ETA228M6R3AH5(1),1650,8,0.042
6.3,2700,22,10,30,10.826,170.1,ETA278M6R3AH6(1),1910,8,0.031
6.3,3300,22,13,20,8.866,207.9,ETA338M6R3AL3(1),1900,8,0.035
6.3,3900,22,13,25,7.502,245.7,ETA398M6R3AL4(1),2230,8,0.027
6.3,4700,22,13,30,6.231,296.1,ETA478M6R3AL8(1),2650,8,0.024
6.3,5600,22,13,35,5.234,352.8,ETA568M6R3AL6(1),2880,8,0.02
6.3,5600,22,16,20,5.234,352.8,ETA568M6R3AM5(1),2530,8,0.027
6.3,6800,22,13,40,4.314,428.4,ETA688M6R3AL7(1),3350,8,0.017
6.3,6800,22,16,25,4.314,428.4,ETA688M6R3AM7(1),2930,8,0.021
6.3,6800,22,18,20,4.314,428.4,ETA688M6R3AN4(1),2860,8,0.026
6.3,8200,22,16,32,3.584,516.6,ETA828M6R3AM2(1),3450,8,0.017
10,100,19,5,11,251.996,10,ETA107M010AC3(1),210,13,0.58
10,220,19,6.3,11,114.543,22,ETA227M010AE3(1),340,13,0.22
10,470,19,8,11,53.616,47,ETA477M010AG3(1),640,13,0.13
10,680,19,8,15,37.058,68,ETA687M010AG4(1),840,13,0.087
10,680,19,10,12.5,37.058,68,ETA687M010AH9(1),865,13,0.08
10,1000,19,8,20,25.226,100,ETA108M010AG6(1),1050,13,0.069
10,1000,19,10,15,25.226,100,ETA108M010AH2(1),1210,13,0.06
10,1200,19,10,20,21.022,120,ETA128M010AH4(1),1400,13,0.046
10,1500,19,10,25,16.817,150,ETA158M010AH5(1),1650,13,0.042
10,1500,19,13,16,16.817,150,ETA158M010AL2(1),1450,13,0.049
10,2200,19,10,30,11.478,220,ETA228M010AH6(1),1910,13,0.031
10,2200,19,13,20,11.478,220,ETA228M010AL3(1),1900,13,0.035
10,3300,19,13,25,7.66,330,ETA338M010AL4(1),2230,13,0.027
10,3900,19,13,30,6.482,390,ETA398M010AL8(1),2650,13,0.024
10,3900,19,16,20,6.482,390,ETA398M010AM5(1),2530,13,0.027
10,4700,19,13,35,5.384,470,ETA478M010AL6(1),2880,13,0.02
10,5600,19,13,40,4.524,560,ETA568M010AL7(1),3350,13,0.017
10,5600,19,16,25,4.524,560,ETA568M010AM7(1),2930,13,0.021
10,5600,19,18,20,4.524,560,ETA568M010AN4(1),2860,13,0.026
10,6800,19,16,32,3.729,680,ETA688M010AM2(1),3450,13,0.017
10,6800,19,18,25,3.729,680,ETA688M010AN5(1),3140,13,0.019
10,8200,19,16,36,3.099,820,ETA828M010AM3(1),3610,13,0.015
10,8200,19,18,32,3.099,820,ETA828M010AN1(1),4170,13,0.015
16,56,16,5,11,378.941,9,ETA566M016AC3(1),210,20,0.58
16,120,16,6.3,11,176.839,19.2,ETA127M016AE3(1),340,20,0.22
16,330,16,8,11,64.305,52.8,ETA337M016AG3(1),640,20,0.13
16,470,16,8,15,45.15,75.2,ETA477M016AG4(1),840,20,0.087
16,470,16,10,12.5,45.15,75.2,ETA477M016AH9(1),865,20,0.08
16,680,16,8,20,31.207,108.8,ETA687M016AG6(1),1050,20,0.069
16,680,16,10,15,31.207,108.8,ETA687M016AH2(1),1210,20,0.06
16,1000,16,10,20,21.247,160,ETA108M016AH4(1),1400,20,0.046
16,1000,16,13,16,21.247,160,ETA108M016AL2(1),1450,20,0.049
16,1200,16,10,25,17.706,192,ETA128M016AH5(1),1650,20,0.042
16,1500,16,10,30,14.165,240,ETA158M016AH6(1),1910,20,0.031
16,1500,16,13,20,14.165,240,ETA158M016AL3(1),1900,20,0.035
16,2200,16,13,25,9.67,352,ETA228M016AL4(1),2230,20,0.027
16,2700,16,13,30,7.879,432,ETA278M016AL8(1),2650,20,0.024
16,2700,16,16,20,7.879,432,ETA278M016AM5(1),2530,20,0.027
16,3300,16,13,35,6.455,528,ETA338M016AL6(1),2880,20,0.02
16,3900,16,13,40,5.462,624,ETA398M016AL7(1),3350,20,0.017
16,3900,16,16,25,5.462,624,ETA398M016AM7(1),2930,20,0.021
16,3900,16,18,20,5.462,624,ETA398M016AN4(1),2860,20,0.026
16,4700,16,16,32,4.538,752,ETA478M016AM2(1),3450,20,0.017
16,4700,16,18,25,4.538,752,ETA478M016AN5(1),3140,20,0.019
16,5600,16,16,36,3.813,896,ETA568M016AM3(1),3610,20,0.015
16,5600,16,18,32,3.813,896,ETA568M016AN1(1),4170,20,0.015
16,6800,16,16,40,3.144,1088,ETA688M016AM4(1),4080,20,0.013
16,8200,16,18,36,2.614,1312,ETA828M016AN2(1),4220,20,0.014
25,47,14,5,11,395.066,11.8,ETA476M025AC3(1),210,32,0.58
25,100,14,6.3,11,185.681,25,ETA107M025AE3(1),340,32,0.22
25,220,14,8,11,84.4,55,ETA227M025AG3(1),640,32,0.13
25,330,14,8,15,56.267,82.5,ETA337M025AG4(1),840,32,0.087
25,330,14,10,12.5,56.267,82.5,ETA337M025AH9(1),865,32,0.08
25,470,14,8,20,39.507,117.5,ETA477M025AG6(1),1050,32,0.069
25,470,14,10,15,39.507,117.5,ETA477M025AH2(1),1210,32,0.06
25,680,14,10,20,27.306,170,ETA687M025AH4(1),1400,32,0.046
25,680,14,13,16,27.306,170,ETA687M025AL2(1),1450,32,0.049
25,820,14,10,25,22.644,205,ETA827M025AH5(1),1650,32,0.042
25,1000,14,10,30,18.595,250,ETA108M025AH6(1),1910,32,0.031
25,1000,14,13,20,18.595,250,ETA108M025AL3(1),1900,32,0.035
25,1500,14,13,25,12.396,375,ETA158M025AL4(1),2230,32,0.027
25,1800,14,13,30,10.33,450,ETA188M025AL8(1),2650,32,0.024
25,1800,14,16,20,10.33,450,ETA188M025AM5(1),2530,32,0.027
25,2200,14,13,35,8.464,550,ETA228M025AL6(1),2880,32,0.02
25,2200,14,18,20,8.464,550,ETA228M025AN4(1),2860,32,0.026
25,2700,14,13,40,6.897,675,ETA278M025AL7(1),3350,32,0.017
25,2700,14,16,25,6.897,675,ETA278M025AM7(1),2930,32,0.021
25,3300,14,16,32,5.651,825,ETA338M025AM2(1),3450,32,0.017
25,3300,14,18,25,5.651,825,ETA338M025AN5(1),3140,32,0.019
25,3900,14,16,36,4.781,975,ETA398M025AM3(1),3610,32,0.015
25,3900,14,18,32,4.781,975,ETA398M025AN1(1),4170,32,0.015
25,4700,14,16,40,3.973,1175,ETA478M025AM4(1),4080,32,0.013
25,4700,14,18,36,3.973,1175,ETA478M025AN2(1),4220,32,0.014
25,5600,14,18,40,3.339,1400,ETA568M025AN3(1),4280,32,0.012
35,33,12,5,11,482.288,11.6,ETA336M035AC3(1),210,44,0.58
35,56,12,6.3,11,284.205,19.6,ETA566M035AE3(1),340,44,0.22
35,150,12,8,11,106.103,52.5,ETA157M035AG3(1),640,44,0.13
35,220,12,8,15,72.343,77,ETA227M035AG4(1),840,44,0.087
35,220,12,10,12.5,72.343,77,ETA227M035AH9(1),865,44,0.08
35,270,12,8,20,58.946,94.5,ETA277M035AG6(1),1050,44,0.069
35,330,12,10,15,48.229,115.5,ETA337M035AH2(1),1210,44,0.06
35,470,12,10,20,33.863,164.5,ETA477M035AH4(1),1400,44,0.046
35,470,12,13,16,33.863,164.5,ETA477M035AL2(1),1450,44,0.049
35,560,12,10,25,28.421,196,ETA567M035AH5(1),1650,44,0.042
35,680,12,10,30,23.405,238,ETA687M035AH6(1),1910,44,0.031
35,680,12,13,20,23.405,238,ETA687M035AL3(1),1900,44,0.035
35,1000,12,13,25,15.942,350,ETA108M035AL4(1),2230,44,0.027
35,1200,12,13,30,13.285,420,ETA128M035AL8(1),2650,44,0.024
35,1200,12,16,20,13.285,420,ETA128M035AM5(1),2530,44,0.027
35,1500,12,13,35,10.628,525,ETA158M035AL6(1),2880,44,0.02
35,1800,12,13,40,8.857,630,ETA188M035AL7(1),3350,44,0.017
35,1800,12,16,25,8.857,630,ETA188M035AM7(1),2930,44,0.021
35,1800,12,18,20,8.857,630,ETA188M035AN4(1),2860,44,0.026
