Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Surge Voltage
16,1500,16,0.032,8,30,14.165,ETG158M016AGA(1),1600,20
16,1800,16,0.028,8,35,11.804,ETG188M016AGC(1),1760,20
16,2200,16,0.027,8,40,9.67,ETG228M016AGD(1),1960,20
25,820,14,0.06,8,30,22.644,ETG827M025AGA(1),1200,32
25,1000,14,0.055,8,30,18.595,ETG108M025AGA(1),1300,32
25,1500,14,0.04,8,45,12.396,ETG158M025AGF(1),1700,32
25,1800,14,0.035,8,50,10.33,ETG188M025AGG(1),2000,32
25,2200,14,0.032,8,60,8.464,ETG228M025AGN(1),2200,32
25,2200,14,0.032,10,40,8.464,ETG228M025AHB(1),2100,32
35,680,12,0.045,8,30,23.405,ETG687M035AGA(1),1340,44
35,820,12,0.042,8,35,19.409,ETG827M035AGC(1),1450,44
35,1000,12,0.037,8,40,15.942,ETG108M035AGD(1),1720,44
35,1500,12,0.035,8,60,10.628,ETG158M035AGN(1),2080,44
35,1500,12,0.035,10,40,10.628,ETG158M035AHB(1),1850,44
35,1800,12,0.034,10,45,8.857,ETG188M035AHD(1),2010,44
50,330,10,0.065,8,30,40.191,ETG337M050AGA(1),1110,63
50,470,10,0.06,8,40,28.219,ETG477M050AGD(1),1400,63
50,680,10,0.05,8,45,19.504,ETG687M050AGF(1),1600,63
50,820,10,0.045,8,55,16.174,ETG827M050AGL(1),1820,63
50,820,10,0.04,10,40,16.174,ETG827M050AHB(1),1750,63
50,1000,10,0.039,10,45,13.289,ETG108M050AHD(1),1950,63
63,220,9,0.06,8,30,54.257,ETG227M063AGA(1),1150,79
63,330,9,0.058,8,40,36.172,ETG337M063AGD(1),1340,79
63,470,9,0.045,8,50,25.397,ETG477M063AGG(1),1700,79
63,680,9,0.042,10,45,17.554,ETG687M063AHD(1),1900,79
100,220,8,0.055,8,50,48.229,ETG227M100AGG(1),1540,125
100,330,8,0.05,10,45,32.153,ETG337M100AHD(1),1730,125
100,470,8,0.038,10,60,22.575,ETG477M100AHJ(1),2250,125
160,56,18,,8,35,426.308,ETG566M160AGC(1),260,200
160,68,18,,8,40,351.077,ETG686M160AGD(1),335,200
160,82,18,,8,45,291.137,ETG826M160AGF(1),390,200
160,100,18,,8,50,238.733,ETG107M160AGG(1),470,200
160,120,18,,10,40,198.944,ETG127M160AHB(1),520,200
160,150,18,,10,50,159.155,ETG157M160AHE(1),650,200
160,180,18,,12.5,40,132.629,ETG187M160AK4(1),745,200
160,220,18,,12.5,45,108.515,ETG227M160AKA(1),830,200
160,270,18,,12.5,50,88.419,ETG277M160AKB(1),960,200
160,330,18,,12.5,55,72.343,ETG337M160AKC(1),1100,200
200,56,18,,8,45,426.308,ETG566M200AGF(1),285,250
200,68,18,,8,50,351.077,ETG686M200AGG(1),350,250
200,82,18,,10,40,291.137,ETG826M200AHB(1),460,250
200,100,18,,10,45,238.733,ETG107M200AHD(1),470,250
200,120,18,,10,50,198.944,ETG127M200AHE(1),570,250
200,150,18,,12.5,45,159.155,ETG157M200AKA(1),710,250
200,180,18,,12.5,50,132.629,ETG187M200AKB(1),785,250
200,220,18,,12.5,55,108.515,ETG227M200AKC(1),880,250
200,270,18,,12.5,60,88.419,ETG277M200AKD(1),1030,250
250,27,15,,8,32,736.829,ETG276M250AGB(1),150,300
250,33,15,,8,35,602.86,ETG336M250AGC(1),170,300
250,39,15,,8,42,510.112,ETG396M250AGE(1),200,300
250,47,15,,8,45,423.285,ETG476M250AGF(1),220,300
250,56,15,,10,42,355.257,ETG566M250AHC(1),300,300
