Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 500Hz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Ripple Current @100kHz,Ripple Current @120Hz,VC
400,15,3.537,10,20,0.25,22.105,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.5,0.2,6000.0
400,18,2.947,10,25,0.25,18.421,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.588,0.235,7200.0
400,22,2.411,10,30,0.25,15.072,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.688,0.275,8800.0
400,22,2.411,12.5,20,0.25,15.072,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.65,0.26,8800.0
400,27,1.965,10,35,0.25,12.28,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.8,0.32,10800.0
400,27,1.965,12.5,25,0.25,12.28,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.775,0.31,10800.0
400,27,1.965,14.5,20,0.25,12.28,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.775,0.31,10800.0
400,33,1.608,10,40,0.25,10.048,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.925,0.37,13200.0
400,33,1.608,10,45,0.25,10.048,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.95,0.38,13200.0
400,33,1.608,16,20,0.25,10.048,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.888,0.355,13200.0
400,39,1.36,10,50,0.25,8.502,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.063,0.425,15600.0
400,39,1.36,12.5,30,0.25,8.502,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.988,0.395,15600.0
400,39,1.36,14.5,25,0.25,8.502,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.988,0.395,15600.0
400,47,1.129,12.5,35,0.25,7.055,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.138,0.455,18800.0
400,47,1.129,14.5,30,0.25,7.055,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.15,0.46,18800.0
400,47,1.129,16,25,0.25,7.055,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.125,0.45,18800.0
400,47,1.129,18,20,0.25,7.055,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.088,0.435,18800.0
400,56,0.947,12.5,40,0.25,5.921,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.288,0.515,22400.0
400,56,0.947,12.5,45,0.25,5.921,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.338,0.535,22400.0
400,56,0.947,14.5,35,0.25,5.921,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.313,0.525,22400.0
400,68,0.78,12.5,50,0.25,4.876,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.513,0.605,27200.0
400,68,0.78,14.5,40,0.25,4.876,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.488,0.595,27200.0
400,68,0.78,16,30,0.25,4.876,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.413,0.565,27200.0
400,68,0.78,18,25,0.25,4.876,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.375,0.55,27200.0
400,82,0.647,14.5,45,0.25,4.044,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.7,0.68,32800.0
400,82,0.647,16,35,0.25,4.044,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.613,0.645,32800.0
400,82,0.647,16,40,0.25,4.044,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.688,0.675,32800.0
400,82,0.647,18,30,0.25,4.044,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.6,0.64,32800.0
400,100,0.655,14.5,50,0.25,3.316,2.25,2.0,1.0,1.5,1.3,0.8,0.8,1.733,0.77,40000.0
400,100,0.655,16,45,0.25,3.316,2.25,2.0,1.0,1.5,1.3,0.8,0.8,1.733,0.77,40000.0
400,100,0.655,18,35,0.25,3.316,2.25,2.0,1.0,1.5,1.3,0.8,0.8,1.665,0.74,40000.0
400,120,0.546,16,50,0.25,2.763,2.25,2.0,1.0,1.5,1.3,0.8,0.8,1.946,0.865,48000.0
400,120,0.546,18,40,0.25,2.763,2.25,2.0,1.0,1.5,1.3,0.8,0.8,1.879,0.835,48000.0
400,120,0.546,18,45,0.25,2.763,2.25,2.0,1.0,1.5,1.3,0.8,0.8,1.958,0.87,48000.0
400,150,0.437,18,50,0.25,2.21,2.25,2.0,1.0,1.5,1.3,0.8,0.8,2.239,0.995,60000.0
420,12,4.421,10,20,0.25,27.631,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.438,0.175,5040.0
420,15,3.537,10,25,0.25,22.105,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.525,0.21,6300.0
420,18,2.947,10,30,0.25,18.421,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.6,0.24,7560.0
420,18,2.947,12.5,20,0.25,18.421,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.575,0.23,7560.0
