Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
6.3,150,0.22,0.3,5,11,1.945,2000,0.5,2,5,2.5,EEUFM0J151( ),280,266.29,195.8,236.92,168.39,200,2000,945
6.3,330,0.22,0.13,6.3,11.2,0.884,2000,0.5,2.5,5,2.5,EEUFM0J331( ),455,432.73,318.18,385,273.64,200,2000,2079
6.3,560,0.22,0.056,8,11.5,0.521,3000,0.6,3.5,5,,EEUFM0J561( ),950,935.71,714.29,857.14,621.43,200,1000,3528
6.3,820,0.22,0.041,8,15,0.356,3000,0.6,3.5,5,,EEUFM0J821L( ),1240,1221.35,932.33,1118.8,811.13,200,1000,5166
6.3,1000,0.22,0.038,10,12.5,0.318,4000,0.6,5,5,,EEUFM0J102( ),1290,1270.6,969.92,1163.91,843.83,200,500,6300
6.3,1200,0.22,0.03,8,20,0.265,4000,0.6,3.5,5,,EEUFM0J122L( ),1560,1560,1248,1485.12,1173.12,200,1000,7560
6.3,1200,0.22,0.026,10,16,0.265,4000,0.6,5,5,,EEUFM0J122( ),1790,1790,1432,1704.08,1346.08,200,500,7560
6.3,1500,0.22,0.019,10,20,0.212,5000,0.6,5,5,,EEUFM0J152( ),2180,2180,1744,2075.36,1639.36,200,500,9450
6.3,2200,0.22,0.018,10,25,0.157,5000,0.6,5,5,,EEUFM0J222L( ),2470,2470,1976,2351.44,1857.44,200,500,13860
6.3,3300,0.22,0.018,12.5,20,0.113,5000,0.6,5,5,,EEUFM0J332( ),2600,2600,2080,2475.2,1955.2,200,500,20790
6.3,3900,0.22,0.015,12.5,25,0.095,7000,0.6,5,5,,EEUFM0J392( ),3190,3190,2552,3036.88,2398.88,200,500,24570
