Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
6.3,150,0.22,0.3,5,11,1.945,5000,0.5,2,5,2.5,EEUFR0J151( ),280,266.29,195.8,236.92,168.39,200,2000,945
6.3,220,0.22,0.13,6.3,11.2,1.326,5000,0.5,2.5,5,2.5,EEUFR0J221( ),455,432.73,318.18,385,273.64,200,2000,1386
6.3,330,0.22,0.13,6.3,11.2,0.884,5000,0.5,2.5,5,2.5,EEUFR0J331( ),455,432.73,318.18,385,273.64,200,2000,2079
6.3,470,0.22,0.13,6.3,11.2,0.621,5000,0.5,2.5,5,2.5,EEUFR0J471( ),455,448.16,342.11,410.53,297.63,200,2000,2961
6.3,820,0.22,0.056,8,11.5,0.356,6000,0.6,3.5,5,,EEUFR0J821( ),950,935.71,714.29,857.14,621.43,200,1000,5166
6.3,1000,0.22,0.056,8,11.5,0.318,6000,0.6,3.5,5,,EEUFR0J102( ),950,935.71,714.29,857.14,621.43,200,1000,6300
6.3,1200,0.22,0.041,8,15,0.265,8000,0.6,3.5,5,,EEUFR0J122L( ),1240,1240,992,1180.48,932.48,200,1000,7560
6.3,1200,0.22,0.043,10,12.5,0.265,6000,0.6,5,5,,EEUFR0J122( ),1290,1290,1032,1228.08,970.08,200,500,7560
6.3,1500,0.22,0.03,8,20,0.212,9000,0.6,3.5,5,,EEUFR0J152L( ),1560,1560,1248,1485.12,1173.12,200,1000,9450
6.3,1800,0.22,0.028,10,16,0.177,8000,0.6,5,5,,EEUFR0J182( ),1790,1790,1432,1704.08,1346.08,200,500,11340
6.3,2200,0.22,0.02,10,20,0.157,10000,0.6,5,5,,EEUFR0J222( ),2180,2180,1744,2075.36,1639.36,200,500,13860
6.3,2700,0.22,0.018,10,25,0.128,10000,0.6,5,5,,EEUFR0J272L( ),2470,2470,1976,2351.44,1857.44,200,500,17010
6.3,3300,0.22,0.018,10,25,0.113,10000,0.6,5,5,,EEUFR0J332L( ),2470,2470,1976,2351.44,1857.44,200,500,20790
6.3,3900,0.22,0.018,12.5,20,0.095,10000,0.6,5,5,,EEUFR0J392( ),2600,2600,2080,2475.2,1955.2,200,500,24570
6.3,4700,0.22,0.015,12.5,25,0.085,10000,0.6,5,5,,EEUFR0J472( ),3190,3190,2552,3036.88,2398.88,200,500,29610
6.3,5600,0.22,0.013,12.5,30,0.076,10000,0.8,5,,,EEUFR0J562L,3630,3630,2904,3455.76,2729.76,100,,35280
6.3,6800,0.22,0.012,12.5,35,0.066,10000,0.8,5,,,EEUFR0J682L,3750,3750,3000,3570,2820,100,,42840
6.3,6800,0.22,0.017,16,20,0.066,10000,0.8,7.5,7.5,,EEUFR0J682S( ),3300,3300,2640,3141.6,2481.6,100,250,42840
6.3,8200,0.22,0.014,16,25,0.061,10000,0.8,7.5,7.5,,EEUFR0J822( ),3820,3820,3056,3636.64,2872.64,100,250,51660
10,100,0.19,0.3,5,11,2.52,5000,0.5,2,5,2.5,EEUFR1A101( ),280,266.29,195.8,236.92,168.39,200,2000,1000
10,150,0.19,0.3,5,11,1.68,5000,0.5,2,5,2.5,EEUFR1A151( ),280,266.29,195.8,236.92,168.39,200,2000,1500
10,220,0.19,0.13,6.3,11.2,1.145,5000,0.5,2.5,5,2.5,EEUFR1A221( ),455,432.73,318.18,385,273.64,200,2000,2200
10,270,0.19,0.13,6.3,11.2,0.933,5000,0.5,2.5,5,2.5,EEUFR1A271( ),455,432.73,318.18,385,273.64,200,2000,2700
10,470,0.19,0.056,8,11.5,0.536,6000,0.6,3.5,5,,EEUFR1A471( ),950,935.71,714.29,857.14,621.43,200,1000,4700
10,680,0.19,0.056,8,11.5,0.371,6000,0.6,3.5,5,,EEUFR1A681( ),950,935.71,714.29,857.14,621.43,200,1000,6800
10,820,0.19,0.043,10,12.5,0.307,6000,0.6,5,5,,EEUFR1A821( ),1290,1270.6,969.92,1163.91,843.83,200,500,8200
10,1000,0.19,0.028,10,16,0.279,8000,0.6,5,5,,EEUFR1A102( ),1790,1763.08,1345.86,1615.04,1170.9,200,500,10000
10,1000,0.19,0.041,8,15,0.279,8000,0.6,3.5,5,,EEUFR1A102L( ),1240,1221.35,932.33,1118.8,811.13,200,1000,10000
10,1500,0.19,0.03,8,20,0.186,9000,0.6,3.5,5,,EEUFR1A152L( ),1560,1560,1248,1485.12,1173.12,200,1000,15000
10,1500,0.19,0.028,10,16,0.186,8000,0.6,5,5,,EEUFR1A152( ),1790,1790,1432,1704.08,1346.08,200,500,15000
10,1800,0.19,0.02,10,20,0.155,10000,0.6,5,5,,EEUFR1A182( ),2180,2180,1744,2075.36,1639.36,200,500,18000
10,2200,0.19,0.018,10,25,0.139,10000,0.6,5,5,,EEUFR1A222L( ),2470,2470,1976,2351.44,1857.44,200,500,22000
10,3300,0.19,0.018,12.5,20,0.1,10000,0.6,5,5,,EEUFR1A332( ),2600,2600,2080,2475.2,1955.2,200,500,33000
10,3900,0.19,0.015,12.5,25,0.085,10000,0.6,5,5,,EEUFR1A392( ),3190,3190,2552,3036.88,2398.88,200,500,39000
10,4700,0.19,0.013,12.5,30,0.076,10000,0.8,5,,,EEUFR1A472L,3630,3630,2904,3455.76,2729.76,100,,47000
10,4700,0.19,0.017,16,20,0.076,10000,0.8,7.5,7.5,,EEUFR1A472S( ),3300,3300,2640,3141.6,2481.6,100,250,47000
10,5600,0.19,0.012,12.5,35,0.069,10000,0.8,5,,,EEUFR1A562L,3750,3750,3000,3570,2820,100,,56000
10,6800,0.19,0.012,12.5,35,0.06,10000,0.8,5,,,EEUFR1A682L,3750,3750,3000,3570,2820,100,,68000
10,6800,0.19,0.014,16,25,0.06,10000,0.8,7.5,7.5,,EEUFR1A682( ),3820,3820,3056,3636.64,2872.64,100,250,68000
16,47,0.16,0.3,5,11,4.515,5000,0.5,2,5,2.5,EEUFR1C470( ),280,266.29,195.8,236.92,168.39,200,2000,752
16,68,0.16,0.3,5,11,3.121,5000,0.5,2,5,2.5,EEUFR1C680( ),280,266.29,195.8,236.92,168.39,200,2000,1088
16,100,0.16,0.3,5,11,2.122,5000,0.5,2,5,2.5,EEUFR1C101( ),280,266.29,195.8,236.92,168.39,200,2000,1600
16,120,0.16,0.13,6.3,11.2,1.768,5000,0.5,2.5,5,2.5,EEUFR1C121( ),455,432.73,318.18,385,273.64,200,2000,1920
16,220,0.16,0.13,6.3,11.2,0.965,5000,0.5,2.5,5,2.5,EEUFR1C221( ),455,432.73,318.18,385,273.64,200,2000,3520
16,470,0.16,0.056,8,11.5,0.452,6000,0.6,3.5,5,,EEUFR1C471( ),950,935.71,714.29,857.14,621.43,200,1000,7520
16,680,0.16,0.041,8,15,0.312,8000,0.6,3.5,5,,EEUFR1C681L( ),1240,1221.35,932.33,1118.8,811.13,200,1000,10880
16,680,0.16,0.043,10,12.5,0.312,6000,0.6,5,5,,EEUFR1C681( ),1290,1270.6,969.92,1163.91,843.83,200,500,10880
16,1000,0.16,0.03,8,20,0.239,9000,0.6,3.5,5,,EEUFR1C102L( ),1560,1536.54,1172.93,1407.52,1020.45,200,1000,16000
16,1000,0.16,0.028,10,16,0.239,8000,0.6,5,5,,EEUFR1C102( ),1790,1763.08,1345.86,1615.04,1170.9,200,500,16000
16,1500,0.16,0.02,10,20,0.159,10000,0.6,5,5,,EEUFR1C152( ),2180,2180,1744,2075.36,1639.36,200,500,24000
16,1500,0.16,0.018,10,25,0.159,10000,0.6,5,5,,EEUFR1C152L( ),2470,2470,1976,2351.44,1857.44,200,500,24000
16,1800,0.16,0.018,10,25,0.133,10000,0.6,5,5,,EEUFR1C182L( ),2470,2470,1976,2351.44,1857.44,200,500,28800
16,2200,0.16,0.018,12.5,20,0.121,10000,0.6,5,5,,EEUFR1C222( ),2600,2600,2080,2475.2,1955.2,200,500,35200
16,2700,0.16,0.015,12.5,25,0.098,10000,0.6,5,5,,EEUFR1C272( ),3190,3190,2552,3036.88,2398.88,200,500,43200
16,3300,0.16,0.013,12.5,30,0.088,10000,0.8,5,,,EEUFR1C332L,3630,3630,2904,3455.76,2729.76,100,,52800
16,3300,0.16,0.017,16,20,0.088,10000,0.8,7.5,7.5,,EEUFR1C332S( ),3300,3300,2640,3141.6,2481.6,100,250,52800
16,3900,0.16,0.012,12.5,35,0.075,10000,0.8,5,,,EEUFR1C392L,3750,3750,3000,3570,2820,100,,62400
16,3900,0.16,0.017,16,20,0.075,10000,0.8,7.5,7.5,,EEUFR1C392S( ),3300,3300,2640,3141.6,2481.6,100,250,62400
16,4700,0.16,0.012,12.5,35,0.068,10000,0.8,5,,,EEUFR1C472L,3750,3750,3000,3570,2820,100,,75200
16,4700,0.16,0.014,16,25,0.068,10000,0.8,7.5,7.5,,EEUFR1C472( ),3820,3820,3056,3636.64,2872.64,100,250,75200
16,5600,0.16,0.014,16,25,0.062,10000,0.8,7.5,7.5,,EEUFR1C562( ),3820,3820,3056,3636.64,2872.64,100,250,89600
25,4.7,0.14,0.62,5,11,39.507,5000,0.5,2,5,2.5,EEUFR1E4R7( ),185,166.7,101.65,138.24,83.35,200,2000,117.5
25,10,0.14,0.34,5,11,18.568,5000,0.5,2,5,2.5,EEUFR1E100( ),250,225.27,137.36,186.81,112.64,200,2000,250
25,22,0.14,0.34,5,11,8.44,5000,0.5,2,5,2.5,EEUFR1E220( ),250,225.27,137.36,186.81,112.64,200,2000,550
25,47,0.14,0.14,6.3,11.2,3.951,5000,0.5,2.5,5,,EEUFR1E470( ),405,385.17,283.22,342.69,243.57,200,2000,1175
25,56,0.14,0.14,6.3,11.2,3.316,5000,0.5,2.5,5,2.5,EEUFR1E560( ),405,385.17,283.22,342.69,243.57,200,2000,1400
25,100,0.14,0.061,8,11.5,1.857,6000,0.6,3.5,5,,EEUFR1E101( ),870,827.41,608.39,736.15,523.22,200,1000,2500
25,120,0.14,0.045,8,15,1.547,8000,0.6,3.5,5,,EEUFR1E121L( ),1140,1084.2,797.2,964.62,685.59,200,1000,3000
25,150,0.14,0.042,10,12.5,1.238,6000,0.6,5,5,,EEUFR1E151( ),1170,1112.73,818.18,990,703.64,200,500,3750
25,180,0.14,0.033,8,20,1.032,9000,0.6,3.5,5,,EEUFR1E181L( ),1430,1360,1000,1210,860,200,1000,4500
25,220,0.14,0.03,10,16,0.844,8000,0.6,5,5,,EEUFR1E221( ),1650,1569.23,1153.85,1396.15,992.31,200,500,5500
25,270,0.14,0.023,10,20,0.688,10000,0.6,5,5,,EEUFR1E271( ),1890,1797.48,1321.68,1599.23,1136.64,200,500,6750
25,330,0.14,0.022,10,25,0.563,10000,0.6,5,5,,EEUFR1E331L( ),2150,2044.76,1503.5,1819.23,1293.01,200,500,8250
25,470,0.14,0.022,12.5,20,0.395,10000,0.6,5,5,,EEUFR1E471( ),2260,2226.02,1699.25,2039.1,1478.35,200,500,11750
25,560,0.14,0.018,12.5,25,0.332,10000,0.6,5,5,,EEUFR1E561( ),2660,2620,2000,2400,1740,200,500,14000
25,680,0.14,0.016,12.5,30,0.273,10000,0.8,5,,,EEUFR1E681L,3160,3112.48,2375.94,2851.13,2067.07,100,,17000
25,820,0.14,0.014,12.5,35,0.226,10000,0.8,5,,,EEUFR1E821L,3270,3220.83,2458.65,2950.38,2139.02,100,,20500
25,820,0.14,0.019,16,20,0.226,10000,0.8,7.5,7.5,,EEUFR1E821S( ),2870,2826.84,2157.89,2589.47,1877.37,100,250,20500
25,1000,0.14,0.016,16,25,0.212,10000,0.8,7.5,7.5,,EEUFR1E102( ),3320,3270.08,2496.24,2995.49,2171.73,100,250,25000
35,18,0.12,0.51,5,11,8.842,5000,0.5,2,5,2.5,EEUFR1H180( ),175,157.69,96.15,130.77,78.85,200,2000,630
35,47,0.12,0.21,6.3,11.2,3.386,5000,0.5,2.5,5,2.5,EEUFR1H470( ),284,270.1,198.6,240.31,170.8,200,2000,1645
