Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 60Hz,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Min Packaging Qty Straight,Min Packaging Qty Taping,Part Number,Ripple Current,VC
10,22,6.767,5.52,4,7,0.22,13.263,1000,1.55,1.4,1.0,1.3,0.85,0.45,1.5,5.0,2.5,200,2000,EEAGA1A220( ),30,220.0
10,33,4.511,3.68,5,7,0.22,8.842,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.0,5.0,2.5,200,2000,EEAGA1A330( ),50,330.0
10,47,3.167,2.584,6.3,7,0.22,6.208,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.5,5.0,2.5,200,2000,EEAGA1A470( ),65,470.0
10,68,2.189,1.786,6.3,7,0.22,4.291,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.5,5.0,2.5,200,2000,EEAGA1A680( ),75,680.0
10,100,1.489,1.215,6.3,7,0.22,2.918,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.5,5.0,2.5,200,2000,EEAGA1A101( ),110,1000.0
10,220,0.677,0.552,8,7,0.22,1.326,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.5,5.0,2.5,200,1000,EEAGA1A221( ),160,2200.0
16,10,12.18,9.937,4,7,0.18,23.873,1000,1.55,1.4,1.0,1.3,0.85,0.45,1.5,5.0,2.5,200,2000,EEAGA1C100( ),30,160.0
16,15,8.12,6.625,4,7,0.18,15.916,1000,1.55,1.4,1.0,1.3,0.85,0.45,1.5,5.0,2.5,200,2000,EEAGA1C150( ),33,240.0
16,22,5.536,4.517,5,7,0.18,10.851,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.0,5.0,2.5,200,2000,EEAGA1C220( ),50,352.0
16,33,3.691,3.011,6.3,7,0.18,7.234,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.5,5.0,2.5,200,2000,EEAGA1C330( ),65,528.0
16,47,2.592,2.114,6.3,7,0.18,5.079,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.5,5.0,2.5,200,2000,EEAGA1C470( ),77,752.0
16,100,1.218,0.994,8,7,0.18,2.387,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.5,5.0,2.5,200,1000,EEAGA1C101( ),120,1600.0
25,10,10.827,8.833,4,7,0.16,21.221,1000,1.55,1.4,1.0,1.3,0.85,0.45,1.5,5.0,2.5,200,2000,EEAGA1E100( ),33,250.0
25,15,7.218,5.888,5,7,0.16,14.147,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.0,5.0,2.5,200,2000,EEAGA1E150( ),45,375.0
25,22,4.921,4.015,5,7,0.16,9.646,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.0,5.0,2.5,200,2000,EEAGA1E220( ),50,550.0
25,33,3.281,2.677,6.3,7,0.16,6.431,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.5,5.0,2.5,200,2000,EEAGA1E330( ),75,825.0
25,68,1.592,1.299,8,7,0.16,3.121,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.5,5.0,2.5,200,1000,EEAGA1E680( ),100,1700.0
35,6.8,12.937,10.554,4,7,0.13,25.356,1000,1.55,1.4,1.0,1.3,0.85,0.45,1.5,5.0,2.5,200,2000,EEAGA1V6R8( ),33,238.0
35,10,8.797,7.177,5,7,0.13,17.242,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.0,5.0,2.5,200,2000,EEAGA1V100( ),35,350.0
35,15,5.865,4.784,6.3,7,0.13,11.495,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.5,5.0,2.5,200,2000,EEAGA1V150( ),50,525.0
35,22,3.999,3.262,6.3,7,0.13,7.837,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.5,5.0,2.5,200,2000,EEAGA1V220( ),70,770.0
35,47,1.872,1.527,8,7,0.13,3.668,1000,1.55,1.4,1.0,1.3,0.85,0.45,2.5,5.0,2.5,200,1000,EEAGA1V470( ),96,1645.0
50,1.5,45.112,36.803,4,7,0.1,88.419,1000,1.55,1.4,1.0,1.3,0.85,0.45,1.5,5.0,2.5,200,2000,EEAGA1H1R5( ),16,75.0
50,2.2,30.758,25.093,4,7,0.1,60.286,1000,1.55,1.4,1.0,1.3,0.85,0.45,1.5,5.0,2.5,200,2000,EEAGA1H2R2( ),18,110.00000000000001
50,3.3,20.505,16.729,4,7,0.1,40.191,1000,1.55,1.4,1.0,1.3,0.85,0.45,1.5,5.0,2.5,200,2000,EEAGA1H3R3( ),22,165.0
50,4.7,14.397,11.746,4,7,0.1,28.219,1000,1.55,1.4,1.0,1.3,0.85,0.45,1.5,5.0,2.5,200,2000,EEAGA1H4R7( ),26,235.0
