Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,VC
25,1200,0.14,0.044,12.5,20,0.22,0.177,EGPA250E□□122MK20S,1820,1721.92,1089.82,1580.24,30000
25,1500,0.14,0.037,14.5,20,0.19,0.141,EGPA250E□□152MU20S,2100,1986.83,1257.49,1823.35,37500
25,1800,0.14,0.033,12.5,25,0.17,0.118,EGPA250E□□182MK25S,2400,2270.66,1437.13,2083.83,45000
25,1800,0.14,0.034,16,20,0.17,0.118,EGPA250E□□182ML20S,2280,2157.13,1365.27,1979.64,45000
25,2200,0.16,0.029,12.5,30,0.13,0.121,EGPA250E□□222MK30S,2560,2444.51,1924.81,2309.77,55000
25,2200,0.16,0.028,14.5,25,0.14,0.121,EGPA250E□□222MU25S,2800,2673.68,2105.26,2526.32,55000
25,2700,0.16,0.024,12.5,35,0.11,0.098,EGPA250E□□272MK35S,2970,2836.02,2233.08,2679.7,67500
25,2700,0.16,0.023,14.5,30,0.1,0.098,EGPA250E□□272MU30S,3060,2921.95,2300.75,2760.9,67500
25,2700,0.16,0.026,16,25,0.13,0.098,EGPA250E□□272ML25S,3100,2960.15,2330.83,2796.99,67500
25,2700,0.16,0.032,18,20,0.16,0.098,EGPA250E□□272MM20S,2490,2377.67,1872.18,2246.62,67500
25,3300,0.18,0.021,12.5,40,0.095,0.096,EGPA250E□□332MK40S,3600,3437.59,2706.77,3248.12,82500
25,3300,0.18,0.021,14.5,35,0.095,0.096,EGPA250E□□332MU35S,3380,3227.52,2541.35,3049.62,82500
25,3300,0.18,0.023,16,30,0.1,0.096,EGPA250E□□332ML30S,3160,3017.44,2375.94,2851.13,82500
25,3900,0.18,0.02,16,35,0.09,0.082,EGPA250E□□392ML35S,3590,3428.05,2699.25,3239.1,97500
25,3900,0.18,0.024,18,25,0.12,0.082,EGPA250E□□392MM25S,3200,3055.64,2406.02,2887.22,97500
25,4700,0.2,0.018,14.5,40,0.081,0.079,EGPA250E□□472MU40S,4000,3898.31,3389.83,3796.61,117500
25,4700,0.2,0.022,18,30,0.099,0.079,EGPA250E□□472MM30S,3390,3303.81,2872.88,3217.63,117500
25,5600,0.22,0.017,16,40,0.077,0.076,EGPA250E□□562ML40S,4300,4190.68,3644.07,4081.36,140000
25,5600,0.22,0.019,18,35,0.086,0.076,EGPA250E□□562MM35S,4200,4093.22,3559.32,3986.44,140000
25,6800,0.24,0.016,18,40,0.072,0.07,EGPA250E□□682MM40S,4600,4483.05,3898.31,4366.1,170000
35,680,0.12,0.044,12.5,20,0.22,0.234,EGPA350E□□681MK20S,1820,1721.92,1089.82,1580.24,23800
35,1000,0.12,0.033,12.5,25,0.17,0.186,EGPA350E□□102MK25S,2400,2270.66,1437.13,2083.83,35000
35,1000,0.12,0.037,14.5,20,0.19,0.186,EGPA350E□□102MU20S,2100,1986.83,1257.49,1823.35,35000
35,1200,0.12,0.029,12.5,30,0.13,0.155,EGPA350E□□122MK30S,2560,2422.04,1532.93,2222.75,42000
35,1200,0.12,0.028,14.5,25,0.14,0.155,EGPA350E□□122MU25S,2800,2649.1,1676.65,2431.14,42000
35,1200,0.12,0.034,16,20,0.17,0.155,EGPA350E□□122ML20S,2280,2157.13,1365.27,1979.64,42000
35,1500,0.12,0.024,12.5,35,0.11,0.124,EGPA350E□□152MK35S,2970,2809.94,1778.44,2578.74,52500
35,1500,0.12,0.023,14.5,30,0.1,0.124,EGPA350E□□152MU30S,3060,2895.09,1832.34,2656.89,52500
35,1500,0.12,0.032,18,20,0.16,0.124,EGPA350E□□152MM20S,2490,2355.81,1491.02,2161.98,52500
35,1800,0.12,0.021,12.5,40,0.095,0.103,EGPA350E□□182MK40S,3600,3405.99,2155.69,3125.75,63000
35,1800,0.12,0.026,16,25,0.13,0.103,EGPA350E□□182ML25S,3100,2932.93,1856.29,2691.62,63000
35,2200,0.14,0.021,14.5,35,0.095,0.109,EGPA350E□□222MU35S,3380,3227.52,2541.35,3049.62,77000
35,2200,0.14,0.023,16,30,0.1,0.109,EGPA350E□□222ML30S,3160,3017.44,2375.94,2851.13,77000
35,2200,0.14,0.024,18,25,0.12,0.109,EGPA350E□□222MM25S,3200,3055.64,2406.02,2887.22,77000
35,2700,0.14,0.018,14.5,40,0.081,0.088,EGPA350E□□272MU40S,4000,3819.55,3007.52,3609.02,94500
35,2700,0.14,0.02,16,35,0.09,0.088,EGPA350E□□272ML35S,3590,3428.05,2699.25,3239.1,94500
35,2700,0.14,0.022,18,30,0.099,0.088,EGPA350E□□272MM30S,3390,3237.07,2548.87,3058.65,94500
35,3300,0.16,0.017,16,40,0.077,0.088,EGPA350E□□332ML40S,4300,4106.02,3233.08,3879.7,115500
35,3300,0.16,0.019,18,35,0.086,0.088,EGPA350E□□332MM35S,4200,4010.53,3157.89,3789.47,115500
35,4700,0.18,0.016,18,40,0.072,0.073,EGPA350E□□472MM40S,4600,4483.05,3898.31,4366.1,164500
50,470,0.1,0.065,12.5,20,0.33,0.282,EGPA500E□□471MK20S,1500,1410,750,1275,23500
50,560,0.1,0.055,14.5,20,0.28,0.237,EGPA500E□□561MU20S,1740,1635.6,870,1479,28000
50,680,0.1,0.048,12.5,25,0.24,0.195,EGPA500E□□681MK25S,1900,1797.6,1137.72,1649.7,34000
50,680,0.1,0.043,16,20,0.22,0.195,EGPA500E□□681ML20S,2040,1930.06,1221.56,1771.26,34000
50,820,0.1,0.041,12.5,30,0.18,0.162,EGPA500E□□821MK30S,2150,2034.13,1287.43,1866.77,41000
50,820,0.1,0.04,14.5,25,0.2,0.162,EGPA500E□□821MU25S,2190,2071.98,1311.38,1901.5,41000
50,1000,0.1,0.034,12.5,35,0.15,0.159,EGPA500E□□102MK35S,2510,2374.73,1502.99,2179.34,50000
50,1000,0.1,0.036,14.5,30,0.16,0.159,EGPA500E□□102MU30S,2470,2336.89,1479.04,2144.61,50000
50,1000,0.1,0.031,16,25,0.16,0.159,EGPA500E□□102ML25S,2620,2478.8,1568.86,2274.85,50000
50,1000,0.1,0.039,18,20,0.2,0.159,EGPA500E□□102MM20S,2240,2119.28,1341.32,1944.91,50000
50,1200,0.1,0.028,12.5,40,0.13,0.133,EGPA500E□□122MK40S,2870,2715.33,1718.56,2491.92,60000
50,1200,0.1,0.029,14.5,35,0.13,0.133,EGPA500E□□122MU35S,2840,2686.95,1700.6,2465.87,60000
50,1200,0.1,0.027,16,30,0.13,0.133,EGPA500E□□122ML30S,2940,2781.56,1760.48,2552.69,60000
50,1200,0.1,0.029,18,25,0.15,0.133,EGPA500E□□122MM25S,2750,2601.8,1646.71,2387.72,60000
50,1500,0.1,0.023,16,35,0.1,0.106,EGPA500E□□152ML35S,3300,3122.16,1976.05,2865.27,75000
50,1800,0.1,0.024,14.5,40,0.11,0.088,EGPA500E□□182MU40S,3230,3055.93,1934.13,2804.49,90000
50,1800,0.1,0.026,18,30,0.12,0.088,EGPA500E□□182MM30S,3140,2970.78,1880.24,2726.35,90000
50,2200,0.12,0.02,16,40,0.09,0.096,EGPA500E□□222ML40S,3720,3552.18,2796.99,3356.39,110000
50,2200,0.12,0.022,18,35,0.1,0.096,EGPA500E□□222MM35S,3510,3351.65,2639.1,3166.92,110000
50,2700,0.12,0.018,18,40,0.08,0.079,EGPA500E□□272MM40S,3940,3762.26,2962.41,3554.89,135000
63,470,0.1,0.085,16,20,0.58,0.282,EGPA630E□□471ML20S,1790,1682.6,895,1521.5,29610
63,680,0.1,0.061,16,25,0.48,0.195,EGPA630E□□681ML25S,2030,1920.6,1215.57,1762.57,42840
63,680,0.1,0.07,18,20,0.49,0.195,EGPA630E□□681MM20S,1910,1807.07,1143.71,1658.38,42840
63,820,0.1,0.053,16,30,0.41,0.162,EGPA630E□□821ML30S,2330,2204.43,1395.21,2023.05,51660
63,1000,0.1,0.044,16,35,0.33,0.159,EGPA630E□□102ML35S,2580,2440.96,1544.91,2240.12,63000
63,1000,0.1,0.049,18,25,0.34,0.159,EGPA630E□□102MM25S,2280,2157.13,1365.27,1979.64,63000
63,1200,0.1,0.036,16,40,0.26,0.133,EGPA630E□□122ML40S,2900,2743.71,1736.53,2517.96,75600
63,1200,0.1,0.041,18,30,0.26,0.133,EGPA630E□□122MM30S,2580,2440.96,1544.91,2240.12,75600
63,1500,0.1,0.035,18,35,0.21,0.106,EGPA630E□□152MM35S,2890,2734.25,1730.54,2509.28,94500
63,1800,0.1,0.03,18,40,0.18,0.088,EGPA630E□□182MM40S,3210,3037.01,1922.16,2787.13,113400
80,330,0.08,0.085,16,20,0.58,0.322,EGPA800E□□331ML20S,1790,1682.6,895,1521.5,26400
80,470,0.08,0.061,16,25,0.48,0.226,EGPA800E□□471ML25S,2030,1908.2,1015,1725.5,37600
80,470,0.08,0.07,18,20,0.49,0.226,EGPA800E□□471MM20S,1910,1795.4,955,1623.5,37600
80,560,0.08,0.053,16,30,0.41,0.189,EGPA800E□□561ML30S,2330,2190.2,1165,1980.5,44800
80,560,0.08,0.049,18,25,0.34,0.189,EGPA800E□□561MM25S,2280,2143.2,1140,1938,44800
80,680,0.08,0.044,16,35,0.33,0.156,EGPA800E□□681ML35S,2580,2440.96,1544.91,2240.12,54400
80,680,0.08,0.041,18,30,0.26,0.156,EGPA800E□□681MM30S,2580,2440.96,1544.91,2240.12,54400
80,820,0.08,0.036,16,40,0.26,0.129,EGPA800E□□821ML40S,2900,2743.71,1736.53,2517.96,65600
80,820,0.08,0.035,18,35,0.21,0.129,EGPA800E□□821MM35S,2890,2734.25,1730.54,2509.28,65600
80,1200,0.08,0.03,18,40,0.18,0.111,EGPA800E□□122MM40S,3210,3037.01,1922.16,2787.13,96000
100,200,0.08,0.11,16,20,0.88,0.531,EGPA101E□□201ML20S,1580,1472.56,632,1295.6,20000
100,270,0.08,0.091,18,20,0.73,0.393,EGPA101E□□271MM20S,1690,1588.6,845,1436.5,27000
100,300,0.08,0.079,16,25,0.72,0.354,EGPA101E□□301ML25S,1990,1870.6,995,1691.5,30000
100,360,0.08,0.068,16,30,0.62,0.295,EGPA101E□□361ML30S,2250,2115,1125,1912.5,36000
100,390,0.08,0.064,18,25,0.5,0.272,EGPA101E□□391MM25S,2110,1983.4,1055,1793.5,39000
100,470,0.08,0.056,16,35,0.5,0.226,EGPA101E□□471ML35S,2500,2350,1250,2125,47000
100,510,0.08,0.054,18,30,0.39,0.208,EGPA101E□□511MM30S,2410,2265.4,1205,2048.5,51000
100,560,0.08,0.046,16,40,0.39,0.189,EGPA101E□□561ML40S,2700,2538,1350,2295,56000
100,620,0.08,0.044,18,35,0.32,0.171,EGPA101E□□621MM35S,2690,2545.03,1610.78,2335.63,62000
100,750,0.08,0.039,18,40,0.27,0.141,EGPA101E□□751MM40S,2880,2724.79,1724.55,2500.6,75000
