Voltage,Capacitance,ESR 20°C@100kHz,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 150°C@100kHz,VC
25,1100,0.12,0.077,0.069,12.5,20,0.14,1.4,0.193,1.67,1.58,1.0,1.45,EGQB250E□□112MK20H,2620,1100,27500
25,1600,0.08,0.053,0.048,12.5,25,0.14,1.0,0.133,1.67,1.58,1.0,1.45,EGQB250E□□162MK25H,2910,1300,40000
25,1800,0.07,0.047,0.042,16,20,0.14,1.0,0.118,1.67,1.58,1.0,1.45,EGQB250E□□182ML20H,3590,1460,45000
25,2400,0.058,0.069,0.062,18,20,0.16,0.9,0.111,1.33,1.27,1.0,1.2,EGQB250E□□242MM20H,3830,1560,60000
25,2700,0.05,0.061,0.056,16,25,0.16,0.8,0.098,1.33,1.27,1.0,1.2,EGQB250E□□272ML25H,4560,1720,67500
25,3600,0.042,0.055,0.05,18,25,0.18,0.7,0.088,1.33,1.27,1.0,1.2,EGQB250E□□362MM25H,4800,1800,90000
35,560,0.15,0.08,0.071,12.5,20,0.12,4.5,0.284,2.0,1.88,1.0,1.7,EGQB350E□□561MK20H,2230,1000,19600
35,750,0.12,0.085,0.076,12.5,25,0.12,3.4,0.212,1.67,1.58,1.0,1.45,EGQB350E□□751MK25H,2680,1200,26250
35,910,0.1,0.07,0.063,16,20,0.12,3.0,0.175,1.67,1.58,1.0,1.45,EGQB350E□□911ML20H,3110,1260,31850
35,1200,0.084,0.062,0.055,18,20,0.12,2.0,0.155,1.67,1.58,1.0,1.45,EGQB350E□□122MM20H,3250,1320,42000
35,1400,0.067,0.053,0.048,16,25,0.12,2.0,0.133,1.67,1.58,1.0,1.45,EGQB350E□□142ML25H,4060,1600,49000
35,1800,0.058,0.041,0.037,18,25,0.12,1.4,0.103,1.67,1.58,1.0,1.45,EGQB350E□□182MM25H,4500,1680,63000
