Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,VC
25,3900,0.18,0.023,18,30,0.11,0.082,EGVA250E□□392MM30H,3330,3179.77,2503.76,3004.51,97500
25,5100,0.22,0.019,18,35.5,0.086,0.083,EGVA250E□□512MMP1H,3750,3654.66,3177.97,3559.32,127500
35,2700,0.14,0.023,18,30,0.11,0.088,EGVA350E□□272MM30H,3330,3179.77,2503.76,3004.51,94500
35,3600,0.16,0.019,18,35.5,0.086,0.081,EGVA350E□□362MMP1H,3750,3580.83,2819.55,3383.46,126000
50,1600,0.1,0.027,18,30,0.14,0.099,EGVA500E□□162MM30H,3000,2838.32,1796.41,2604.79,80000
50,2000,0.12,0.022,18,35.5,0.1,0.106,EGVA500E□□202MMP1H,3450,3264.07,2065.87,2995.51,100000
63,1200,0.1,0.045,18,30,0.34,0.133,EGVA630E□□122MM30H,2530,2393.65,1514.97,2196.71,75600
63,1500,0.1,0.036,18,35.5,0.26,0.106,EGVA630E□□152MMP1H,2870,2715.33,1718.56,2491.92,94500
80,750,0.08,0.045,18,30,0.34,0.141,EGVA800E□□751MM30H,2530,2393.65,1514.97,2196.71,60000
80,910,0.08,0.036,18,35.5,0.26,0.117,EGVA800E□□911MMP1H,2870,2715.33,1718.56,2491.92,72800
100,430,0.08,0.055,18,30,0.41,0.247,EGVA101E□□431MM30H,2290,2152.6,1145,1946.5,43000
100,560,0.08,0.044,18,35.5,0.32,0.189,EGVA101E□□561MMP1H,2620,2462.8,1310,2227,56000
