Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 135°C@100kHz,VC
25,6200,0.24,0.023,18,30,0.19,0.077,EGVD250E□□622MM30H,5380,5243.22,4559.32,5106.44,3330,155000
25,8200,0.28,0.019,18,35.5,0.13,0.071,EGVD250E□□822MMP1H,6110,5954.66,5177.97,5799.32,3750,205000
35,3600,0.16,0.023,18,30,0.19,0.081,EGVD350E□□362MM30H,5380,5137.29,4045.11,4854.14,3330,126000
35,4700,0.18,0.019,18,35.5,0.13,0.073,EGVD350E□□472MMP1H,6110,5954.66,5177.97,5799.32,3750,164500
50,2000,0.12,0.029,18,30,0.26,0.106,EGVD500E□□202MM30H,5050,4777.84,3023.95,4384.73,2910,100000
50,2400,0.12,0.024,18,35.5,0.2,0.088,EGVD500E□□242MMP1H,5760,5500.15,4330.83,5196.99,3330,120000
63,1300,0.1,0.029,18,30,0.18,0.122,EGVD630E□□132MM30H,3930,3718.2,2353.29,3412.28,3100,81900
63,1800,0.1,0.024,18,35.5,0.14,0.088,EGVD630E□□182MMP1H,4920,4654.85,2946.11,4271.86,3520,113400
80,820,0.08,0.029,18,30,0.18,0.129,EGVD800E□□821MM30H,3930,3718.2,2353.29,3412.28,3100,65600
80,1200,0.08,0.024,18,35.5,0.14,0.111,EGVD800E□□122MMP1H,4920,4654.85,2946.11,4271.86,3520,96000
100,510,0.08,0.038,18,30,0.25,0.208,EGVD101E□□511MM30H,3800,3572,1900,3230,2830,51000
100,680,0.08,0.03,18,35.5,0.19,0.156,EGVD101E□□681MMP1H,4550,4304.79,2724.55,3950.6,3210,68000
