Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 125°C@300Hz,Ripple Current 125°C@50Hz,VC
25,510,,0.14,10,12.5,2.1,,EGXF250E□□511MJC5S,900,846,450,765,,,12750
25,750,,0.094,10,16,1.5,,EGXF250E□□751MJ16S,1300,1229.94,778.44,1128.74,,,18750
25,910,,0.082,12.5,15,1.1,,EGXF250E□□911MK15S,1220,1154.25,730.54,1059.28,,,22750
25,1200,,0.073,10,20,1.1,,EGXF250E□□122MJ20S,1540,1457.01,922.16,1337.13,,,30000
25,1200,,0.067,14.5,15,0.80,,EGXF250E□□122MU15S,1320,1248.86,790.42,1146.11,,,30000
25,1500,,0.042,10,25,0.24,,EGXF250E□□152MJ25S,1880,1778.68,1125.75,1632.34,,,37500
25,1600,,0.063,16,15,0.76,,EGXF250E□□162ML15S,1430,1352.93,856.29,1241.62,,,40000
25,1800,,0.038,12.5,20,0.19,,EGXF250E□□182MK20S,1590,1504.31,952.1,1380.54,,,45000
25,2000,,0.033,10,30,0.19,,EGXF250E□□202MJ30S,2150,2034.13,1287.43,1866.77,,,50000
25,2200,,0.030,14.5,20,0.17,,EGXF250E□□222MU20S,1780,1699.7,1338.35,1606.02,,,55000
25,2400,,0.053,18,15,0.51,,EGXF250E□□242MM15S,1630,1556.47,1225.56,1470.68,,,60000
25,2700,,0.030,12.5,25,0.14,,EGXF250E□□272MK25S,2280,2177.14,1714.29,2057.14,,,67500
25,3000,,0.029,16,20,0.13,,EGXF250E□□302ML20S,1890,1804.74,1421.05,1705.26,,,75000
25,3300,,0.025,12.5,30,0.10,,EGXF250E□□332MK30S,2760,2635.49,2075.19,2490.23,,,82500
25,3600,,0.025,14.5,25,0.11,,EGXF250E□□362MU25S,2760,2635.49,2075.19,2490.23,,,90000
25,4300,,0.022,12.5,35,0.080,,EGXF250E□□432MK35S,3120,2979.25,2345.86,2815.04,,,107500
25,4300,,0.022,16,25,0.092,,EGXF250E□□432ML25S,3030,2893.31,2278.2,2733.83,,,107500
25,4300,,0.028,18,20,0.10,,EGXF250E□□432MM20S,1930,1842.93,1451.13,1741.35,,,107500
25,4700,,0.020,14.5,30,0.081,,EGXF250E□□472MU30S,3090,3011.44,2618.64,2932.88,,,117500
25,5100,,0.019,12.5,40,0.068,,EGXF250E□□512MK40S,3610,3518.22,3059.32,3426.44,,,127500
25,5100,,0.018,14.5,35,0.065,,EGXF250E□□512MU35S,3430,3342.8,2906.78,3255.59,,,127500
25,5100,,0.018,16,30,0.071,,EGXF250E□□512ML30S,3330,3245.34,2822.03,3160.68,,,127500
25,5600,,0.020,18,25,0.078,,EGXF250E□□562MM25S,3200,3118.64,2711.86,3037.29,,,140000
