Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Max Ripple Current 105°C@100kHz,Max Ripple Current 125°C@100kHz,Max Ripple Current 135°C@100kHz,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 135°C@100kHz,VC
25,910,0.041,0.041,0.046,12.5,20,0.14,0.204,3910,2920,2260,2870,2870,1292.79,2301.17,2060,22750
25,1300,0.033,0.033,0.034,12.5,25,0.14,0.163,4960,3700,2860,3640,3640,1639.64,2918.56,2610,32500
25,1600,0.027,0.027,0.046,12.5,20,0.14,0.133,3910,2920,2260,2870,2870,1292.79,2301.17,2060,40000
25,1600,0.027,0.027,0.029,12.5,30,0.14,0.133,5770,4300,3330,4230,4230,1905.41,3391.62,3030,40000
25,1600,0.027,0.027,0.034,16,20,0.14,0.133,4420,3300,2550,3240,3240,1459.46,2597.84,2320,40000
25,2000,0.024,0.024,0.033,18,20,0.14,0.119,4730,3520,2730,3470,3470,1563.06,2782.25,2490,50000
25,2200,0.022,0.022,0.025,16,25,0.14,0.109,5570,4150,3210,4090,4090,1842.34,3279.37,2930,55000
25,2400,0.02,0.02,0.034,12.5,25,0.14,0.099,4960,3700,2860,3640,3640,1639.64,2918.56,2610,60000
25,2700,0.018,0.018,0.021,16,30,0.14,0.088,6250,4660,3610,4580,4580,2063.06,3672.25,3280,67500
25,2700,0.018,0.018,0.025,18,25,0.14,0.088,5940,4430,3430,4360,4360,1963.96,3495.86,3120,67500
25,3000,0.018,0.018,0.029,12.5,30,0.14,0.088,5770,4300,3330,4230,4230,1905.41,3391.62,3030,75000
25,3000,0.018,0.018,0.034,16,20,0.14,0.088,4420,3300,2550,3240,3240,1459.46,2597.84,2320,75000
25,3600,0.015,0.015,0.021,18,30,0.14,0.074,6590,4910,3800,4840,4840,2180.18,3880.72,3460,90000
25,3900,0.014,0.014,0.033,18,20,0.14,0.068,4730,3520,2730,3470,3470,1563.06,2782.25,2490,97500
25,4300,0.014,0.014,0.025,16,25,0.14,0.068,5570,4150,3210,4090,4090,1842.34,3279.37,2930,107500
25,5600,0.012,0.012,0.021,16,30,0.14,0.057,6250,4660,3610,4580,4580,2063.06,3672.25,3280,140000
25,5600,0.012,0.012,0.025,18,25,0.14,0.057,5940,4430,3430,4360,4360,1963.96,3495.86,3120,140000
25,6800,0.01,0.01,0.021,18,30,0.14,0.051,6590,4910,3800,4840,4840,2180.18,3880.72,3460,170000
35,750,0.043,0.043,0.046,12.5,20,0.12,0.212,3910,2920,2260,2870,2870,1292.79,2301.17,2060,26250
35,1000,0.038,0.038,0.034,12.5,25,0.12,0.186,4960,3700,2860,3640,3640,1639.64,2918.56,2610,35000
35,1200,0.031,0.031,0.046,12.5,20,0.12,0.155,3910,2920,2260,2870,2870,1292.79,2301.17,2060,42000
35,1300,0.029,0.029,0.029,12.5,30,0.12,0.143,5770,4300,3330,4230,4230,1905.41,3391.62,3030,45500
35,1300,0.029,0.029,0.034,16,20,0.12,0.143,4420,3300,2550,3240,3240,1459.46,2597.84,2320,45500
35,1600,0.024,0.024,0.034,12.5,25,0.12,0.116,4960,3700,2860,3640,3640,1639.64,2918.56,2610,56000
35,1600,0.024,0.024,0.033,18,20,0.12,0.116,4730,3520,2730,3470,3470,1563.06,2782.25,2490,56000
35,1800,0.021,0.021,0.025,16,25,0.12,0.103,5570,4150,3210,4090,4090,1842.34,3279.37,2930,63000
35,2000,0.022,0.022,0.034,16,20,0.12,0.106,4420,3300,2550,3240,3240,1459.46,2597.84,2320,70000
35,2200,0.02,0.02,0.029,12.5,30,0.12,0.096,5770,4300,3330,4230,4230,1905.41,3391.62,3030,77000
35,2400,0.018,0.018,0.021,16,30,0.12,0.088,6250,4660,3610,4580,4580,2063.06,3672.25,3280,84000
35,2400,0.018,0.018,0.025,18,25,0.12,0.088,5940,4430,3430,4360,4360,1963.96,3495.86,3120,84000
35,2700,0.016,0.016,0.033,18,20,0.12,0.079,4730,3520,2730,3470,3470,1563.06,2782.25,2490,94500
35,3000,0.016,0.016,0.025,16,25,0.12,0.08,5570,4150,3210,4090,4090,1842.34,3279.37,2930,105000
35,3000,0.016,0.016,0.021,18,30,0.12,0.08,6590,4910,3800,4840,4840,2180.18,3880.72,3460,105000
35,3600,0.013,0.013,0.021,16,30,0.12,0.066,6250,4660,3610,4580,4580,2063.06,3672.25,3280,126000
35,3600,0.013,0.013,0.025,18,25,0.12,0.066,5940,4430,3430,4360,4360,1963.96,3495.86,3120,126000
35,4700,0.011,0.011,0.021,18,30,0.12,0.056,6590,4910,3800,4840,4840,2180.18,3880.72,3460,164500
50,510,0.053,0.053,0.072,12.5,20,0.1,0.26,3220,2400,1860,2280,2280,1027.03,1828.11,1530,25500
50,620,0.043,0.043,0.076,12.5,20,0.1,0.214,3130,2330,1800,2220,2220,1000,1780,1490,31000
50,680,0.04,0.04,0.052,12.5,25,0.1,0.195,4090,3050,2360,2900,2900,1306.31,2325.23,1950,34000
50,910,0.03,0.03,0.055,12.5,25,0.1,0.146,3980,2960,2290,2820,2820,1270.27,2261.08,1890,45500
50,910,0.03,0.03,0.042,12.5,30,0.1,0.146,4880,3630,2810,3460,3460,1558.56,2774.23,2320,45500
50,910,0.03,0.03,0.049,16,20,0.1,0.146,3980,2960,2290,2820,2820,1270.27,2261.08,1890,45500
50,1100,0.029,0.029,0.044,12.5,30,0.1,0.145,4740,3530,2730,3370,3370,1518.02,2702.07,2250,55000
50,1100,0.029,0.029,0.051,16,20,0.1,0.145,3910,2920,2260,2780,2780,1252.25,2229.01,1860,55000
50,1100,0.029,0.029,0.047,18,20,0.1,0.145,4320,3220,2490,3070,3070,1382.88,2461.53,2060,55000
50,1300,0.025,0.025,0.036,16,25,0.1,0.122,5030,3750,2900,3570,3570,1608.11,2862.43,2390,65000
50,1300,0.025,0.025,0.047,18,20,0.1,0.122,4290,3200,2470,3050,3050,1373.87,2445.5,2040,65000
50,1600,0.02,0.02,0.037,16,25,0.1,0.099,4950,3690,2860,3510,3510,1581.08,2814.32,2350,80000
50,1600,0.02,0.02,0.029,16,30,0.1,0.099,5970,4450,3440,4240,4240,1909.91,3399.64,2840,80000
50,1600,0.02,0.02,0.034,18,25,0.1,0.099,5470,4070,3150,3880,3880,1747.75,3110.99,2600,80000
50,2000,0.019,0.019,0.03,16,30,0.1,0.093,5870,4370,3390,4170,4170,1878.38,3343.51,2790,100000
50,2000,0.019,0.019,0.034,18,25,0.1,0.093,5420,4040,3130,3850,3850,1734.23,3086.94,2580,100000
50,2000,0.019,0.019,0.027,18,30,0.1,0.093,6480,4830,3740,4600,4600,2072.07,3688.29,3080,100000
