Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 85°C@100kHz,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@50Hz,Ripple Current 85°C@60Hz,Straight leads,Taping,VC
4,100,,,6.3,7,0.35,4.642,0.45,2.5,5,2.5,ECEA0GKN101( ),,,61,,,,200,2000,400
6.3,22,,,5,7,0.24,14.469,0.45,2,5,2.5,ECEA0JKN220( ),,,29,,,,200,2000,138.6
6.3,33,,,5,7,0.24,9.646,0.45,2,5,2.5,ECEA0JKN330( ),,,38,,,,200,2000,207.9
6.3,47,,,6.3,7,0.24,6.773,0.45,2.5,5,2.5,ECEA0JKN470( ),,,46,,,,200,2000,296.09999999999997
10,10,,,4,7,0.2,26.526,0.45,1.5,5,2.5,ECEA1AKN100( ),,,25,,,,200,2000,100
10,22,,,5,7,0.2,12.057,0.45,2,5,2.5,ECEA1AKN220( ),,,35,,,,200,2000,220
10,33,,,6.3,7,0.2,8.038,0.45,2.5,5,2.5,ECEA1AKN330( ),,,43,,,,200,2000,330
10,47,,,6.3,7,0.2,5.644,0.45,2.5,5,2.5,ECEA1AKN470( ),,,65,,,,200,2000,470
16,4.7,,,4,7,0.16,45.15,0.45,1.5,5,2.5,ECEA1CKN4R7( ),,,20,,,,200,2000,75.2
16,10,,,5,7,0.16,21.221,0.45,2,5,2.5,ECEA1CKN100( ),,,25,,,,200,2000,160
16,22,,,6.3,7,0.16,9.646,0.45,2.5,5,2.5,ECEA1CKN220( ),,,39,,,,200,2000,352
16,33,,,6.3,7,0.16,6.431,0.45,2.5,5,2.5,ECEA1CKN330( ),,,60,,,,200,2000,528
25,3.3,,,4,7,0.16,64.305,0.45,1.5,5,2.5,ECEA1EKN3R3( ),,,16,,,,200,2000,82.5
25,4.7,,,5,7,0.16,45.15,0.45,2,5,2.5,ECEA1EKN4R7( ),,,21,,,,200,2000,117.5
25,10,,,6.3,7,0.16,21.221,0.45,2.5,5,2.5,ECEA1EKN100( ),,,28,,,,200,2000,250
25,22,,,6.3,7,0.16,9.646,0.45,2.5,5,2.5,ECEA1EKN220( ),,,55,,,,200,2000,550
35,2.2,,,4,7,0.14,84.4,0.45,1.5,5,2.5,ECEA1VKN2R2( ),,,12,,,,200,2000,77
35,3.3,,,5,7,0.14,56.267,0.45,2,5,2.5,ECEA1VKN3R3( ),,,16,,,,200,2000,115.5
35,4.7,,,5,7,0.14,39.507,0.45,2,5,2.5,ECEA1VKN4R7( ),,,22,,,,200,2000,164.5
35,10,,,6.3,7,0.14,18.568,0.45,2.5,5,2.5,ECEA1VKN100( ),,,30,,,,200,2000,350
50,2.2,,,5,7,0.12,72.343,0.45,2,5,2.5,ECEA1HKN2R2( ),,,16,,,,200,2000,110.00000000000001
50,3.3,,,5,7,0.12,48.229,0.45,2,5,2.5,ECEA1HKN3R3( ),,,16,,,,200,2000,165
50,4.7,,,6.3,7,0.12,33.863,0.45,2.5,5,2.5,ECEA1HKN4R7( ),,,23,,,,200,2000,235
