Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Min Packaging Qty Straight,Min Packaging Qty Taping,Part Number,Ripple Current 85°C@120Hz,VC
4,47,3.418,4,7,0.35,9.877,1.7,1.7,1.0,1.3,0.7,0.7,0.45,1.5,5.0,2.5,200,2000,ECEA0GKA470( ),34,188.0
4,100,1.606,5,7,0.35,4.642,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.0,5.0,2.5,200,2000,ECEA0GKA101( ),61,400.0
4,220,0.73,6.3,7,0.35,2.11,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.5,5.0,2.5,200,2000,ECEA0GKA221( ),82,880.0
4,330,0.487,8,7,0.35,1.407,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.5,nan,2.5,200,1000,ECEA0GKA331( ),110,1320.0
4,330,0.487,8,7,0.35,1.407,1.7,1.7,1.0,1.3,0.7,0.7,0.45,nan,5.0,nan,nan,1000,ECEA0GKA331Q,110,1320.0
4,470,0.342,8,7,0.35,0.988,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.5,nan,2.5,200,1000,ECEA0GKA471( ),140,1880.0
4,470,0.342,8,7,0.35,0.988,1.7,1.7,1.0,1.3,0.7,0.7,0.45,nan,5.0,nan,nan,1000,ECEA0GKA471Q,140,1880.0
6.3,47,2.343,4,7,0.24,6.773,1.7,1.7,1.0,1.3,0.7,0.7,0.45,1.5,5.0,2.5,200,2000,ECEA0JKA470( ),46,296.09999999999997
6.3,100,1.101,5,7,0.24,3.183,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.0,5.0,2.5,200,2000,ECEA0JKA101( ),71,630.0
6.3,220,0.501,6.3,7,0.24,1.447,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.5,5.0,2.5,200,2000,ECEA0JKA221( ),103,1386.0
6.3,330,0.334,8,7,0.24,0.965,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.5,nan,2.5,200,1000,ECEA0JKA331( ),130,2079.0
6.3,330,0.334,8,7,0.24,0.965,1.7,1.7,1.0,1.3,0.7,0.7,0.45,nan,5.0,nan,nan,1000,ECEA0JKA331Q,130,2079.0
10,33,2.781,4,7,0.2,8.038,1.7,1.7,1.0,1.3,0.7,0.7,0.45,1.5,5.0,2.5,200,2000,ECEA1AKA330( ),43,330.0
10,100,0.918,6.3,7,0.2,2.653,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.5,5.0,2.5,200,2000,ECEA1AKA101( ),80,1000.0
10,220,0.417,8,7,0.2,1.206,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.5,nan,2.5,200,1000,ECEA1AKA221( ),120,2200.0
10,220,0.417,8,7,0.2,1.206,1.7,1.7,1.0,1.3,0.7,0.7,0.45,nan,5.0,nan,nan,1000,ECEA1AKA221Q,120,2200.0
16,10,7.343,4,7,0.16,21.221,1.7,1.7,1.0,1.3,0.7,0.7,0.45,1.5,5.0,2.5,200,2000,ECEA1CKA100( ),28,160.0
16,22,3.338,4,7,0.16,9.646,1.7,1.7,1.0,1.3,0.7,0.7,0.45,1.5,5.0,2.5,200,2000,ECEA1CKA220( ),39,352.0
16,33,2.225,5,7,0.16,6.431,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.0,5.0,2.5,200,2000,ECEA1CKA330( ),60,528.0
16,47,1.562,5,7,0.16,4.515,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.0,5.0,2.5,200,2000,ECEA1CKA470( ),70,752.0
16,100,0.734,6.3,7,0.16,2.122,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.5,5.0,2.5,200,2000,ECEA1CKA101( ),91,1600.0
25,10,6.425,4,7,0.14,18.568,1.7,1.7,1.0,1.3,0.7,0.7,0.45,1.5,5.0,2.5,200,2000,ECEA1EKA100( ),28,250.0
25,22,2.92,5,7,0.14,8.44,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.0,5.0,2.5,200,2000,ECEA1EKA220( ),55,550.0
25,33,1.947,6.3,7,0.14,5.627,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.5,5.0,2.5,200,2000,ECEA1EKA330( ),65,825.0
25,47,1.367,6.3,7,0.14,3.951,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.5,5.0,2.5,200,2000,ECEA1EKA470( ),70,1175.0
35,10,5.507,5,7,0.12,15.916,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.0,5.0,2.5,200,2000,ECEA1VKA100( ),30,350.0
35,22,2.503,6.3,7,0.12,7.234,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.5,5.0,2.5,200,2000,ECEA1VKA220( ),60,770.0
35,33,1.669,6.3,7,0.12,4.823,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.5,5.0,2.5,200,2000,ECEA1VKA330( ),65,1155.0
35,47,1.172,8,7,0.12,3.386,1.7,1.7,1.0,1.3,0.7,0.7,0.45,2.5,nan,2.5,200,1000,ECEA1VKA470( ),85,1645.0
35,47,1.172,8,7,0.12,3.386,1.7,1.7,1.0,1.3,0.7,0.7,0.45,nan,5.0,nan,nan,1000,ECEA1VKA470Q,85,1645.0
50,2.2,20.86,4,7,0.1,60.286,1.7,1.7,1.0,1.3,0.7,0.7,0.45,1.5,5.0,2.5,200,2000,ECEA1HKA2R2( ),16,110.00000000000001
