Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Part Number,Ripple Current 105°C@120Hz,VC
400,33,1.861,10,30,0.15,6.029,1.8,1.75,1.0,1.5,EKHE401E□□330MJ30S,335,13200
400,39,1.574,10,35,0.15,5.101,1.8,1.75,1.0,1.5,EKHE401E□□390MJ35S,385,15600
400,47,1.306,10,40,0.15,4.233,1.8,1.75,1.0,1.5,EKHE401E□□470MJ40S,445,18800
400,56,1.096,10,45,0.15,3.553,1.8,1.75,1.0,1.5,EKHE401E□□560MJ45S,505,22400
400,56,1.096,12.5,30,0.15,3.553,1.8,1.75,1.0,1.5,EKHE401E□□560MK30S,480,22400
400,68,0.903,12.5,35,0.15,2.926,1.8,1.75,1.0,1.5,EKHE401E□□680MK35S,560,27200
400,82,0.749,12.5,40,0.15,2.426,1.8,1.75,1.0,1.5,EKHE401E□□820MK40S,640,32800
400,82,0.749,14.5,31.5,0.15,2.426,1.8,1.75,1.0,1.5,EKHE401E□□820MUN3S,625,32800
400,100,0.884,12.5,45,0.15,1.989,1.5,1.4,1.0,1.3,EKHE401E□□101MK45S,730,40000
400,100,0.884,14.5,35,0.15,1.989,1.5,1.4,1.0,1.3,EKHE401E□□101MU35S,715,40000
400,100,0.884,16,31.5,0.15,1.989,1.5,1.4,1.0,1.3,EKHE401E□□101MLN3S,720,40000
400,120,0.737,14.5,40,0.15,1.658,1.5,1.4,1.0,1.3,EKHE401E□□121MU40S,810,48000
400,120,0.737,16,35,0.15,1.658,1.5,1.4,1.0,1.3,EKHE401E□□121ML35S,810,48000
400,120,0.737,18,31.5,0.15,1.658,1.5,1.4,1.0,1.3,EKHE401E□□121MMN3S,815,48000
420,33,2.481,10,30,0.2,8.038,1.8,1.75,1.0,1.5,EKHE421E□□330MJ30S,335,13860
420,39,2.099,10,35,0.2,6.801,1.8,1.75,1.0,1.5,EKHE421E□□390MJ35S,385,16380
420,47,1.742,10,40,0.2,5.644,1.8,1.75,1.0,1.5,EKHE421E□□470MJ40S,445,19740
420,56,1.462,10,50,0.2,4.737,1.8,1.75,1.0,1.5,EKHE421E□□560MJ50S,520,23520
420,56,1.462,12.5,30,0.2,4.737,1.8,1.75,1.0,1.5,EKHE421E□□560MK30S,480,23520
420,68,1.204,12.5,35,0.2,3.901,1.8,1.75,1.0,1.5,EKHE421E□□680MK35S,560,28560
420,82,0.998,12.5,40,0.2,3.235,1.8,1.75,1.0,1.5,EKHE421E□□820MK40S,640,34440
420,82,0.998,14.5,31.5,0.2,3.235,1.8,1.75,1.0,1.5,EKHE421E□□820MUN3S,625,34440
420,100,1.179,12.5,50,0.2,2.653,1.5,1.4,1.0,1.3,EKHE421E□□101MK50S,750,42000
420,100,1.179,14.5,40,0.2,2.653,1.5,1.4,1.0,1.3,EKHE421E□□101MU40S,740,42000
420,100,1.179,16,31.5,0.2,2.653,1.5,1.4,1.0,1.3,EKHE421E□□101MLN3S,720,42000
420,120,0.982,14.5,45,0.2,2.21,1.5,1.4,1.0,1.3,EKHE421E□□121MU45S,835,50400
420,120,0.982,16,35,0.2,2.21,1.5,1.4,1.0,1.3,EKHE421E□□121ML35S,810,50400
420,120,0.982,18,31.5,0.2,2.21,1.5,1.4,1.0,1.3,EKHE421E□□121MMN3S,815,50400
450,27,3.032,10,30,0.2,9.824,1.8,1.75,1.0,1.5,EKHE451E□□270MJ30S,305,12150
450,33,2.481,10,35,0.2,8.038,1.8,1.75,1.0,1.5,EKHE451E□□330MJ35S,355,14850
450,39,2.099,10,40,0.2,6.801,1.8,1.75,1.0,1.5,EKHE451E□□390MJ40S,405,17550
450,47,1.742,10,45,0.2,5.644,1.8,1.75,1.0,1.5,EKHE451E□□470MJ45S,460,21150
450,47,1.742,12.5,30,0.2,5.644,1.8,1.75,1.0,1.5,EKHE451E□□470MK30S,440,21150
450,56,1.462,12.5,35,0.2,4.737,1.8,1.75,1.0,1.5,EKHE451E□□560MK35S,505,25200
450,68,1.204,12.5,40,0.2,3.901,1.8,1.75,1.0,1.5,EKHE451E□□680MK40S,580,30600
450,68,1.204,14.5,31.5,0.2,3.901,1.8,1.75,1.0,1.5,EKHE451E□□680MUN3S,570,30600
450,82,0.998,12.5,45,0.2,3.235,1.8,1.75,1.0,1.5,EKHE451E□□820MK45S,660,36900
450,82,0.998,14.5,35,0.2,3.235,1.8,1.75,1.0,1.5,EKHE451E□□820MU35S,650,36900
450,82,0.998,16,31.5,0.2,3.235,1.8,1.75,1.0,1.5,EKHE451E□□820MLN3S,655,36900
450,100,1.179,14.5,40,0.2,2.653,1.5,1.4,1.0,1.3,EKHE451E□□101MU40S,740,45000
450,100,1.179,16,35,0.2,2.653,1.5,1.4,1.0,1.3,EKHE451E□□101ML35S,740,45000
450,120,0.982,18,31.5,0.2,2.21,1.5,1.4,1.0,1.3,EKHE451E□□121MMN3S,815,54000
