Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
400,22,3.937,3.721,10,20,0.2,12.057,EKHF401E□□220MJ20S,423,411.25,235,352.5,8800
400,27,3.208,3.032,10,25,0.2,9.824,EKHF401E□□270MJ25S,513,498.75,285,427.5,10800
400,39,2.221,2.099,10,30,0.2,6.801,EKHF401E□□390MJ30S,657,638.75,365,547.5,15600
400,39,2.221,2.099,12.5,20,0.2,6.801,EKHF401E□□390MK20S,621,603.75,345,517.5,15600
400,47,1.843,1.742,10,35,0.2,5.644,EKHF401E□□470MJ35S,765,743.75,425,637.5,18800
400,56,1.547,1.462,10,40,0.2,4.737,EKHF401E□□560MJ40S,873,848.75,485,727.5,22400
400,56,1.547,1.462,12.5,25,0.2,4.737,EKHF401E□□560MK25S,810,787.5,450,675,22400
400,68,1.274,1.204,10,45,0.2,3.901,EKHF401E□□680MJ45S,999,971.25,555,832.5,27200
400,68,1.274,1.204,10,50,0.2,3.901,EKHF401E□□680MJ50S,1035,1006.25,575,862.5,27200
400,68,1.274,1.204,12.5,30,0.2,3.901,EKHF401E□□680MK30S,954,927.5,530,795,27200
400,68,1.274,1.204,16,20,0.2,3.901,EKHF401E□□680ML20S,918,892.5,510,765,27200
400,82,1.056,0.998,12.5,35,0.2,3.235,EKHF401E□□820MK35S,1098,1067.5,610,915,32800
400,100,1.353,1.179,12.5,40,0.2,2.653,EKHF401E□□101MK40S,1057.5,987,705,916.5,40000
400,100,1.353,1.179,14.5,31.5,0.2,2.653,EKHF401E□□101MUN3S,1020,952,680,884,40000
400,100,1.353,1.179,16,25,0.2,2.653,EKHF401E□□101ML25S,1005,938,670,871,40000
400,100,1.353,1.179,18,20,0.2,2.653,EKHF401E□□101MM20S,975,910,650,845,40000
400,120,1.128,0.982,12.5,45,0.2,2.21,EKHF401E□□121MK45S,1200,1120,800,1040,48000
400,120,1.128,0.982,12.5,50,0.2,2.21,EKHF401E□□121MK50S,1230,1148,820,1066,48000
400,120,1.128,0.982,14.5,35,0.2,2.21,EKHF401E□□121MU35S,1147.5,1071,765,994.5,48000
400,120,1.128,0.982,14.5,40,0.2,2.21,EKHF401E□□121MU40S,1215,1134,810,1053,48000
400,120,1.128,0.982,16,31.5,0.2,2.21,EKHF401E□□121MLN3S,1185,1106,790,1027,48000
400,120,1.128,0.982,18,25,0.2,2.21,EKHF401E□□121MM25S,1132.5,1057,755,981.5,48000
400,150,0.902,0.786,14.5,45,0.2,1.768,EKHF401E□□151MU45S,1357.5,1267,905,1176.5,60000
400,150,0.902,0.786,16,35,0.2,1.768,EKHF401E□□151ML35S,1357.5,1267,905,1176.5,60000
400,150,0.902,0.786,18,31.5,0.2,1.768,EKHF401E□□151MMN3S,1372.5,1281,915,1189.5,60000
400,180,0.752,0.655,16,40,0.2,1.474,EKHF401E□□181ML40S,1530,1428,1020,1326,72000
400,180,0.752,0.655,16,45,0.2,1.474,EKHF401E□□181ML45S,1560,1456,1040,1352,72000
400,180,0.752,0.655,18,31.5,0.2,1.474,EKHF401E□□181MMN3S,1500,1400,1000,1300,72000
400,180,0.752,0.655,18,35,0.2,1.474,EKHF401E□□181MM35S,1530,1428,1020,1326,72000
400,220,0.615,0.536,16,50,0.2,1.206,EKHF401E□□221ML50S,1755,1638,1170,1521,88000
400,220,0.615,0.536,18,40,0.2,1.206,EKHF401E□□221MM40S,1740,1624,1160,1508,88000
400,270,0.501,0.437,18,45,0.2,0.982,EKHF401E□□271MM45S,1965,1834,1310,1703,108000
400,270,0.501,0.437,18,50,0.2,0.982,EKHF401E□□271MM50S,1965,1834,1310,1703,108000
420,22,3.937,3.721,10,20,0.2,12.057,EKHF421E□□220MJ20S,423,411.25,235,352.5,9240
420,27,3.208,3.032,10,25,0.2,9.824,EKHF421E□□270MJ25S,513,498.75,285,427.5,11340
420,39,2.221,2.099,10,30,0.2,6.801,EKHF421E□□390MJ30S,657,638.75,365,547.5,16380
420,39,2.221,2.099,12.5,20,0.2,6.801,EKHF421E□□390MK20S,621,603.75,345,517.5,16380
420,47,1.843,1.742,10,35,0.2,5.644,EKHF421E□□470MJ35S,765,743.75,425,637.5,19740
420,56,1.547,1.462,10,40,0.2,4.737,EKHF421E□□560MJ40S,873,848.75,485,727.5,23520
420,56,1.547,1.462,10,45,0.2,4.737,EKHF421E□□560MJ45S,909,883.75,505,757.5,23520
420,56,1.547,1.462,12.5,25,0.2,4.737,EKHF421E□□560MK25S,810,787.5,450,675,23520
420,68,1.274,1.204,10,50,0.2,3.901,EKHF421E□□680MJ50S,1035,1006.25,575,862.5,28560
420,68,1.274,1.204,12.5,30,0.2,3.901,EKHF421E□□680MK30S,954,927.5,530,795,28560
420,68,1.274,1.204,16,20,0.2,3.901,EKHF421E□□680ML20S,918,892.5,510,765,28560
420,82,1.056,0.998,12.5,35,0.2,3.235,EKHF421E□□820MK35S,1098,1067.5,610,915,34440
420,82,1.056,0.998,14.5,31.5,0.2,3.235,EKHF421E□□820MUN3S,1107,1076.25,615,922.5,34440
