Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50kHz,VC
200,33,2.625,2.349,1.8,10,20,0.2,8.038,EKLJ201E□□330MJ20S,305.25,288.75,165,247.5,206.25,297,6600
200,39,2.221,1.987,1.4,10,25,0.2,6.801,EKLJ201E□□390MJ25S,370,350,200,300,250,360,7800
200,56,2.417,1.85,1,12.5,20,0.2,4.737,EKLJ201E□□560MK20S,424,371,265,344.5,304.75,397.5,11200
200,82,1.65,1.264,0.72,12.5,25,0.2,3.235,EKLJ201E□□820MK25S,560,490,350,455,402.5,525,16400
200,100,1.353,1.036,0.63,16,20,0.2,2.653,EKLJ201E□□101ML20S,624,546,390,507,448.5,585,20000
200,120,1.128,0.863,0.44,16,25,0.2,2.21,EKLJ201E□□121ML25S,744,651,465,604.5,534.75,697.5,24000
200,150,0.902,0.691,0.31,18,20,0.2,1.768,EKLJ201E□□151MM20S,808,707,505,656.5,580.75,757.5,30000
200,180,0.752,0.576,0.36,16,31.5,0.2,1.474,EKLJ201E□□181MLN3S,984,861,615,799.5,707.25,922.5,36000
200,180,0.752,0.576,0.3,18,25,0.2,1.474,EKLJ201E□□181MM25S,936,819,585,760.5,672.75,877.5,36000
200,220,0.615,0.471,0.3,16,35.5,0.2,1.206,EKLJ201E□□221MLP1S,1112,973,695,903.5,799.25,1042.5,44000
200,220,0.615,0.471,0.28,18,31.5,0.2,1.206,EKLJ201E□□221MMN3S,1120,980,700,910,805,1050,44000
200,270,0.501,0.384,0.24,18,35.5,0.2,0.982,EKLJ201E□□271MMP1S,1288,1127,805,1046.5,925.75,1207.5,54000
200,330,0.41,0.314,0.21,18,40,0.2,0.804,EKLJ201E□□331MM40S,1440,1260,900,1170,1035,1350,66000
400,10,6.017,4.366,5.7,10,16,0.24,31.831,EKLJ401E□□100MJ16S,172.8,147.2,64,112,86.4,160,4000
400,15,6.929,6.2,4,10,20,0.24,21.221,EKLJ401E□□150MJ20S,194.25,183.75,105,157.5,131.25,189,6000
400,18,5.774,5.167,3.2,10,25,0.24,17.684,EKLJ401E□□180MJ25S,203.5,192.5,110,165,137.5,198,7200
400,22,4.724,4.228,2.7,12.5,20,0.24,14.469,EKLJ401E□□220MK20S,305.25,288.75,165,247.5,206.25,297,8800
400,27,3.85,3.445,1.9,12.5,25,0.24,11.789,EKLJ401E□□270MK25S,370,350,200,300,250,360,10800
400,33,3.15,2.818,1.5,16,20,0.24,9.646,EKLJ401E□□330ML20S,416.25,393.75,225,337.5,281.25,405,13200
400,39,2.665,2.385,1.2,18,20,0.24,8.162,EKLJ401E□□390MM20S,471.75,446.25,255,382.5,318.75,459,15600
400,47,2.211,1.979,1.1,16,25,0.24,6.773,EKLJ401E□□470ML25S,536.5,507.5,290,435,362.5,522,18800
400,47,2.211,1.979,1.2,18,20,0.24,6.773,EKLJ401E□□470MM20S,518,490,280,420,350,504,18800
400,56,2.9,2.22,0.84,16,31.5,0.24,5.684,EKLJ401E□□560MLN3S,544,476,340,442,391,510,22400
400,68,2.388,1.829,0.72,16,35.5,0.24,4.681,EKLJ401E□□680MLP1S,616,539,385,500.5,442.75,577.5,27200
400,68,2.388,1.829,0.88,18,25,0.24,4.681,EKLJ401E□□680MM25S,576,504,360,468,414,540,27200
400,82,1.981,1.516,0.65,16,40,0.24,3.882,EKLJ401E□□820ML40S,696,609,435,565.5,500.25,652.5,32800
400,82,1.981,1.516,0.64,18,31.5,0.24,3.882,EKLJ401E□□820MMN3S,680,595,425,552.5,488.75,637.5,32800
400,100,1.624,1.243,0.54,18,35.5,0.24,3.183,EKLJ401E□□101MMP1S,784,686,490,637,563.5,735,40000
400,120,1.353,1.036,0.49,18,40,0.24,2.653,EKLJ401E□□121MM40S,864,756,540,702,621,810,48000
450,39,2.665,2.385,1.4,16,25,0.24,8.162,EKLJ451E□□390ML25S,490.25,463.75,265,397.5,331.25,477,17550
450,39,2.665,2.385,1.4,18,20,0.24,8.162,EKLJ451E□□390MM20S,471.75,446.25,255,382.5,318.75,459,17550
450,47,2.211,1.979,1.3,16,25,0.24,6.773,EKLJ451E□□470ML25S,536.5,507.5,290,435,362.5,522,21150
450,47,2.211,1.979,1.2,18,25,0.24,6.773,EKLJ451E□□470MM25S,592,560,320,480,400,576,21150
450,56,2.9,2.22,1.1,16,31.5,0.24,5.684,EKLJ451E□□560MLN3S,544,476,340,442,391,510,25200
450,68,2.388,1.829,0.86,16,35.5,0.24,4.681,EKLJ451E□□680MLP1S,672,588,420,546,483,630,30600
450,68,2.388,1.829,0.91,18,31.5,0.24,4.681,EKLJ451E□□680MMN3S,624,546,390,507,448.5,585,30600
