Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,VC
6.3,1000,0.28,8,11.5,0.398,EKMQ6R3E□□102MHB5D,585,546,390,507,448.5,312,6300
6.3,2200,0.3,10,16,0.205,EKMQ6R3E□□222MJ16S,685.8,685.8,635,666.75,654.05,539.75,13860
6.3,3300,0.32,10,20,0.153,EKMQ6R3E□□332MJ20S,907.2,907.2,840,882,865.2,714,20790
6.3,4700,0.34,12.5,20,0.119,EKMQ6R3E□□472MK20S,1177.2,1177.2,1090,1144.5,1122.7,926.5,29610
6.3,6800,0.38,12.5,25,0.098,EKMQ6R3E□□682MK25S,1458,1458,1350,1417.5,1390.5,1147.5,42840
6.3,10000,0.46,16,25,0.088,EKMQ6R3E□□103ML25S,1782,1782,1650,1732.5,1699.5,1402.5,63000
6.3,15000,0.56,16,31.5,0.076,EKMQ6R3E□□153MLN3S,1965.6,1965.6,1820,1911,1874.6,1547,94500
6.3,22000,0.7,18,35.5,0.069,EKMQ6R3E□□223MMP1S,2462.4,2462.4,2280,2394,2348.4,1938,138600
10,220,0.24,5,11,1.447,EKMQ100E□□221ME11D,232.5,217,155,201.5,178.25,124,2200
10,330,0.24,6.3,11,0.965,EKMQ100E□□331MF11D,315,294,210,273,241.5,168,3300
10,470,0.24,6.3,11,0.677,EKMQ100E□□471MF11D,375,350,250,325,287.5,200,4700
10,1000,0.24,10,12.5,0.345,EKMQ100E□□102MJC5S,690,644,460,598,529,368,10000
10,2200,0.26,10,16,0.181,EKMQ100E□□222MJ16S,761.4,761.4,705,740.25,726.15,599.25,22000
10,3300,0.28,12.5,20,0.137,EKMQ100E□□332MK20S,1080,1080,1000,1050,1030,850,33000
10,4700,0.3,12.5,25,0.107,EKMQ100E□□472MK25S,1360.8,1360.8,1260,1323,1297.8,1071,47000
10,6800,0.34,16,25,0.09,EKMQ100E□□682ML25S,1695.6,1695.6,1570,1648.5,1617.1,1334.5,68000
10,10000,0.42,16,31.5,0.082,EKMQ100E□□103MLN3S,1965.6,1965.6,1820,1911,1874.6,1547,100000
10,15000,0.52,16,35.5,0.073,EKMQ100E□□153MLP1S,2214,2214,2050,2152.5,2111.5,1742.5,150000
10,22000,0.66,18,40,0.066,EKMQ100E□□223MM40S,2613.6,2613.6,2420,2541,2492.6,2057,220000
