Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
400,22,0.2,10,20,12.057,EKWB401E□□220MJ20S,423,411.25,235,352.5,8800
400,27,0.2,10,25,9.824,EKWB401E□□270MJ25S,513,498.75,285,427.5,10800
400,39,0.2,10,30,6.801,EKWB401E□□390MJ30S,657,638.75,365,547.5,15600
400,39,0.2,12.5,20,6.801,EKWB401E□□390MK20S,621,603.75,345,517.5,15600
400,47,0.2,10,35,5.644,EKWB401E□□470MJ35S,765,743.75,425,637.5,18800
400,56,0.2,10,40,4.737,EKWB401E□□560MJ40S,873,848.75,485,727.5,22400
400,56,0.2,12.5,25,4.737,EKWB401E□□560MK25S,810,787.5,450,675,22400
400,68,0.2,10,45,3.901,EKWB401E□□680MJ45S,999,971.25,555,832.5,27200
400,68,0.2,10,50,3.901,EKWB401E□□680MJ50S,1035,1006.25,575,862.5,27200
400,68,0.2,12.5,30,3.901,EKWB401E□□680MK30S,954,927.5,530,795,27200
400,68,0.2,16,20,3.901,EKWB401E□□680ML20S,918,892.5,510,765,27200
400,82,0.2,12.5,35,3.235,EKWB401E□□820MK35S,1098,1067.5,610,915,32800
400,82,0.2,18,20,3.235,EKWB401E□□820MM20S,1053,1023.75,585,877.5,32800
400,100,0.2,12.5,40,2.653,EKWB401E□□101MK40S,1057.5,987,705,916.5,40000
400,100,0.2,14.5,31.5,2.653,EKWB401E□□101MUN3S,1020,952,680,884,40000
400,100,0.2,16,25,2.653,EKWB401E□□101ML25S,1005,938,670,871,40000
400,120,0.2,12.5,45,2.21,EKWB401E□□121MK45S,1200,1120,800,1040,48000
400,120,0.2,12.5,50,2.21,EKWB401E□□121MK50S,1230,1148,820,1066,48000
400,120,0.2,14.5,35,2.21,EKWB401E□□121MU35S,1147.5,1071,765,994.5,48000
400,120,0.2,16,31.5,2.21,EKWB401E□□121MLN3S,1185,1106,790,1027,48000
400,120,0.2,18,25,2.21,EKWB401E□□121MM25S,1132.5,1057,755,981.5,48000
400,150,0.2,16,35,1.768,EKWB401E□□151ML35S,1357.5,1267,905,1176.5,60000
400,150,0.2,18,31.5,1.768,EKWB401E□□151MMN3S,1372.5,1281,915,1189.5,60000
400,180,0.2,16,40,1.474,EKWB401E□□181ML40S,1530,1428,1020,1326,72000
400,180,0.2,16,45,1.474,EKWB401E□□181ML45S,1560,1456,1040,1352,72000
400,180,0.2,18,31.5,1.474,EKWB401E□□181MMN3S,1500,1400,1000,1300,72000
400,180,0.2,18,35,1.474,EKWB401E□□181MM35S,1530,1428,1020,1326,72000
400,220,0.2,16,50,1.206,EKWB401E□□221ML50S,1755,1638,1170,1521,88000
400,220,0.2,18,40,1.206,EKWB401E□□221MM40S,1740,1624,1160,1508,88000
400,270,0.2,18,45,0.982,EKWB401E□□271MM45S,1965,1834,1310,1703,108000
400,270,0.2,18,50,0.982,EKWB401E□□271MM50S,1965,1834,1310,1703,108000
420,22,0.2,10,20,12.057,EKWB421E□□220MJ20S,423,411.25,235,352.5,9240
420,27,0.2,10,25,9.824,EKWB421E□□270MJ25S,513,498.75,285,427.5,11340
420,33,0.2,12.5,20,8.038,EKWB421E□□330MK20S,576,560,320,480,13860
420,39,0.2,10,30,6.801,EKWB421E□□390MJ30S,657,638.75,365,547.5,16380
420,47,0.2,10,35,5.644,EKWB421E□□470MJ35S,765,743.75,425,637.5,19740
