Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
160,39,1.344,1.088,10,16,0.2,6.801,EKXJ161E□□390MJ16S,612.5,551.25,245,428.75,6240
160,56,0.936,0.758,10,20,0.2,4.737,EKXJ161E□□560MJ20S,787.5,708.75,315,551.25,8960
160,82,0.639,0.518,10,25,0.2,3.235,EKXJ161E□□820MJ25S,1037.5,933.75,415,726.25,13120
160,82,0.639,0.518,10,30,0.2,3.235,EKXJ161E□□820MJ30S,1112.5,1001.25,445,778.75,13120
160,100,0.631,0.524,12.5,20,0.2,2.653,EKXJ161E□□101MK20S,1293.75,1178.75,575,960.25,16000
160,120,0.526,0.437,10,35,0.2,2.21,EKXJ161E□□121MJ35S,1282.5,1168.5,570,951.9,19200
160,120,0.526,0.437,14.5,20,0.2,2.21,EKXJ161E□□121MU20S,1518.75,1383.75,675,1127.25,19200
160,150,0.421,0.349,10,40,0.2,1.768,EKXJ161E□□151MJ40S,1496.25,1363.25,665,1110.55,24000
160,150,0.421,0.349,10,45,0.2,1.768,EKXJ161E□□151MJ45S,1563.75,1424.75,695,1160.65,24000
160,150,0.421,0.349,12.5,25,0.2,1.768,EKXJ161E□□151MK25S,1721.25,1568.25,765,1277.55,24000
160,180,0.351,0.291,10,50,0.2,1.474,EKXJ161E□□181MJ50S,1766.25,1609.25,785,1310.95,28800
160,180,0.351,0.291,12.5,30,0.2,1.474,EKXJ161E□□181MK30S,1991.25,1814.25,885,1477.95,28800
160,180,0.351,0.291,14.5,25,0.2,1.474,EKXJ161E□□181MU25S,2002.5,1824.5,890,1486.3,28800
160,180,0.351,0.291,16,20,0.2,1.474,EKXJ161E□□181ML20S,1923.75,1752.75,855,1427.85,28800
160,220,0.287,0.238,12.5,35,0.2,1.206,EKXJ161E□□221MK35S,2340,2132,1040,1736.8,35200
160,220,0.287,0.238,16,25,0.2,1.206,EKXJ161E□□221ML25S,2295,2091,1020,1703.4,35200
160,220,0.287,0.238,18,20,0.2,1.206,EKXJ161E□□221MM20S,2227.5,2029.5,990,1653.3,35200
160,270,0.234,0.194,12.5,40,0.2,0.982,EKXJ161E□□271MK40S,2677.5,2439.5,1190,1987.3,43200
160,270,0.234,0.194,12.5,45,0.2,0.982,EKXJ161E□□271MK45S,2767.5,2521.5,1230,2054.1,43200
160,270,0.234,0.194,14.5,31.5,0.2,0.982,EKXJ161E□□271MUN3S,2632.5,2398.5,1170,1953.9,43200
160,270,0.234,0.194,14.5,35.5,0.2,0.982,EKXJ161E□□271MUP1S,2722.5,2480.5,1210,2020.7,43200
160,330,0.191,0.159,12.5,50,0.2,0.804,EKXJ161E□□331MK50S,3150,2870,1400,2338,52800
160,330,0.191,0.159,14.5,40,0.2,0.804,EKXJ161E□□331MU40S,3116.25,2839.25,1385,2312.95,52800
160,330,0.191,0.159,16,31.5,0.2,0.804,EKXJ161E□□331MLN3S,3037.5,2767.5,1350,2254.5,52800
160,330,0.191,0.159,18,25,0.2,0.804,EKXJ161E□□331MM25S,2902.5,2644.5,1290,2154.3,52800
160,390,0.162,0.134,14.5,45,0.2,0.68,EKXJ161E□□391MU45S,3476.25,3167.25,1545,2580.15,62400
160,390,0.162,0.134,16,35.5,0.2,0.68,EKXJ161E□□391MLP1S,3375,3075,1500,2505,62400
160,470,0.134,0.111,14.5,50,0.2,0.564,EKXJ161E□□471MU50S,3903.75,3556.75,1735,2897.45,75200
160,470,0.134,0.111,16,40,0.2,0.564,EKXJ161E□□471ML40S,3825,3485,1700,2839,75200
160,470,0.134,0.111,16,45,0.2,0.564,EKXJ161E□□471ML45S,3892.5,3546.5,1730,2889.1,75200
160,470,0.134,0.111,18,31.5,0.2,0.564,EKXJ161E□□471MMN3S,3735,3403,1660,2772.2,75200
160,470,0.134,0.111,18,35.5,0.2,0.564,EKXJ161E□□471MMP1S,3858.75,3515.75,1715,2864.05,75200
160,560,0.113,0.094,16,50,0.2,0.474,EKXJ161E□□561ML50S,4320,3936,1920,3206.4,89600
160,560,0.113,0.094,18,40,0.2,0.474,EKXJ161E□□561MM40S,4286.25,3905.25,1905,3181.35,89600
160,680,0.093,0.077,18,45,0.2,0.39,EKXJ161E□□681MM45S,4792.5,4366.5,2130,3557.1,108800
160,680,0.093,0.077,18,50,0.2,0.39,EKXJ161E□□681MM50S,4826.25,4397.25,2145,3582.15,108800
200,27,1.941,1.572,10,16,0.2,9.824,EKXJ201E□□270MJ16S,500,450,200,350,5400
200,47,1.115,0.903,10,20,0.2,5.644,EKXJ201E□□470MJ20S,725,652.5,290,507.5,9400
200,56,0.936,0.758,10,25,0.2,4.737,EKXJ201E□□560MJ25S,862.5,776.25,345,603.75,11200
200,68,0.771,0.624,10,30,0.2,3.901,EKXJ201E□□680MJ30S,1012.5,911.25,405,708.75,13600
200,82,0.639,0.518,12.5,20,0.2,3.235,EKXJ201E□□820MK20S,1300,1170,520,910,16400
200,100,0.631,0.524,10,35,0.2,2.653,EKXJ201E□□101MJ35S,1170,1066,520,868.4,20000
200,100,0.631,0.524,12.5,25,0.2,2.653,EKXJ201E□□101MK25S,1406.25,1281.25,625,1043.75,20000
200,100,0.631,0.524,14.5,20,0.2,2.653,EKXJ201E□□101MU20S,1383.75,1260.75,615,1027.05,20000
200,120,0.526,0.437,10,40,0.2,2.21,EKXJ201E□□121MJ40S,1338.75,1219.75,595,993.65,24000
200,120,0.526,0.437,10,45,0.2,2.21,EKXJ201E□□121MJ45S,1395,1271,620,1035.4,24000
200,120,0.526,0.437,12.5,30,0.2,2.21,EKXJ201E□□121MK30S,1631.25,1486.25,725,1210.75,24000
200,120,0.526,0.437,16,20,0.2,2.21,EKXJ201E□□121ML20S,1563.75,1424.75,695,1160.65,24000
200,150,0.421,0.349,10,50,0.2,1.768,EKXJ201E□□151MJ50S,1620,1476,720,1202.4,30000
200,150,0.421,0.349,12.5,35,0.2,1.768,EKXJ201E□□151MK35S,1935,1763,860,1436.2,30000
