Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
350,18,3.493,2.829,10,16,0.24,17.684,EKXN351E□□180MJ16S,512.5,461.25,205,358.75,6300
350,27,2.329,1.886,10,20,0.24,11.789,EKXN351E□□270MJ20S,675,607.5,270,472.5,9450
350,33,1.905,1.543,10,25,0.24,9.646,EKXN351E□□330MJ25S,812.5,731.25,325,568.75,11550
350,33,1.905,1.543,12.5,16,0.24,9.646,EKXN351E□□330MK16S,787.5,708.75,315,551.25,11550
350,47,1.338,1.084,10,30,0.24,6.773,EKXN351E□□470MJ30S,1050,945,420,735,16450
350,47,1.338,1.084,12.5,20,0.24,6.773,EKXN351E□□470MK20S,1050,945,420,735,16450
350,56,1.123,0.909,10,35,0.24,5.684,EKXN351E□□560MJ35S,1212.5,1091.25,485,848.75,19600
350,56,1.123,0.909,16,16,0.24,5.684,EKXN351E□□560ML16S,1187.5,1068.75,475,831.25,19600
350,68,0.925,0.749,10,40,0.24,4.681,EKXN351E□□680MJ40S,1400,1260,560,980,23800
350,68,0.925,0.749,10,45,0.24,4.681,EKXN351E□□680MJ45S,1450,1305,580,1015,23800
350,68,0.925,0.749,12.5,25,0.24,4.681,EKXN351E□□680MK25S,1375,1237.5,550,962.5,23800
350,68,0.925,0.749,18,16,0.24,4.681,EKXN351E□□680MM16S,1375,1237.5,550,962.5,23800
350,82,0.767,0.621,10,50,0.24,3.882,EKXN351E□□820MJ50S,1650,1485,660,1155,28700
350,82,0.767,0.621,12.5,30,0.24,3.882,EKXN351E□□820MK30S,1600,1440,640,1120,28700
350,82,0.767,0.621,16,20,0.24,3.882,EKXN351E□□820ML20S,1537.5,1383.75,615,1076.25,28700
350,100,0.757,0.629,12.5,35,0.24,3.183,EKXN351E□□101MK35S,1676.25,1527.25,745,1244.15,35000
350,100,0.757,0.629,12.5,40,0.24,3.183,EKXN351E□□101MK40S,1743.75,1588.75,775,1294.25,35000
350,100,0.757,0.629,18,20,0.24,3.183,EKXN351E□□101MM20S,1608.75,1465.75,715,1194.05,35000
350,120,0.631,0.524,12.5,45,0.24,2.653,EKXN351E□□121MK45S,1980,1804,880,1469.6,42000
350,120,0.631,0.524,16,25,0.24,2.653,EKXN351E□□121ML25S,1822.5,1660.5,810,1352.7,42000
350,120,0.631,0.524,16,30,0.24,2.653,EKXN351E□□121ML30S,1957.5,1783.5,870,1452.9,42000
350,150,0.505,0.419,12.5,50,0.24,2.122,EKXN351E□□151MK50S,2272.5,2070.5,1010,1686.7,52500
350,150,0.505,0.419,18,25,0.24,2.122,EKXN351E□□151MM25S,2092.5,1906.5,930,1553.1,52500
350,180,0.421,0.349,16,35,0.24,1.768,EKXN351E□□181ML35S,2452.5,2234.5,1090,1820.3,63000
350,180,0.421,0.349,16,40,0.24,1.768,EKXN351E□□181ML40S,2520,2296,1120,1870.4,63000
350,180,0.421,0.349,18,30,0.24,1.768,EKXN351E□□181MM30S,2452.5,2234.5,1090,1820.3,63000
350,220,0.344,0.286,16,45,0.24,1.447,EKXN351E□□221ML45S,2857.5,2603.5,1270,2120.9,77000
350,220,0.344,0.286,18,35,0.24,1.447,EKXN351E□□221MM35S,2812.5,2562.5,1250,2087.5,77000
350,220,0.344,0.286,18,40,0.24,1.447,EKXN351E□□221MM40S,2880,2624,1280,2137.6,77000
350,270,0.281,0.233,16,50,0.24,1.179,EKXN351E□□271ML50S,3217.5,2931.5,1430,2388.1,94500
350,270,0.281,0.233,18,45,0.24,1.179,EKXN351E□□271MM45S,3262.5,2972.5,1450,2421.5,94500
350,330,0.23,0.191,18,50,0.24,0.965,EKXN351E□□331MM50S,3600,3280,1600,2672,115500
400,15,4.192,3.395,10,16,0.24,21.221,EKXN401E□□150MJ16S,462.5,416.25,185,323.75,6000
400,22,2.858,2.315,10,20,0.24,14.469,EKXN401E□□220MJ20S,612.5,551.25,245,428.75,8800
