Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
6.3,100,,0.9,5,11,,3.6,EKYA6R3E□□101ME11D,150,135,60,112.8,630
6.3,180,,0.4,5,11,,1.6,EKYA6R3E□□181ME11D,250,225,100,188,1134
6.3,220,,0.4,5,11,,1.6,EKYA6R3E□□221ME11D,250,235,125,212.5,1386
6.3,330,,0.22,6.3,11,,0.87,EKYA6R3E□□331MF11D,400,376,200,340,2079
6.3,470,,0.22,6.3,11,,0.87,EKYA6R3E□□471MF11D,400,376,200,340,2961
6.3,820,,0.13,8,11.5,,0.52,EKYA6R3E□□821MHB5D,640,605.51,383.23,555.69,5166
6.3,1200,,0.08,10,12.5,,0.32,EKYA6R3E□□122MJC5S,865,818.38,517.96,751.05,7560
6.3,1200,,0.087,8,15,,0.35,EKYA6R3E□□122MH15D,840,794.73,502.99,729.34,7560
6.3,1500,,0.069,8,20,,0.27,EKYA6R3E□□152MH20D,1050,993.41,628.74,911.68,9450
6.3,1800,,0.06,10,16,,0.24,EKYA6R3E□□182MJ16S,1300,1229.94,778.44,1128.74,11340
6.3,2700,,0.046,10,20,,0.18,EKYA6R3E□□272MJ20S,1400,1336.84,1052.63,1263.16,17010
6.3,3300,,0.042,10,25,,0.17,EKYA6R3E□□332MJ25S,1650,1575.56,1240.6,1488.72,20790
6.3,3900,,0.035,12.5,20,,0.12,EKYA6R3E□□392MK20S,1900,1814.29,1428.57,1714.29,24570
6.3,4700,,0.027,12.5,25,,0.089,EKYA6R3E□□472MK25S,2230,2173.31,1889.83,2116.61,29610
6.3,5600,,0.027,12.5,25,,0.089,EKYA6R3E□□562MK25S,2230,2173.31,1889.83,2116.61,35280
6.3,10000,,0.021,16,25,,0.06,EKYA6R3E□□103ML25S,2930,2855.51,2483.05,2781.02,63000
6.3,12000,,0.017,16,31.5,,0.05,EKYA6R3E□□123MLN3S,3450,3362.29,2923.73,3274.58,75600
6.3,15000,,0.015,16,35.5,,0.044,EKYA6R3E□□153MLP1S,3610,3518.22,3059.32,3426.44,94500
10,100,,0.9,5,11,,3.6,EKYA100E□□101ME11D,150,135,60,112.8,1000
10,120,,0.4,5,11,,1.6,EKYA100E□□121ME11D,250,225,100,188,1200
10,330,,0.22,6.3,11,,0.87,EKYA100E□□331MF11D,400,376,200,340,3300
10,560,,0.13,8,11.5,,0.52,EKYA100E□□561MHB5D,640,601.6,320,544,5600
10,820,,0.087,8,15,,0.35,EKYA100E□□821MH15D,840,794.73,502.99,729.34,8200
10,820,,0.08,10,12.5,,0.32,EKYA100E□□821MJC5S,865,818.38,517.96,751.05,8200
10,1000,,0.08,10,12.5,,0.32,EKYA100E□□102MJC5S,865,818.38,517.96,751.05,10000
10,1200,,0.069,8,20,,0.27,EKYA100E□□122MH20D,1050,993.41,628.74,911.68,12000
10,1200,,0.06,10,16,,0.24,EKYA100E□□122MJ16S,1300,1229.94,778.44,1128.74,12000
10,1800,,0.046,10,20,,0.18,EKYA100E□□182MJ20S,1400,1324.55,838.32,1215.57,18000
10,2200,,0.042,10,25,,0.17,EKYA100E□□222MJ25S,1650,1575.56,1240.6,1488.72,22000
10,3300,,0.035,12.5,20,,0.12,EKYA100E□□332MK20S,1900,1814.29,1428.57,1714.29,33000
10,3900,,0.027,12.5,25,,0.089,EKYA100E□□392MK25S,2230,2129.4,1676.69,2012.03,39000
10,6800,,0.021,16,25,,0.06,EKYA100E□□682ML25S,2930,2855.51,2483.05,2781.02,68000
10,10000,,0.017,16,31.5,,0.05,EKYA100E□□103MLN3S,3450,3362.29,2923.73,3274.58,100000
10,12000,,0.015,16,35.5,,0.044,EKYA100E□□123MLP1S,3610,3518.22,3059.32,3426.44,120000
16,47,,0.4,5,11,,1.6,EKYA160E□□470ME11D,250,225,100,188,752
16,100,,0.4,5,11,,1.6,EKYA160E□□101ME11D,250,225,100,188,1600
16,220,,0.22,6.3,11,,0.87,EKYA160E□□221MF11D,400,376,200,340,3520
16,270,,0.22,6.3,11,,0.87,EKYA160E□□271MF11D,400,376,200,340,4320
16,470,,0.13,8,11.5,,0.52,EKYA160E□□471MHB5D,640,601.6,320,544,7520
16,680,,0.087,8,15,,0.35,EKYA160E□□681MH15D,840,794.73,502.99,729.34,10880
16,680,,0.08,10,12.5,,0.32,EKYA160E□□681MJC5S,865,818.38,517.96,751.05,10880
16,820,,0.069,8,20,,0.27,EKYA160E□□821MH20D,1050,993.41,628.74,911.68,13120
16,1000,,0.06,10,16,,0.24,EKYA160E□□102MJ16S,1300,1229.94,778.44,1128.74,16000
16,1500,,0.046,10,20,,0.18,EKYA160E□□152MJ20S,1400,1324.55,838.32,1215.57,24000
16,1800,,0.042,10,25,,0.17,EKYA160E□□182MJ25S,1650,1561.08,988.02,1432.63,28800
16,2200,,0.035,12.5,20,,0.12,EKYA160E□□222MK20S,1900,1814.29,1428.57,1714.29,35200
16,3300,,0.027,12.5,25,,0.089,EKYA160E□□332MK25S,2230,2129.4,1676.69,2012.03,52800
16,4700,,0.021,16,25,,0.06,EKYA160E□□472ML25S,2930,2855.51,2483.05,2781.02,75200
16,5600,,0.021,16,25,,0.06,EKYA160E□□562ML25S,2930,2855.51,2483.05,2781.02,89600
16,6800,,0.017,16,31.5,,0.05,EKYA160E□□682MLN3S,3450,3362.29,2923.73,3274.58,108800
16,8200,,0.017,16,31.5,,0.05,EKYA160E□□822MLN3S,3450,3362.29,2923.73,3274.58,131200
16,10000,,0.015,16,35.5,,0.044,EKYA160E□□103MLP1S,3610,3518.22,3059.32,3426.44,160000
25,33,,0.4,5,11,,1.6,EKYA250E□□330ME11D,250,225,100,188,825
25,47,,0.4,5,11,,1.6,EKYA250E□□470ME11D,250,225,100,188,1175
25,68,,0.4,5,11,,1.6,EKYA250E□□680ME11D,250,225,100,188,1700
25,150,,0.22,6.3,11,,0.87,EKYA250E□□151MF11D,400,360,160,300.8,3750
25,330,,0.13,8,11.5,,0.52,EKYA250E□□331MHB5D,640,601.6,320,544,8250
25,390,,0.087,8,15,,0.35,EKYA250E□□391MH15D,840,789.6,420,714,9750
25,470,,0.08,10,12.5,,0.32,EKYA250E□□471MJC5S,865,813.1,432.5,735.25,11750
25,560,,0.069,8,20,,0.27,EKYA250E□□561MH20D,1050,987,525,892.5,14000
25,680,,0.06,10,16,,0.24,EKYA250E□□681MJ16S,1300,1229.94,778.44,1128.74,17000
25,1000,,0.046,10,20,,0.18,EKYA250E□□102MJ20S,1400,1324.55,838.32,1215.57,25000
25,1200,,0.042,10,25,,0.17,EKYA250E□□122MJ25S,1650,1561.08,988.02,1432.63,30000
25,1500,,0.035,12.5,20,,0.12,EKYA250E□□152MK20S,1900,1797.6,1137.72,1649.7,37500
25,2200,,0.027,12.5,25,,0.089,EKYA250E□□222MK25S,2230,2129.4,1676.69,2012.03,55000
25,3300,,0.021,16,25,,0.06,EKYA250E□□332ML25S,2930,2797.82,2203.01,2643.61,82500
25,3900,,0.021,16,25,,0.06,EKYA250E□□392ML25S,2930,2797.82,2203.01,2643.61,97500
25,4700,,0.017,16,31.5,,0.05,EKYA250E□□472MLN3S,3450,3362.29,2923.73,3274.58,117500
25,5600,,0.015,16,35.5,,0.044,EKYA250E□□562MLP1S,3610,3518.22,3059.32,3426.44,140000
35,33,,0.4,5,11,,1.6,EKYA350E□□330ME11D,250,225,100,188,1155
35,47,,0.4,5,11,,1.6,EKYA350E□□470ME11D,250,225,100,188,1645
35,100,,0.22,6.3,11,,0.87,EKYA350E□□101MF11D,400,360,160,300.8,3500
35,220,,0.13,8,11.5,,0.52,EKYA350E□□221MHB5D,640,601.6,320,544,7700
35,270,,0.087,8,15,,0.35,EKYA350E□□271MH15D,840,789.6,420,714,9450
35,330,,0.08,10,12.5,,0.32,EKYA350E□□331MJC5S,865,813.1,432.5,735.25,11550
35,390,,0.069,8,20,,0.27,EKYA350E□□391MH20D,1050,987,525,892.5,13650
35,470,,0.06,10,16,,0.24,EKYA350E□□471MJ16S,1300,1222,650,1105,16450
35,680,,0.046,10,20,,0.18,EKYA350E□□681MJ20S,1400,1324.55,838.32,1215.57,23800
35,820,,0.042,10,25,,0.17,EKYA350E□□821MJ25S,1650,1561.08,988.02,1432.63,28700
35,1000,,0.035,12.5,20,,0.12,EKYA350E□□102MK20S,1900,1797.6,1137.72,1649.7,35000
35,1500,,0.027,12.5,25,,0.089,EKYA350E□□152MK25S,2230,2109.82,1335.33,1936.23,52500
35,2200,,0.021,16,25,,0.06,EKYA350E□□222ML25S,2930,2797.82,2203.01,2643.61,77000
35,2700,,0.021,16,25,,0.06,EKYA350E□□272ML25S,2930,2797.82,2203.01,2643.61,94500
35,3300,,0.017,16,31.5,,0.05,EKYA350E□□332MLN3S,3450,3294.36,2593.98,3112.78,115500
35,3900,,0.015,16,35.5,,0.044,EKYA350E□□392MLP1S,3610,3447.14,2714.29,3257.14,136500
50,1,,4,5,11,,16,EKYA500E□□1R0ME11D,30,27,12,22.56,50
50,2.2,,2.5,5,11,,10,EKYA500E□□2R2ME11D,43,38.7,17.2,32.34,110.00000000000001
50,3.3,,2.2,5,11,,8.8,EKYA500E□□3R3ME11D,53,47.7,21.2,39.86,165
50,4.7,,1.9,5,11,,7.6,EKYA500E□□4R7ME11D,88,79.2,35.2,66.18,235
50,10,,1.5,5,11,,6,EKYA500E□□100ME11D,100,90,40,75.2,500
50,22,,0.7,5,11,,2.8,EKYA500E□□220ME11D,180,162,72,135.36,1100
50,27,,0.7,5,11,,2.8,EKYA500E□□270ME11D,250,225,100,188,1350
50,47,,0.3,6.3,11,,1.2,EKYA500E□□470MF11D,295,265.5,118,221.84,2350
50,56,,0.3,6.3,11,,1.2,EKYA500E□□560MF11D,295,265.5,118,221.84,2800
50,100,,0.17,8,11.5,,0.68,EKYA500E□□101MHB5D,555,499.5,222,417.36,5000
50,150,,0.12,8,15,,0.48,EKYA500E□□151MH15D,730,657,292,548.96,7500
50,180,,0.12,10,12.5,,0.48,EKYA500E□□181MJC5S,760,684,304,571.52,9000
50,180,,0.091,8,20,,0.36,EKYA500E□□181MH20D,910,819,364,684.32,9000
50,220,,0.084,10,16,,0.34,EKYA500E□□221MJ16S,1050,987,525,892.5,11000
50,330,,0.06,10,20,,0.24,EKYA500E□□331MJ20S,1220,1146.8,610,1037,16500
50,470,,0.055,10,25,,0.22,EKYA500E□□471MJ25S,1440,1353.6,720,1224,23500
50,470,,0.045,12.5,20,,0.15,EKYA500E□□471MK20S,1660,1560.4,830,1411,23500
50,560,,0.045,12.5,20,,0.15,EKYA500E□□561MK20S,1660,1560.4,830,1411,28000
50,820,,0.034,12.5,25,,0.11,EKYA500E□□821MK25S,1950,1844.91,1167.66,1693.11,41000
50,1000,,0.025,16,25,,0.075,EKYA500E□□102ML25S,2555,2417.31,1529.94,2218.41,50000
50,1200,,0.025,16,25,,0.075,EKYA500E□□122ML25S,2555,2417.31,1529.94,2218.41,60000
50,1800,,0.022,16,31.5,,0.066,EKYA500E□□182MLN3S,3010,2847.78,1802.4,2613.47,90000
50,2200,,0.019,16,35.5,,0.057,EKYA500E□□222MLP1S,3150,3007.89,2368.42,2842.11,110000
63,10,,0.88,5,11,,3.5,EKYA630E□□100ME11D,173,155.7,69.2,130.1,630
63,15,,0.88,5,11,,3.5,EKYA630E□□150ME11D,173,155.7,69.2,130.1,945
63,33,,0.35,6.3,11,,1.4,EKYA630E□□330MF11D,278,250.2,111.2,209.06,2079
63,56,,0.22,8,11.5,,0.88,EKYA630E□□560MHB5D,500,450,200,376,3528
63,82,,0.16,8,15,,0.64,EKYA630E□□820MH15D,665,598.5,266,500.08,5166
63,100,,0.11,10,12.5,,0.44,EKYA630E□□101MJC5S,725,652.5,290,545.2,6300
63,120,,0.12,8,20,,0.48,EKYA630E□□121MH20D,820,738,328,616.64,7560
63,120,,0.076,10,16,,0.31,EKYA630E□□121MJ16S,950,855,380,714.4,7560
63,220,,0.056,10,20,,0.23,EKYA630E□□221MJ20S,1200,1128,600,1020,13860
63,330,,0.046,10,25,,0.19,EKYA630E□□331MJ25S,1350,1269,675,1147.5,20790
63,330,,0.041,12.5,20,,0.13,EKYA630E□□331MK20S,1570,1475.8,785,1334.5,20790
63,390,,0.041,12.5,20,,0.13,EKYA630E□□391MK20S,1570,1475.8,785,1334.5,24570
63,470,,0.031,12.5,25,,0.093,EKYA630E□□471MK25S,1990,1870.6,995,1691.5,29610
63,560,,0.031,12.5,25,,0.093,EKYA630E□□561MK25S,1990,1870.6,995,1691.5,35280
63,1000,,0.025,16,25,,0.075,EKYA630E□□102ML25S,2730,2582.87,1634.73,2370.36,63000
63,1200,,0.021,16,31.5,,0.063,EKYA630E□□122MLN3S,2850,2696.41,1706.59,2474.55,75600
63,1500,,0.019,16,35.5,,0.057,EKYA630E□□152MLP1S,2900,2743.71,1736.53,2517.96,94500
100,1,,4.5,5,11,,15,EKYA101E□□1R0ME11D,20,18,8,15.04,100
