Voltage,Capacitance,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,VC
6.3,180,0.259,0.29,5,11,0.22,1.621,2.5,2.25,1.0,1.88,1.2,EKYB6R3E□□181ME11D,340,1134.0
6.3,390,0.187,0.15,6.3,11,0.22,0.748,2.0,1.88,1.0,1.7,0.6,EKYB6R3E□□391MF11D,540,2457.0
6.3,820,0.128,0.087,8,11.5,0.22,0.356,1.67,1.58,1.0,1.45,0.35,EKYB6R3E□□821MHB5D,840,5166.0
6.3,1200,0.095,0.069,8,15,0.22,0.265,1.67,1.58,1.0,1.45,0.28,EKYB6R3E□□122MH15D,1050,7560.0
6.3,1200,0.095,0.064,10,12.5,0.22,0.265,1.67,1.58,1.0,1.45,0.26,EKYB6R3E□□122MJC5S,1050,7560.0
6.3,1500,0.076,0.06,8,20,0.22,0.212,1.67,1.58,1.0,1.45,0.24,EKYB6R3E□□152MH20D,1210,9450.0
6.3,1800,0.063,0.049,10,16,0.22,0.177,1.67,1.58,1.0,1.45,0.2,EKYB6R3E□□182MJ16S,1400,11340.0
6.3,2200,0.089,0.037,10,20,0.22,0.157,1.33,1.27,1.0,1.2,0.15,EKYB6R3E□□222MJ20S,1650,13860.0
6.3,2700,0.072,0.031,10,25,0.22,0.128,1.33,1.27,1.0,1.2,0.13,EKYB6R3E□□272MJ25S,1910,17010.0
6.3,3300,0.064,0.027,10,30,0.22,0.113,1.33,1.27,1.0,1.2,0.11,EKYB6R3E□□332MJ30S,2230,20790.0
6.3,3900,0.054,0.027,12.5,20,0.22,0.095,1.33,1.27,1.0,1.2,0.11,EKYB6R3E□□392MK20S,2230,24570.0
6.3,4700,0.061,0.024,12.5,25,0.22,0.085,1.18,1.15,1.0,1.12,0.096,EKYB6R3E□□472MK25S,2530,29610.0
6.3,6800,0.066,0.021,12.5,30,0.22,0.066,,,,,0.084,EKYB6R3E□□682MK30S,2860,42840.0
6.3,6800,0.066,0.025,16,20,0.22,0.066,,,,,0.1,EKYB6R3E□□682ML20S,2610,42840.0
6.3,8200,0.061,0.018,12.5,35,0.22,0.061,,,,,0.072,EKYB6R3E□□822MK35S,3140,51660.0
6.3,8200,0.061,0.021,18,20,0.22,0.061,,,,,0.084,EKYB6R3E□□822MM20S,3000,51660.0
6.3,10000,0.056,0.017,12.5,40,0.22,0.056,,,,,0.068,EKYB6R3E□□103MK40S,3640,63000.0
6.3,10000,0.056,0.02,16,25,0.22,0.056,,,,,0.08,EKYB6R3E□□103ML25S,3140,63000.0
