Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
6.3,820,,0.08,10,12.5,,0.32,EKY-6R3E□□821MJC5S,865,818.38,517.96,751.05,5166
6.3,1200,,0.06,10,16,,0.24,EKY-6R3E□□122MJ16S,1210,1144.79,724.55,1050.6,7560
6.3,1500,,0.046,10,20,,0.18,EKY-6R3E□□152MJ20S,1400,1324.55,838.32,1215.57,9450
6.3,1800,,0.049,12.5,15,,0.16,EKY-6R3E□□182MK15S,1450,1371.86,868.26,1258.98,11340
6.3,2200,,0.042,10,25,,0.17,EKY-6R3E□□222MJ25S,1650,1575.56,1240.6,1488.72,13860
6.3,2700,,0.031,10,30,,0.12,EKY-6R3E□□272MJ30S,1910,1823.83,1436.09,1723.31,17010
6.3,2700,,0.042,16,15,,0.12,EKY-6R3E□□272ML15S,1940,1852.48,1458.65,1750.38,17010
6.3,3300,,0.035,12.5,20,,0.12,EKY-6R3E□□332MK20S,1900,1814.29,1428.57,1714.29,20790
6.3,3900,,0.027,12.5,25,,0.089,EKY-6R3E□□392MK25S,2230,2129.4,1676.69,2012.03,24570
6.3,3900,,0.043,18,15,,0.11,EKY-6R3E□□392MM15S,2210,2110.3,1661.65,1993.98,24570
6.3,4700,,0.024,12.5,30,,0.078,EKY-6R3E□□472MK30S,2650,2582.63,2245.76,2515.25,29610
6.3,5600,,0.02,12.5,35,,0.065,EKY-6R3E□□562MK35S,2880,2806.78,2440.68,2733.56,35280
6.3,5600,,0.027,16,20,,0.078,EKY-6R3E□□562ML20S,2530,2465.68,2144.07,2401.36,35280
6.3,6800,,0.017,12.5,40,,0.056,EKY-6R3E□□682MK40S,3350,3264.83,2838.98,3179.66,42840
6.3,6800,,0.021,16,25,,0.06,EKY-6R3E□□682ML25S,2930,2855.51,2483.05,2781.02,42840
6.3,6800,,0.026,18,20,,0.067,EKY-6R3E□□682MM20S,2860,2787.29,2423.73,2714.58,42840
6.3,8200,,0.017,16,31.5,,0.05,EKY-6R3E□□822MLN3S,3450,3362.29,2923.73,3274.58,51660
6.3,10000,,0.015,16,35.5,,0.044,EKY-6R3E□□103MLP1S,3610,3518.22,3059.32,3426.44,63000
6.3,10000,,0.019,18,25,,0.049,EKY-6R3E□□103MM25S,3140,3060.17,2661.02,2980.34,63000
6.3,12000,,0.013,16,40,,0.038,EKY-6R3E□□123ML40S,4080,3976.27,3457.63,3872.54,75600
6.3,12000,,0.015,18,31.5,,0.04,EKY-6R3E□□123MMN3S,4170,4063.98,3533.9,3957.97,75600
6.3,15000,,0.014,18,35.5,,0.038,EKY-6R3E□□153MMP1S,4220,4112.71,3576.27,4005.42,94500
6.3,18000,,0.012,18,40,,0.032,EKY-6R3E□□183MM40S,4280,4171.19,3627.12,4062.37,113400
10,680,,0.08,10,12.5,,0.32,EKY-100E□□681MJC5S,865,818.38,517.96,751.05,6800
10,1000,,0.06,10,16,,0.24,EKY-100E□□102MJ16S,1210,1144.79,724.55,1050.6,10000
10,1200,,0.046,10,20,,0.18,EKY-100E□□122MJ20S,1400,1324.55,838.32,1215.57,12000
10,1500,,0.042,10,25,,0.17,EKY-100E□□152MJ25S,1650,1561.08,988.02,1432.63,15000
10,1500,,0.049,12.5,15,,0.16,EKY-100E□□152MK15S,1450,1371.86,868.26,1258.98,15000
10,2200,,0.031,10,30,,0.12,EKY-100E□□222MJ30S,1910,1823.83,1436.09,1723.31,22000
