Voltage,Capacitance,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,VC
6.3,150,0.311,0.3,5,11,0.22,1.945,2.5,2.25,1.0,1.88,1.0,EKZE6R3E□□151ME11D,250,945.0
6.3,330,0.221,0.13,6.3,11,0.22,0.884,2.0,1.88,1.0,1.7,0.41,EKZE6R3E□□331MF11D,405,2079.0
6.3,560,0.13,0.072,8,11.5,0.22,0.521,2.0,1.88,1.0,1.7,0.22,EKZE6R3E□□561MHB5D,760,3528.0
6.3,820,0.128,0.056,8,15,0.22,0.356,1.67,1.58,1.0,1.45,0.17,EKZE6R3E□□821MH15D,995,5166.0
6.3,1000,0.114,0.053,10,12.5,0.22,0.318,1.67,1.58,1.0,1.45,0.16,EKZE6R3E□□102MJC5S,1030,6300.0
6.3,1200,0.095,0.041,8,20,0.22,0.265,1.67,1.58,1.0,1.45,0.13,EKZE6R3E□□122MH20D,1250,7560.0
6.3,1200,0.095,0.038,10,16,0.22,0.265,1.67,1.58,1.0,1.45,0.12,EKZE6R3E□□122MJ16S,1430,7560.0
6.3,1500,0.076,0.023,10,20,0.22,0.212,1.67,1.58,1.0,1.45,0.069,EKZE6R3E□□152MJ20S,1820,9450.0
6.3,2200,0.089,0.022,10,25,0.22,0.157,1.33,1.27,1.0,1.2,0.066,EKZE6R3E□□222MJ25S,2150,13860.0
6.3,3300,0.064,0.021,12.5,20,0.22,0.113,1.33,1.27,1.0,1.2,0.053,EKZE6R3E□□332MK20S,2360,20790.0
6.3,3900,0.054,0.018,12.5,25,0.22,0.095,1.33,1.27,1.0,1.2,0.045,EKZE6R3E□□392MK25S,2770,24570.0
6.3,4700,0.061,0.016,12.5,30,0.22,0.085,1.18,1.15,1.0,1.12,0.041,EKZE6R3E□□472MK30S,3290,29610.0
6.3,5600,0.076,0.015,12.5,35,0.22,0.076,,,,,0.039,EKZE6R3E□□562MK35S,3400,35280.0
6.3,5600,0.076,0.018,16,20,0.22,0.076,,,,,0.045,EKZE6R3E□□562ML20S,3140,35280.0
6.3,6800,0.066,0.016,16,25,0.22,0.066,,,,,0.043,EKZE6R3E□□682ML25S,3460,42840.0
10,100,0.403,0.3,5,11,0.19,2.52,2.5,2.25,1.0,1.88,1.0,EKZE100E□□101ME11D,250,1000.0
10,220,0.286,0.13,6.3,11,0.19,1.145,2.0,1.88,1.0,1.7,0.41,EKZE100E□□221MF11D,405,2200.0
10,470,0.134,0.072,8,11.5,0.19,0.536,2.0,1.88,1.0,1.7,0.22,EKZE100E□□471MHB5D,760,4700.0
10,680,0.133,0.056,8,15,0.19,0.371,1.67,1.58,1.0,1.45,0.17,EKZE100E□□681MH15D,995,6800.0
10,680,0.133,0.053,10,12.5,0.19,0.371,1.67,1.58,1.0,1.45,0.16,EKZE100E□□681MJC5S,1030,6800.0
10,1000,0.1,0.041,8,20,0.19,0.279,1.67,1.58,1.0,1.45,0.13,EKZE100E□□102MH20D,1250,10000.0
10,1000,0.1,0.038,10,16,0.19,0.279,1.67,1.58,1.0,1.45,0.12,EKZE100E□□102MJ16S,1430,10000.0
10,1200,0.083,0.023,10,20,0.19,0.232,1.67,1.58,1.0,1.45,0.069,EKZE100E□□122MJ20S,1820,12000.0
10,1500,0.067,0.022,10,25,0.19,0.186,1.67,1.58,1.0,1.45,0.066,EKZE100E□□152MJ25S,2150,15000.0
10,2200,0.078,0.021,12.5,20,0.19,0.139,1.33,1.27,1.0,1.2,0.053,EKZE100E□□222MK20S,2360,22000.0
10,3300,0.057,0.018,12.5,25,0.19,0.1,1.33,1.27,1.0,1.2,0.045,EKZE100E□□332MK25S,2770,33000.0
10,3900,0.048,0.016,12.5,30,0.19,0.085,1.33,1.27,1.0,1.2,0.041,EKZE100E□□392MK30S,3290,39000.0
10,3900,0.048,0.018,16,20,0.19,0.085,1.33,1.27,1.0,1.2,0.045,EKZE100E□□392ML20S,3140,39000.0
10,4700,0.055,0.015,12.5,35,0.19,0.076,1.18,1.15,1.0,1.12,0.039,EKZE100E□□472MK35S,3400,47000.0
10,5600,0.069,0.016,16,25,0.19,0.069,,,,,0.043,EKZE100E□□562ML25S,3460,56000.0
16,56,0.606,0.3,5,11,0.16,3.789,2.5,2.25,1.0,1.88,1.0,EKZE160E□□560ME11D,250,896.0
16,120,0.283,0.13,6.3,11,0.16,1.768,2.5,2.25,1.0,1.88,0.41,EKZE160E□□121MF11D,405,1920.0
16,330,0.161,0.072,8,11.5,0.16,0.643,2.0,1.88,1.0,1.7,0.22,EKZE160E□□331MHB5D,760,5280.0
16,470,0.113,0.056,8,15,0.16,0.452,2.0,1.88,1.0,1.7,0.17,EKZE160E□□471MH15D,995,7520.0
16,470,0.113,0.053,10,12.5,0.16,0.452,2.0,1.88,1.0,1.7,0.16,EKZE160E□□471MJC5S,1030,7520.0
16,680,0.112,0.041,8,20,0.16,0.312,1.67,1.58,1.0,1.45,0.13,EKZE160E□□681MH20D,1250,10880.0
16,680,0.112,0.038,10,16,0.16,0.312,1.67,1.58,1.0,1.45,0.12,EKZE160E□□681MJ16S,1430,10880.0
16,1000,0.086,0.023,10,20,0.16,0.239,1.67,1.58,1.0,1.45,0.069,EKZE160E□□102MJ20S,1820,16000.0
16,1200,0.071,0.022,10,25,0.16,0.199,1.67,1.58,1.0,1.45,0.066,EKZE160E□□122MJ25S,2150,19200.0
16,1500,0.057,0.021,12.5,20,0.16,0.159,1.67,1.58,1.0,1.45,0.053,EKZE160E□□152MK20S,2360,24000.0
16,2200,0.068,0.018,12.5,25,0.16,0.121,1.33,1.27,1.0,1.2,0.045,EKZE160E□□222MK25S,2770,35200.0
16,2700,0.056,0.016,12.5,30,0.16,0.098,1.33,1.27,1.0,1.2,0.041,EKZE160E□□272MK30S,3290,43200.0
16,2700,0.056,0.018,16,20,0.16,0.098,1.33,1.27,1.0,1.2,0.045,EKZE160E□□272ML20S,3140,43200.0
16,3300,0.05,0.015,12.5,35,0.16,0.088,1.33,1.27,1.0,1.2,0.039,EKZE160E□□332MK35S,3400,52800.0
16,3900,0.042,0.016,16,25,0.16,0.075,1.33,1.27,1.0,1.2,0.043,EKZE160E□□392ML25S,3460,62400.0
25,47,0.632,0.3,5,11,0.14,3.951,2.5,2.25,1.0,1.88,1.0,EKZE250E□□470ME11D,250,1175.0
25,100,0.297,0.13,6.3,11,0.14,1.857,2.5,2.25,1.0,1.88,0.41,EKZE250E□□101MF11D,405,2500.0
25,220,0.211,0.072,8,11.5,0.14,0.844,2.0,1.88,1.0,1.7,0.22,EKZE250E□□221MHB5D,760,5500.0
25,330,0.141,0.056,8,15,0.14,0.563,2.0,1.88,1.0,1.7,0.17,EKZE250E□□331MH15D,995,8250.0
25,330,0.141,0.053,10,12.5,0.14,0.563,2.0,1.88,1.0,1.7,0.16,EKZE250E□□331MJC5S,1030,8250.0
25,470,0.099,0.041,8,20,0.14,0.395,2.0,1.88,1.0,1.7,0.13,EKZE250E□□471MH20D,1250,11750.0
25,470,0.099,0.038,10,16,0.14,0.395,2.0,1.88,1.0,1.7,0.12,EKZE250E□□471MJ16S,1430,11750.0
25,680,0.098,0.023,10,20,0.14,0.273,1.67,1.58,1.0,1.45,0.069,EKZE250E□□681MJ20S,1820,17000.0
25,820,0.081,0.022,10,25,0.14,0.226,1.67,1.58,1.0,1.45,0.066,EKZE250E□□821MJ25S,2150,20500.0
25,1000,0.076,0.021,12.5,20,0.14,0.212,1.67,1.58,1.0,1.45,0.053,EKZE250E□□102MK20S,2360,25000.0
25,1500,0.051,0.018,12.5,25,0.14,0.141,1.67,1.58,1.0,1.45,0.045,EKZE250E□□152MK25S,2770,37500.0
25,1800,0.042,0.016,12.5,30,0.14,0.118,1.67,1.58,1.0,1.45,0.041,EKZE250E□□182MK30S,3290,45000.0
25,1800,0.042,0.018,16,20,0.14,0.118,1.67,1.58,1.0,1.45,0.045,EKZE250E□□182ML20S,3140,45000.0
25,2200,0.061,0.015,12.5,35,0.14,0.109,1.33,1.27,1.0,1.2,0.039,EKZE250E□□222MK35S,3400,55000.0
25,2700,0.05,0.016,16,25,0.14,0.088,1.33,1.27,1.0,1.2,0.043,EKZE250E□□272ML25S,3460,67500.0
35,33,0.772,0.3,5,11,0.12,4.823,2.5,2.25,1.0,1.88,1.0,EKZE350E□□330ME11D,250,1155.0
35,56,0.455,0.13,6.3,11,0.12,2.842,2.5,2.25,1.0,1.88,0.41,EKZE350E□□560MF11D,405,1960.0
35,150,0.17,0.072,8,11.5,0.12,1.061,2.5,2.25,1.0,1.88,0.22,EKZE350E□□151MHB5D,760,5250.0
35,220,0.181,0.056,8,15,0.12,0.723,2.0,1.88,1.0,1.7,0.17,EKZE350E□□221MH15D,995,7700.0
35,220,0.181,0.053,10,12.5,0.12,0.723,2.0,1.88,1.0,1.7,0.16,EKZE350E□□221MJC5S,1030,7700.0
35,270,0.147,0.041,8,20,0.12,0.589,2.0,1.88,1.0,1.7,0.13,EKZE350E□□271MH20D,1250,9450.0
35,330,0.121,0.038,10,16,0.12,0.482,2.0,1.88,1.0,1.7,0.12,EKZE350E□□331MJ16S,1430,11550.0
35,470,0.085,0.023,10,20,0.12,0.339,2.0,1.88,1.0,1.7,0.069,EKZE350E□□471MJ20S,1820,16450.0
35,560,0.071,0.022,10,25,0.12,0.284,2.0,1.88,1.0,1.7,0.066,EKZE350E□□561MJ25S,2150,19600.0
35,680,0.084,0.021,12.5,20,0.12,0.234,1.67,1.58,1.0,1.45,0.053,EKZE350E□□681MK20S,2360,23800.0
35,1000,0.067,0.018,12.5,25,0.12,0.186,1.67,1.58,1.0,1.45,0.045,EKZE350E□□102MK25S,2770,35000.0
35,1200,0.055,0.016,12.5,30,0.12,0.155,1.67,1.58,1.0,1.45,0.041,EKZE350E□□122MK30S,3290,42000.0
35,1200,0.055,0.018,16,20,0.12,0.155,1.67,1.58,1.0,1.45,0.045,EKZE350E□□122ML20S,3140,42000.0
35,1500,0.044,0.015,12.5,35,0.12,0.124,1.67,1.58,1.0,1.45,0.039,EKZE350E□□152MK35S,3400,52500.0
35,1800,0.037,0.016,16,25,0.12,0.103,1.67,1.58,1.0,1.45,0.043,EKZE350E□□182ML25S,3460,63000.0
50,22,0.965,0.34,5,11,0.1,6.029,2.5,2.25,1.0,1.88,1.18,EKZE500E□□220ME11D,238,1100.0
50,56,0.379,0.14,6.3,11,0.1,2.368,2.5,2.25,1.0,1.88,0.5,EKZE500E□□560MF11D,385,2800.0
50,100,0.212,0.074,8,11.5,0.1,1.326,2.5,2.25,1.0,1.88,0.22,EKZE500E□□101MHB5D,724,5000.0
50,120,0.177,0.061,8,15,0.1,1.105,2.5,2.25,1.0,1.88,0.18,EKZE500E□□121MH15D,950,6000.0
50,150,0.141,0.061,10,12.5,0.1,0.884,2.5,2.25,1.0,1.88,0.18,EKZE500E□□151MJC5S,979,7500.0
50,180,0.118,0.046,8,20,0.1,0.737,2.5,2.25,1.0,1.88,0.14,EKZE500E□□181MH20D,1190,9000.0
50,220,0.151,0.042,10,16,0.1,0.603,2.0,1.88,1.0,1.7,0.12,EKZE500E□□221MJ16S,1370,11000.0
50,270,0.123,0.03,10,20,0.1,0.491,2.0,1.88,1.0,1.7,0.09,EKZE500E□□271MJ20S,1580,13500.0
50,330,0.1,0.028,10,25,0.1,0.402,2.0,1.88,1.0,1.7,0.085,EKZE500E□□331MJ25S,1870,16500.0
50,470,0.071,0.027,12.5,20,0.1,0.282,2.0,1.88,1.0,1.7,0.068,EKZE500E□□471MK20S,2050,23500.0
50,560,0.059,0.023,12.5,25,0.1,0.237,2.0,1.88,1.0,1.7,0.059,EKZE500E□□561MK25S,2410,28000.0
50,680,0.07,0.021,12.5,30,0.1,0.195,1.67,1.58,1.0,1.45,0.052,EKZE500E□□681MK30S,2860,34000.0
