Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
6.3,220,,,0.24,5,11,,,0.8,EKZH6R3E□□221ME11D,330,310.2,165,280.5,1386
6.3,470,,,0.11,6.3,11,,,0.35,EKZH6R3E□□471MF11D,500,470,250,425,2961
6.3,820,,,0.062,8,11.5,,,0.19,EKZH6R3E□□821MHB5D,900,851.5,538.92,781.44,5166
6.3,1200,,,0.048,8,15,,,0.15,EKZH6R3E□□122MH15D,1210,1144.79,724.55,1050.6,7560
6.3,1200,,,0.045,10,12.5,,,0.14,EKZH6R3E□□122MJC5S,1240,1173.17,742.51,1076.65,7560
6.3,1500,,,0.033,8,20,,,0.11,EKZH6R3E□□152MH20D,1410,1334.01,844.31,1224.25,9450
6.3,1800,,,0.032,10,16,,,0.1,EKZH6R3E□□182MJ16S,1650,1561.08,988.02,1432.63,11340
6.3,2200,,,0.02,10,20,,,0.06,EKZH6R3E□□222MJ20S,1960,1871.58,1473.68,1768.42,13860
6.3,2700,,,0.018,10,25,,,0.054,EKZH6R3E□□272MJ25S,2250,2148.5,1691.73,2030.08,17010
6.3,3900,,,0.017,12.5,20,,,0.043,EKZH6R3E□□392MK20S,2480,2368.12,1864.66,2237.59,24570
6.3,4700,,,0.015,12.5,25,,,0.038,EKZH6R3E□□472MK25S,2900,2826.27,2457.63,2752.54,29610
6.3,5600,,,0.013,12.5,30,,,0.033,EKZH6R3E□□562MK30S,3450,3362.29,2923.73,3274.58,35280
6.3,6800,,,0.012,12.5,35,,,0.031,EKZH6R3E□□682MK35S,3570,3479.24,3025.42,3388.47,42840
6.3,6800,,,0.015,16,20,,,0.038,EKZH6R3E□□682ML20S,3250,3167.37,2754.24,3084.75,42840
6.3,8200,,,0.013,16,25,,,0.035,EKZH6R3E□□822ML25S,3630,3537.71,3076.27,3445.42,51660
10,150,,,0.24,5,11,,,0.8,EKZH100E□□151ME11D,330,297,132,248.16,1500
10,330,,,0.11,6.3,11,,,0.35,EKZH100E□□331MF11D,500,470,250,425,3300
10,680,,,0.062,8,11.5,,,0.19,EKZH100E□□681MHB5D,900,851.5,538.92,781.44,6800
10,1000,,,0.048,8,15,,,0.15,EKZH100E□□102MH15D,1210,1144.79,724.55,1050.6,10000
10,1000,,,0.045,10,12.5,,,0.14,EKZH100E□□102MJC5S,1240,1173.17,742.51,1076.65,10000
10,1500,,,0.033,8,20,,,0.11,EKZH100E□□152MH20D,1410,1334.01,844.31,1224.25,15000
10,1500,,,0.032,10,16,,,0.1,EKZH100E□□152MJ16S,1650,1561.08,988.02,1432.63,15000
10,1800,,,0.02,10,20,,,0.06,EKZH100E□□182MJ20S,1960,1854.37,1173.65,1701.8,18000
10,2200,,,0.018,10,25,,,0.054,EKZH100E□□222MJ25S,2250,2148.5,1691.73,2030.08,22000
10,3300,,,0.017,12.5,20,,,0.043,EKZH100E□□332MK20S,2480,2368.12,1864.66,2237.59,33000
10,3900,,,0.015,12.5,25,,,0.038,EKZH100E□□392MK25S,2900,2769.17,2180.45,2616.54,39000
10,4700,,,0.013,12.5,30,,,0.033,EKZH100E□□472MK30S,3450,3362.29,2923.73,3274.58,47000
10,4700,,,0.015,16,20,,,0.038,EKZH100E□□472ML20S,3250,3167.37,2754.24,3084.75,47000
10,5600,,,0.012,12.5,35,,,0.031,EKZH100E□□562MK35S,3570,3479.24,3025.42,3388.47,56000
10,6800,,,0.013,16,25,,,0.035,EKZH100E□□682ML25S,3630,3537.71,3076.27,3445.42,68000
16,100,,,0.24,5,11,,,0.8,EKZH160E□□101ME11D,330,297,132,248.16,1600
16,220,,,0.11,6.3,11,,,0.35,EKZH160E□□221MF11D,500,470,250,425,3520
16,470,,,0.062,8,11.5,,,0.19,EKZH160E□□471MHB5D,900,846,450,765,7520
16,680,,,0.048,8,15,,,0.15,EKZH160E□□681MH15D,1210,1144.79,724.55,1050.6,10880
16,680,,,0.045,10,12.5,,,0.14,EKZH160E□□681MJC5S,1240,1173.17,742.51,1076.65,10880
16,1000,,,0.033,8,20,,,0.11,EKZH160E□□102MH20D,1410,1334.01,844.31,1224.25,16000
16,1000,,,0.032,10,16,,,0.1,EKZH160E□□102MJ16S,1650,1561.08,988.02,1432.63,16000
16,1500,,,0.02,10,20,,,0.06,EKZH160E□□152MJ20S,1960,1854.37,1173.65,1701.8,24000
16,1800,,,0.018,10,25,,,0.054,EKZH160E□□182MJ25S,2250,2128.74,1347.31,1953.59,28800
16,2200,,,0.017,12.5,20,,,0.043,EKZH160E□□222MK20S,2480,2368.12,1864.66,2237.59,35200
16,2700,,,0.015,12.5,25,,,0.038,EKZH160E□□272MK25S,2900,2769.17,2180.45,2616.54,43200
16,3300,,,0.013,12.5,30,,,0.033,EKZH160E□□332MK30S,3450,3294.36,2593.98,3112.78,52800
16,3300,,,0.015,16,20,,,0.038,EKZH160E□□332ML20S,3250,3103.38,2443.61,2932.33,52800
