Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,VC
6.3,220,0.375,0.332,0.22,5,11,0.22,1.326,2.0,1.88,1.0,1.7,0.8,EKZM6R3E□□221ME11D,345,1386.0
6.3,470,0.176,0.155,0.094,6.3,11,0.22,0.621,2.0,1.88,1.0,1.7,0.35,EKZM6R3E□□471MF11D,540,2961.0
6.3,820,0.143,0.128,0.056,8,11.5,0.22,0.356,1.67,1.58,1.0,1.45,0.19,EKZM6R3E□□821MHB5D,945,5166.0
6.3,1200,0.106,0.095,0.045,8,15,0.22,0.265,1.67,1.58,1.0,1.45,0.15,EKZM6R3E□□122MH15D,1250,7560.0
6.3,1200,0.106,0.095,0.039,10,12.5,0.22,0.265,1.67,1.58,1.0,1.45,0.14,EKZM6R3E□□122MJC5S,1330,7560.0
6.3,1500,0.085,0.076,0.029,8,20,0.22,0.212,1.67,1.58,1.0,1.45,0.11,EKZM6R3E□□152MH20D,1500,9450.0
6.3,1800,0.071,0.063,0.028,10,16,0.22,0.177,1.67,1.58,1.0,1.45,0.1,EKZM6R3E□□182MJ16S,1760,11340.0
6.3,2200,0.105,0.095,0.02,10,20,0.24,0.169,1.33,1.27,1.0,1.2,0.06,EKZM6R3E□□222MJ20S,1960,13860.0
6.3,2700,0.085,0.078,0.018,10,25,0.24,0.138,1.33,1.27,1.0,1.2,0.054,EKZM6R3E□□272MJ25S,2250,17010.0
6.3,3900,0.067,0.062,0.017,12.5,20,0.26,0.109,1.33,1.27,1.0,1.2,0.043,EKZM6R3E□□392MK20S,2480,24570.0
6.3,4700,0.077,0.073,0.015,12.5,25,0.28,0.102,1.18,1.15,1.0,1.12,0.038,EKZM6R3E□□472MK25S,2900,29610.0
6.3,5600,0.072,0.068,0.013,12.5,30,0.3,0.095,1.18,1.15,1.0,1.12,0.033,EKZM6R3E□□562MK30S,3450,35280.0
6.3,6800,0.065,0.062,0.012,12.5,35,0.32,0.086,1.18,1.15,1.0,1.12,0.031,EKZM6R3E□□682MK35S,3570,42840.0
6.3,6800,0.065,0.062,0.015,16,20,0.32,0.086,1.18,1.15,1.0,1.12,0.038,EKZM6R3E□□682ML20S,3250,42840.0
6.3,8200,0.064,0.06,0.013,16,25,0.36,0.084,1.18,1.15,1.0,1.12,0.035,EKZM6R3E□□822ML25S,3630,51660.0
6.3,10000,0.06,0.057,0.012,18,25,0.4,0.08,1.18,1.15,1.0,1.12,0.031,EKZM6R3E□□103MM25S,3650,63000.0
10,150,0.332,0.269,0.22,5,11,0.19,1.68,2.5,2.25,1.0,1.88,0.8,EKZM100E□□151ME11D,345,1500.0
10,330,0.216,0.191,0.094,6.3,11,0.19,0.764,2.0,1.88,1.0,1.7,0.35,EKZM100E□□331MF11D,540,3300.0
10,680,0.148,0.133,0.056,8,11.5,0.19,0.371,1.67,1.58,1.0,1.45,0.19,EKZM100E□□681MHB5D,945,6800.0
10,1000,0.112,0.1,0.045,8,15,0.19,0.279,1.67,1.58,1.0,1.45,0.15,EKZM100E□□102MH15D,1250,10000.0
10,1000,0.112,0.1,0.039,10,12.5,0.19,0.279,1.67,1.58,1.0,1.45,0.14,EKZM100E□□102MJC5S,1330,10000.0
10,1500,0.074,0.067,0.029,8,20,0.19,0.186,1.67,1.58,1.0,1.45,0.11,EKZM100E□□152MH20D,1500,15000.0
10,1500,0.074,0.067,0.028,10,16,0.19,0.186,1.67,1.58,1.0,1.45,0.1,EKZM100E□□152MJ16S,1760,15000.0
10,1800,0.062,0.055,0.02,10,20,0.19,0.155,1.67,1.58,1.0,1.45,0.06,EKZM100E□□182MJ20S,1960,18000.0
10,2200,0.093,0.085,0.018,10,25,0.21,0.151,1.33,1.27,1.0,1.2,0.054,EKZM100E□□222MJ25S,2250,22000.0
10,3300,0.072,0.066,0.017,12.5,20,0.23,0.117,1.33,1.27,1.0,1.2,0.043,EKZM100E□□332MK20S,2480,33000.0
10,3900,0.061,0.056,0.015,12.5,25,0.23,0.099,1.33,1.27,1.0,1.2,0.038,EKZM100E□□392MK25S,2900,39000.0
10,4700,0.07,0.067,0.013,12.5,30,0.25,0.093,1.18,1.15,1.0,1.12,0.033,EKZM100E□□472MK30S,3450,47000.0
10,4700,0.07,0.067,0.015,16,20,0.25,0.093,1.18,1.15,1.0,1.12,0.038,EKZM100E□□472ML20S,3250,47000.0
10,5600,0.066,0.063,0.012,12.5,35,0.27,0.088,1.18,1.15,1.0,1.12,0.031,EKZM100E□□562MK35S,3570,56000.0
10,6800,0.06,0.057,0.013,16,25,0.29,0.08,1.18,1.15,1.0,1.12,0.035,EKZM100E□□682ML25S,3630,68000.0
10,8200,0.06,0.057,0.012,18,25,0.33,0.079,1.18,1.15,1.0,1.12,0.031,EKZM100E□□822MM25S,3650,82000.0
16,100,0.419,0.34,0.22,5,11,0.16,2.122,2.5,2.25,1.0,1.88,0.8,EKZM160E□□101ME11D,345,1600.0
16,220,0.273,0.241,0.094,6.3,11,0.16,0.965,2.0,1.88,1.0,1.7,0.35,EKZM160E□□221MF11D,540,3520.0
16,470,0.128,0.113,0.056,8,11.5,0.16,0.452,2.0,1.88,1.0,1.7,0.19,EKZM160E□□471MHB5D,945,7520.0
16,680,0.125,0.112,0.045,8,15,0.16,0.312,1.67,1.58,1.0,1.45,0.15,EKZM160E□□681MH15D,1250,10880.0
16,680,0.125,0.112,0.039,10,12.5,0.16,0.312,1.67,1.58,1.0,1.45,0.14,EKZM160E□□681MJC5S,1330,10880.0
16,1000,0.096,0.086,0.029,8,20,0.16,0.239,1.67,1.58,1.0,1.45,0.11,EKZM160E□□102MH20D,1500,16000.0
16,1000,0.096,0.086,0.028,10,16,0.16,0.239,1.67,1.58,1.0,1.45,0.1,EKZM160E□□102MJ16S,1760,16000.0
16,1500,0.064,0.057,0.02,10,20,0.16,0.159,1.67,1.58,1.0,1.45,0.06,EKZM160E□□152MJ20S,1960,24000.0
16,1800,0.053,0.048,0.018,10,25,0.16,0.133,1.67,1.58,1.0,1.45,0.054,EKZM160E□□182MJ25S,2250,28800.0
16,2200,0.082,0.075,0.017,12.5,20,0.18,0.133,1.33,1.27,1.0,1.2,0.043,EKZM160E□□222MK20S,2480,35200.0
16,2700,0.067,0.061,0.015,12.5,25,0.18,0.108,1.33,1.27,1.0,1.2,0.038,EKZM160E□□272MK25S,2900,43200.0
16,3300,0.065,0.059,0.013,12.5,30,0.2,0.104,1.33,1.27,1.0,1.2,0.033,EKZM160E□□332MK30S,3450,52800.0
16,3300,0.065,0.059,0.015,16,20,0.2,0.104,1.33,1.27,1.0,1.2,0.038,EKZM160E□□332ML20S,3250,52800.0
16,3900,0.055,0.05,0.012,12.5,35,0.2,0.088,1.33,1.27,1.0,1.2,0.031,EKZM160E□□392MK35S,3570,62400.0
16,4700,0.064,0.061,0.013,16,25,0.22,0.085,1.18,1.15,1.0,1.12,0.035,EKZM160E□□472ML25S,3630,75200.0
16,5600,0.061,0.058,0.012,18,25,0.24,0.081,1.18,1.15,1.0,1.12,0.031,EKZM160E□□562MM25S,3650,89600.0
25,68,0.539,0.437,0.22,5,11,0.14,2.731,2.5,2.25,1.0,1.88,0.8,EKZM250E□□680ME11D,345,1700.0
25,150,0.245,0.198,0.094,6.3,11,0.14,1.238,2.5,2.25,1.0,1.88,0.35,EKZM250E□□151MF11D,540,3750.0
25,330,0.159,0.141,0.056,8,11.5,0.14,0.563,2.0,1.88,1.0,1.7,0.19,EKZM250E□□331MHB5D,945,8250.0
25,390,0.135,0.119,0.045,8,15,0.14,0.476,2.0,1.88,1.0,1.7,0.15,EKZM250E□□391MH15D,1250,9750.0
25,470,0.112,0.099,0.039,10,12.5,0.14,0.395,2.0,1.88,1.0,1.7,0.14,EKZM250E□□471MJC5S,1330,11750.0
25,560,0.094,0.083,0.029,8,20,0.14,0.332,2.0,1.88,1.0,1.7,0.11,EKZM250E□□561MH20D,1500,14000.0
25,680,0.109,0.098,0.028,10,16,0.14,0.273,1.67,1.58,1.0,1.45,0.1,EKZM250E□□681MJ16S,1760,17000.0
25,820,0.091,0.081,0.02,10,20,0.14,0.226,1.67,1.58,1.0,1.45,0.06,EKZM250E□□821MJ20S,1960,20500.0
25,1000,0.085,0.076,0.018,10,25,0.14,0.212,1.67,1.58,1.0,1.45,0.054,EKZM250E□□102MJ25S,2250,25000.0
25,1500,0.057,0.051,0.017,12.5,20,0.14,0.141,1.67,1.58,1.0,1.45,0.043,EKZM250E□□152MK20S,2480,37500.0
25,1800,0.047,0.042,0.015,12.5,25,0.14,0.118,1.67,1.58,1.0,1.45,0.038,EKZM250E□□182MK25S,2900,45000.0
25,2200,0.075,0.068,0.013,12.5,30,0.16,0.121,1.33,1.27,1.0,1.2,0.033,EKZM250E□□222MK30S,3450,55000.0
25,2200,0.075,0.068,0.015,16,20,0.16,0.121,1.33,1.27,1.0,1.2,0.038,EKZM250E□□222ML20S,3250,55000.0
25,2700,0.061,0.056,0.012,12.5,35,0.16,0.098,1.33,1.27,1.0,1.2,0.031,EKZM250E□□272MK35S,3570,67500.0
25,3300,0.06,0.055,0.013,16,25,0.18,0.096,1.33,1.27,1.0,1.2,0.035,EKZM250E□□332ML25S,3630,82500.0
25,3900,0.051,0.046,0.012,18,25,0.18,0.082,1.33,1.27,1.0,1.2,0.031,EKZM250E□□392MM25S,3650,97500.0
35,47,0.669,0.542,0.22,5,11,0.12,3.386,2.5,2.25,1.0,1.88,0.8,EKZM350E□□470ME11D,345,1645.0
35,100,0.314,0.255,0.094,6.3,11,0.12,1.592,2.5,2.25,1.0,1.88,0.35,EKZM350E□□101MF11D,540,3500.0
35,220,0.205,0.181,0.056,8,11.5,0.12,0.723,2.0,1.88,1.0,1.7,0.19,EKZM350E□□221MHB5D,945,7700.0
35,270,0.167,0.147,0.045,8,15,0.12,0.589,2.0,1.88,1.0,1.7,0.15,EKZM350E□□271MH15D,1250,9450.0
35,330,0.136,0.121,0.039,10,12.5,0.12,0.482,2.0,1.88,1.0,1.7,0.14,EKZM350E□□331MJC5S,1330,11550.0
35,390,0.115,0.102,0.029,8,20,0.12,0.408,2.0,1.88,1.0,1.7,0.11,EKZM350E□□391MH20D,1500,13650.0
35,470,0.096,0.085,0.028,10,16,0.12,0.339,2.0,1.88,1.0,1.7,0.1,EKZM350E□□471MJ16S,1760,16450.0
35,560,0.08,0.071,0.02,10,20,0.12,0.284,2.0,1.88,1.0,1.7,0.06,EKZM350E□□561MJ20S,1960,19600.0
35,680,0.094,0.084,0.018,10,25,0.12,0.234,1.67,1.58,1.0,1.45,0.054,EKZM350E□□681MJ25S,2250,23800.0
35,1000,0.074,0.067,0.017,12.5,20,0.12,0.186,1.67,1.58,1.0,1.45,0.043,EKZM350E□□102MK20S,2480,35000.0
35,1200,0.062,0.055,0.015,12.5,25,0.12,0.155,1.67,1.58,1.0,1.45,0.038,EKZM350E□□122MK25S,2900,42000.0
35,1500,0.05,0.044,0.013,12.5,30,0.12,0.124,1.67,1.58,1.0,1.45,0.033,EKZM350E□□152MK30S,3450,52500.0
35,1500,0.05,0.044,0.015,16,20,0.12,0.124,1.67,1.58,1.0,1.45,0.038,EKZM350E□□152ML20S,3250,52500.0
35,1800,0.041,0.037,0.012,12.5,35,0.12,0.103,1.67,1.58,1.0,1.45,0.031,EKZM350E□□182MK35S,3570,63000.0
35,2200,0.067,0.061,0.013,16,25,0.14,0.109,1.33,1.27,1.0,1.2,0.035,EKZM350E□□222ML25S,3630,77000.0
35,2700,0.055,0.05,0.012,18,25,0.14,0.088,1.33,1.27,1.0,1.2,0.031,EKZM350E□□272MM25S,3650,94500.0
50,27,0.97,0.786,0.34,5,11,0.1,4.912,2.5,2.25,1.0,1.88,1.18,EKZM500E□□270ME11D,238,1350.0
50,56,0.468,0.379,0.14,6.3,11,0.1,2.368,2.5,2.25,1.0,1.88,0.5,EKZM500E□□560MF11D,385,2800.0
