Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C,Impedance 20°C,Part Number,Ripple Current 105°C@100kHz,VC
6.3,220,0.332,5,11,0.22,1.326,2.0,1.88,1.0,1.7,1.2,0.38,EKZN6R3E□□221ME11D,345,1386.0
6.3,470,0.155,6.3,11,0.22,0.621,2.0,1.88,1.0,1.7,0.51,0.17,EKZN6R3E□□471MF11D,540,2961.0
6.3,820,0.128,8,11.5,0.22,0.356,1.67,1.58,1.0,1.45,0.23,0.075,EKZN6R3E□□821MHB5D,945,5166.0
6.3,1200,0.095,8,15,0.22,0.265,1.67,1.58,1.0,1.45,0.18,0.059,EKZN6R3E□□122MH15D,1250,7560.0
6.3,1200,0.095,10,12.5,0.22,0.265,1.67,1.58,1.0,1.45,0.16,0.053,EKZN6R3E□□122MJC5S,1330,7560.0
6.3,1500,0.076,8,20,0.22,0.212,1.67,1.58,1.0,1.45,0.13,0.041,EKZN6R3E□□152MH20D,1500,9450.0
6.3,1800,0.063,10,16,0.22,0.177,1.67,1.58,1.0,1.45,0.12,0.038,EKZN6R3E□□182MJ16S,1760,11340.0
6.3,2700,0.072,10,20,0.22,0.128,1.33,1.27,1.0,1.2,0.084,0.028,EKZN6R3E□□272MJ20S,1960,17010.0
6.3,2700,0.072,12.5,16,0.22,0.128,1.33,1.27,1.0,1.2,0.11,0.035,EKZN6R3E□□272MK16S,1900,17010.0
6.3,3300,0.064,10,25,0.22,0.113,1.33,1.27,1.0,1.2,0.072,0.026,EKZN6R3E□□332MJ25S,2250,20790.0
6.3,3900,0.054,12.5,20,0.22,0.095,1.33,1.27,1.0,1.2,0.075,0.025,EKZN6R3E□□392MK20S,2480,24570.0
6.3,5600,0.054,12.5,25,0.22,0.076,1.18,1.15,1.0,1.12,0.057,0.019,EKZN6R3E□□562MK25S,2900,35280.0
6.3,6800,0.048,12.5,30,0.22,0.066,1.18,1.15,1.0,1.12,0.054,0.018,EKZN6R3E□□682MK30S,3450,42840.0
6.3,6800,0.048,16,20,0.22,0.066,1.18,1.15,1.0,1.12,0.063,0.021,EKZN6R3E□□682ML20S,3250,42840.0
6.3,8200,0.044,12.5,35,0.22,0.061,1.18,1.15,1.0,1.12,0.048,0.016,EKZN6R3E□□822MK35S,3570,51660.0
6.3,8200,0.044,18,20,0.22,0.061,1.18,1.15,1.0,1.12,0.06,0.02,EKZN6R3E□□822MM20S,3450,51660.0
6.3,10000,0.04,16,25,0.22,0.056,1.18,1.15,1.0,1.12,0.051,0.017,EKZN6R3E□□103ML25S,3630,63000.0
6.3,12000,0.037,16,31.5,0.22,0.051,1.18,1.15,1.0,1.12,0.048,0.016,EKZN6R3E□□123MLN3S,4100,75600.0
6.3,12000,0.037,18,25,0.22,0.051,1.18,1.15,1.0,1.12,0.048,0.016,EKZN6R3E□□123MM25S,3880,75600.0
6.3,15000,0.033,16,35.5,0.22,0.046,1.18,1.15,1.0,1.12,0.042,0.014,EKZN6R3E□□153MLP1S,4280,94500.0
6.3,15000,0.033,18,31.5,0.22,0.046,1.18,1.15,1.0,1.12,0.042,0.014,EKZN6R3E□□153MMN3S,4190,94500.0
6.3,18000,0.031,16,40,0.22,0.043,1.18,1.15,1.0,1.12,0.039,0.013,EKZN6R3E□□183ML40S,4580,113400.0
6.3,18000,0.031,18,35.5,0.22,0.043,1.18,1.15,1.0,1.12,0.036,0.012,EKZN6R3E□□183MMP1S,4380,113400.0
6.3,22000,0.029,18,40,0.22,0.04,1.18,1.15,1.0,1.12,0.033,0.011,EKZN6R3E□□223MM40S,4960,138600.0
10,150,0.269,5,11,0.19,1.68,2.5,2.25,1.0,1.88,1.2,0.38,EKZN100E□□151ME11D,450,1500.0
