Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
25,4400,0.26,0.03,16,20,0.095,0.102,ELBV250E□□442AL20S,2000,1949.15,1694.92,1898.31,110000
25,5700,0.28,0.028,18,20,0.08,0.088,ELBV250E□□572AM20S,2100,2046.61,1779.66,1993.22,142500
25,6200,0.3,0.024,16,25,0.073,0.09,ELBV250E□□622AL25S,2300,2241.53,1949.15,2183.05,155000
25,8100,0.34,0.022,18,25,0.06,0.082,ELBV250E□□812AM25S,2400,2338.98,2033.9,2277.97,202500
25,8500,0.34,0.02,16,31.5,0.065,0.078,ELBV250E□□852ALN3S,2550,2485.17,2161.02,2420.34,212500
25,9900,0.36,0.018,16,35.5,0.055,0.072,ELBV250E□□992ALP1S,2700,2631.36,2288.14,2562.71,247500
25,11000,0.4,0.016,16,40,0.05,0.075,ELBV250E□□113AL40S,2900,2826.27,2457.63,2752.54,275000
25,11000,0.4,0.018,18,31.5,0.045,0.075,ELBV250E□□113AMN3S,2700,2631.36,2288.14,2562.71,275000
25,12000,0.42,0.016,18,35.5,0.04,0.073,ELBV250E□□123AMP1S,2900,2826.27,2457.63,2752.54,300000
25,15000,0.48,0.015,18,40,0.035,0.069,ELBV250E□□153AM40S,3100,3021.19,2627.12,2942.37,375000
35,3000,0.2,0.03,16,20,0.095,0.115,ELBV350E□□302AL20S,2000,1909.77,1503.76,1804.51,105000
35,4000,0.22,0.028,18,20,0.08,0.099,ELBV350E□□402AM20S,2100,2046.61,1779.66,1993.22,140000
35,4300,0.22,0.024,16,25,0.073,0.093,ELBV350E□□432AL25S,2300,2241.53,1949.15,2183.05,150500
35,5600,0.24,0.022,18,25,0.06,0.081,ELBV350E□□562AM25S,2400,2338.98,2033.9,2277.97,196000
35,5900,0.24,0.02,16,31.5,0.065,0.076,ELBV350E□□592ALN3S,2550,2485.17,2161.02,2420.34,206500
35,6900,0.26,0.018,16,35.5,0.055,0.073,ELBV350E□□692ALP1S,2700,2631.36,2288.14,2562.71,241500
35,7600,0.28,0.018,18,31.5,0.045,0.073,ELBV350E□□762AMN3S,2700,2631.36,2288.14,2562.71,266000
35,8200,0.3,0.016,16,40,0.05,0.074,ELBV350E□□822AL40S,2900,2826.27,2457.63,2752.54,287000
35,9000,0.32,0.016,18,35.5,0.04,0.074,ELBV350E□□902AMP1S,2900,2826.27,2457.63,2752.54,315000
35,10000,0.34,0.015,18,40,0.035,0.072,ELBV350E□□103AM40S,3100,3021.19,2627.12,2942.37,350000
