Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Ripple Current @100kHz,Ripple Current @10kHz,Ripple Current @120Hz,Ripple Current @1kHz,VC
160,5.6,17.544,14.21,6.3,11,0.24,56.841,104,93.6,52,83.2,896
160,10,11.014,8.817,8,9,0.24,31.831,133,119,70,105,1600
160,15,7.343,5.878,8,11.5,0.24,21.221,174,156.4,92,138,2400
160,15,7.343,5.878,10,9,0.24,21.221,180,161.5,95,142.5,2400
160,22,5.652,4.466,10,12.5,0.24,14.469,217,193.6,121,169.4,3520
160,33,3.768,2.977,10,16,0.24,9.646,284,252.8,158,221.2,5280
200,2.2,44.656,36.172,6.3,11,0.24,144.686,72,64.8,36,57.6,440.00000000000006
200,3.3,29.771,24.114,6.3,11,0.24,96.458,84,75.6,42,67.2,660
200,4.7,20.903,16.931,6.3,11,0.24,67.726,98,88.2,49,78.4,940
200,5.6,17.544,14.21,8,9,0.24,56.841,112,100.8,56,89.6,1120
200,6.8,16.197,12.967,8,9,0.24,46.81,117,105.4,62,93,1360
200,8.2,13.432,10.753,8,9,0.24,38.818,125,112.2,66,99,1639.9999999999998
200,10,11.014,8.817,8,11.5,0.24,31.831,152,136,80,120,2000
200,12,9.178,7.348,10,9,0.24,26.526,167,149.6,88,132,2400
200,18,6.119,4.899,10,12.5,0.24,17.684,214,192.1,113,169.5,3600
200,27,4.605,3.639,10,16,0.24,11.789,268,238.4,149,208.6,5400
250,1.8,54.58,44.21,6.3,11,0.24,176.839,66,59.4,33,52.8,450
250,2.2,44.656,36.172,6.3,11,0.24,144.686,72,64.8,36,57.6,550
250,3.3,29.771,24.114,6.3,11,0.24,96.458,84,75.6,42,67.2,825
250,4.7,20.903,16.931,8,9,0.24,67.726,106,95.4,53,84.8,1175
250,5.6,17.544,14.21,8,11.5,0.24,56.841,112,100.8,56,89.6,1400
250,6.8,16.197,12.967,8,11.5,0.24,46.81,129,115.6,68,102,1700
250,8.2,13.432,10.753,10,9,0.24,38.818,144,129.2,76,114,2050
250,10,11.014,8.817,10,12.5,0.24,31.831,157,141.1,83,124.5,2500
250,12,9.178,7.348,10,12.5,0.24,26.526,184,164.9,97,145.5,3000
250,18,6.119,4.899,10,16,0.24,17.684,241,215.9,127,190.5,4500
400,1,98.244,79.578,6.3,11,0.24,318.31,48,43.2,24,38.4,400
400,1.2,81.87,66.315,8,9,0.24,265.258,56,50.4,28,44.8,480
400,1.5,65.496,53.052,8,9,0.24,212.207,60,54,30,48,600
400,1.8,54.58,44.21,8,9,0.24,176.839,66,59.4,33,52.8,720
400,2.2,44.656,36.172,8,9,0.24,144.686,72,64.8,36,57.6,880.0000000000001
400,2.2,44.656,36.172,8,11.5,0.24,144.686,80,72,40,64,880.0000000000001
400,2.7,36.387,29.473,8,11.5,0.24,117.893,86,77.4,43,68.8,1080
400,3.3,29.771,24.114,8,11.5,0.24,96.458,94,84.6,47,75.2,1320
400,3.3,29.771,24.114,10,9,0.24,96.458,96,86.4,48,76.8,1320
400,3.9,25.191,20.404,10,12.5,0.24,81.618,114,102.6,57,91.2,1560
400,4.7,20.903,16.931,10,12.5,0.24,67.726,122,109.8,61,97.6,1880
400,6.8,16.197,12.967,10,16,0.24,46.81,161,144.5,85,127.5,2720
450,1,98.244,79.578,6.3,11,0.24,318.31,48,43.2,24,38.4,450
450,1.5,65.496,53.052,8,9,0.24,212.207,60,54,30,48,675
450,1.8,54.58,44.21,8,11.5,0.24,176.839,76,68.4,38,60.8,810
450,2.2,44.656,36.172,10,9,0.24,144.686,80,72,40,64,990.0000000000001
450,2.7,36.387,29.473,10,9,0.24,117.893,84,75.6,42,67.2,1215
450,3.3,29.771,24.114,10,12.5,0.24,96.458,104,93.6,52,83.2,1485
450,4.7,20.903,16.931,10,16,0.24,67.726,136,122.4,68,108.8,2115
450,6.8,16.197,12.967,10,20,0.24,46.81,167,149.6,88,132,3060
450,10,11.014,8.817,12.5,20,0.24,31.831,209,187,110,165,4500
450,15,7.343,5.878,12.5,25,0.24,21.221,285,255,150,225,6750
450,18,6.119,4.899,12.5,25,0.24,17.684,304,272,160,240,8100
450,22,5.652,4.466,16,20,0.24,14.469,378,336,210,294,9900
450,27,4.605,3.639,16,25,0.24,11.789,450,400,250,350,12150
450,33,3.768,2.977,16,25,0.24,9.646,504,448,280,392,14850
450,33,3.768,2.977,18,20,0.24,9.646,486,432,270,378,14850
450,39,3.188,2.519,16,31.5,0.24,8.162,561,528,330,462,17550
450,47,2.646,2.09,18,25,0.24,6.773,630,560,350,490,21150
450,56,2.22,1.754,18,31.5,0.24,5.684,738,656,410,574,25200
