Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
6.3,120,,,0.72,5,11.5,,,1.8,ELXV6R3E□□121MEB5D,165,,,,756
6.3,220,,,0.38,6.3,11.5,,,0.95,ELXV6R3E□□221MFB5D,255,,,,1386
6.3,330,,,0.27,6.3,15,,,0.68,ELXV6R3E□□331MF15D,330,,,,2079
6.3,390,,,0.2,8,12,,,0.5,ELXV6R3E□□391MH12D,415,,,,2457
6.3,470,,,0.12,10,12.5,,,0.3,ELXV6R3E□□471MJC5S,635,,,,2961
6.3,560,,,0.16,8,15,,,0.4,ELXV6R3E□□561MH15D,495,,,,3528
6.3,680,,,0.084,10,16,,,0.21,ELXV6R3E□□681MJ16S,825,,,,4284
6.3,820,,,0.11,8,20,,,0.28,ELXV6R3E□□821MH20D,640,,,,5166
6.3,1200,,,0.062,10,20,,,0.16,ELXV6R3E□□122MJ20S,1060,,,,7560
6.3,1500,,,0.052,10,25,,,0.13,ELXV6R3E□□152MJ25S,1260,,,,9450
6.3,2200,,,0.044,10,30,,,0.11,ELXV6R3E□□222MJ30S,1450,,,,13860
6.3,2200,,,0.046,12.5,20,,,0.12,ELXV6R3E□□222MK20S,1360,,,,13860
6.3,2700,,,0.034,12.5,25,,,0.085,ELXV6R3E□□272MK25S,1700,,,,17010
6.3,3900,,,0.03,12.5,30,,,0.075,ELXV6R3E□□392MK30S,1980,,,,24570
6.3,3900,,,0.038,16,20,,,0.095,ELXV6R3E□□392ML20S,1770,,,,24570
6.3,4700,,,0.027,12.5,35,,,0.068,ELXV6R3E□□472MK35S,2230,,,,29610
6.3,5600,,,0.024,12.5,40,,,0.06,ELXV6R3E□□562MK40S,2460,,,,35280
6.3,5600,,,0.028,16,25,,,0.07,ELXV6R3E□□562ML25S,2190,,,,35280
