Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Ripple Current @100kHz,Ripple Current @10kHz,Ripple Current @120Hz,Ripple Current @1kHz,Ripple Current @500Hz,Ripple Current @50Hz,Ripple Current @60Hz,VC
400,39,1.7,1.405,10,30,0.2,6.801,902,820,410,615,533,328,328,15600
400,39,1.884,1.7,10,30,0.2,6.801,902,779,410,615,533,328,328,15600
400,39,1.7,1.405,12.5,20,0.2,6.801,858,780,390,585,507,312,312,15600
400,39,1.884,1.7,12.5,20,0.2,6.801,858,741,390,585,507,312,312,15600
400,47,1.411,1.166,10,35,0.2,5.644,1056,960,480,720,624,384,384,18800
400,47,1.563,1.411,10,35,0.2,5.644,1056,912,480,720,624,384,384,18800
400,47,1.411,1.166,12.5,25,0.2,5.644,1012,920,460,690,598,368,368,18800
400,47,1.563,1.411,12.5,25,0.2,5.644,1012,874,460,690,598,368,368,18800
400,47,1.411,1.166,14.5,20,0.2,5.644,1012,920,460,690,598,368,368,18800
400,47,1.563,1.411,14.5,20,0.2,5.644,1012,874,460,690,598,368,368,18800
400,56,1.184,0.979,10,40,0.2,4.737,1188,1080,540,810,702,432,432,22400
400,56,1.312,1.184,10,40,0.2,4.737,1188,1026,540,810,702,432,432,22400
400,56,1.184,0.979,16,20,0.2,4.737,1144,1040,520,780,676,416,416,22400
400,56,1.312,1.184,16,20,0.2,4.737,1144,988,520,780,676,416,416,22400
400,68,0.975,0.806,10,45,0.2,3.901,1342,1220,610,915,793,488,488,27200
400,68,1.081,0.975,10,45,0.2,3.901,1342,1159,610,915,793,488,488,27200
400,68,0.975,0.806,10,50,0.2,3.901,1408,1280,640,960,832,512,512,27200
400,68,1.081,0.975,10,50,0.2,3.901,1408,1216,640,960,832,512,512,27200
400,68,0.975,0.806,12.5,30,0.2,3.901,1276,1160,580,870,754,464,464,27200
400,68,1.081,0.975,12.5,30,0.2,3.901,1276,1102,580,870,754,464,464,27200
400,68,0.975,0.806,12.5,35,0.2,3.901,1364,1240,620,930,806,496,496,27200
400,68,1.081,0.975,12.5,35,0.2,3.901,1364,1178,620,930,806,496,496,27200
400,68,0.975,0.806,14.5,25,0.2,3.901,1298,1180,590,885,767,472,472,27200
400,68,1.081,0.975,14.5,25,0.2,3.901,1298,1121,590,885,767,472,472,27200
400,82,0.809,0.668,10,55,0.2,3.235,1584,1440,720,1080,936,576,576,32800
400,82,0.896,0.809,10,55,0.2,3.235,1584,1368,720,1080,936,576,576,32800
400,82,0.809,0.668,10,60,0.2,3.235,1628,1480,740,1110,962,592,592,32800
400,82,0.896,0.809,10,60,0.2,3.235,1628,1406,740,1110,962,592,592,32800
400,82,0.809,0.668,12.5,40,0.2,3.235,1540,1400,700,1050,910,560,560,32800
400,82,0.896,0.809,12.5,40,0.2,3.235,1540,1330,700,1050,910,560,560,32800
400,82,0.809,0.668,14.5,30,0.2,3.235,1496,1360,680,1020,884,544,544,32800
400,82,0.896,0.809,14.5,30,0.2,3.235,1496,1292,680,1020,884,544,544,32800
400,82,0.809,0.668,16,25,0.2,3.235,1452,1320,660,990,858,528,528,32800
400,82,0.896,0.809,16,25,0.2,3.235,1452,1254,660,990,858,528,528,32800
400,82,0.809,0.668,18,20,0.2,3.235,1386,1260,630,945,819,504,504,32800
400,82,0.896,0.809,18,20,0.2,3.235,1386,1197,630,945,819,504,504,32800
400,100,0.663,0.548,12.5,45,0.2,2.653,1600,1600,800,1200,1040,640,640,40000
400,100,0.735,0.663,12.5,45,0.2,2.653,1600,1520,800,1200,1040,640,640,40000
400,100,0.663,0.548,12.5,50,0.2,2.653,1660,1660,830,1245,1079,664,664,40000
400,100,0.735,0.663,12.5,50,0.2,2.653,1660,1577,830,1245,1079,664,664,40000
