Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
6.3,150,0.384,0.311,0.5,5,11.5,0.22,1.945,1,ELXZ6R3E□□151MEB5D,175,157.5,70,131.6,945
6.3,330,0.25,0.221,0.25,6.3,11.5,0.22,0.884,0.5,ELXZ6R3E□□331MFB5D,290,272.6,145,246.5,2079
6.3,470,0.176,0.155,0.18,6.3,15,0.22,0.621,0.36,ELXZ6R3E□□471MF15D,400,376,200,340,2961
6.3,680,0.172,0.154,0.12,8,12,0.22,0.429,0.24,ELXZ6R3E□□681MH12D,555,525.09,332.34,481.89,4284
6.3,820,0.143,0.128,0.09,10,12.5,0.22,0.356,0.18,ELXZ6R3E□□821MJC5S,760,719.04,455.09,659.88,5166
6.3,1000,0.128,0.114,0.09,8,15,0.22,0.318,0.18,ELXZ6R3E□□102MH15D,730,690.66,437.13,633.83,6300
6.3,1200,0.106,0.095,0.08,8,20,0.22,0.265,0.16,ELXZ6R3E□□122MH20D,810,766.35,485.03,703.29,7560
6.3,1200,0.106,0.095,0.068,10,16,0.22,0.265,0.136,ELXZ6R3E□□122MJ16S,1050,993.41,628.74,911.68,7560
6.3,1500,0.085,0.076,0.052,10,20,0.22,0.212,0.104,ELXZ6R3E□□152MJ20S,1220,1154.25,730.54,1059.28,9450
6.3,2200,0.097,0.089,0.045,10,25,0.22,0.157,0.09,ELXZ6R3E□□222MJ25S,1440,1375.04,1082.71,1299.25,13860
6.3,2700,0.079,0.072,0.037,10,30,0.22,0.128,0.074,ELXZ6R3E□□272MJ30S,1690,1613.76,1270.68,1524.81,17010
6.3,3300,0.07,0.064,0.038,12.5,20,0.22,0.113,0.076,ELXZ6R3E□□332MK20S,1660,1585.11,1248.12,1497.74,20790
6.3,3900,0.059,0.054,0.03,12.5,25,0.22,0.095,0.06,ELXZ6R3E□□392MK25S,1950,1862.03,1466.17,1759.4,24570
6.3,4700,0.064,0.061,0.025,12.5,30,0.22,0.085,0.05,ELXZ6R3E□□472MK30S,2310,2251.27,1957.63,2192.54,29610
6.3,5600,0.057,0.054,0.022,12.5,35,0.22,0.076,0.044,ELXZ6R3E□□562MK35S,2510,2446.19,2127.12,2382.37,35280
6.3,5600,0.057,0.054,0.029,16,20,0.22,0.076,0.058,ELXZ6R3E□□562ML20S,2210,2153.81,1872.88,2097.63,35280
6.3,6800,0.05,0.048,0.017,12.5,40,0.22,0.066,0.034,ELXZ6R3E□□682MK40S,2870,2797.03,2432.2,2724.07,42840
6.3,6800,0.05,0.048,0.022,16,25,0.22,0.066,0.044,ELXZ6R3E□□682ML25S,2560,2494.92,2169.49,2429.83,42840
6.3,6800,0.05,0.048,0.028,18,20,0.22,0.066,0.056,ELXZ6R3E□□682MM20S,2490,2426.69,2110.17,2363.39,42840
6.3,8200,0.046,0.044,0.019,16,30,0.22,0.061,0.038,ELXZ6R3E□□822ML30S,3010,2933.47,2550.85,2856.95,51660
6.3,10000,0.042,0.04,0.017,16,35,0.22,0.056,0.034,ELXZ6R3E□□103ML35S,3150,3069.92,2669.49,2989.83,63000
6.3,10000,0.042,0.04,0.02,18,25,0.22,0.056,0.04,ELXZ6R3E□□103MM25S,2740,2670.34,2322.03,2600.68,63000
6.3,12000,0.038,0.037,0.015,16,40,0.22,0.051,0.03,ELXZ6R3E□□123ML40S,3710,3615.68,3144.07,3521.36,75600
6.3,12000,0.038,0.037,0.018,18,30,0.22,0.051,0.036,ELXZ6R3E□□123MM30S,3330,3245.34,2822.03,3160.68,75600
6.3,15000,0.035,0.033,0.016,18,35,0.22,0.046,0.032,ELXZ6R3E□□153MM35S,3680,3586.44,3118.64,3492.88,94500
6.3,18000,0.032,0.031,0.015,18,40,0.22,0.043,0.03,ELXZ6R3E□□183MM40S,3800,3703.39,3220.34,3606.78,113400
10,100,0.498,0.403,0.5,5,11.5,0.19,2.52,1,ELXZ100E□□101MEB5D,175,157.5,70,131.6,1000
10,220,0.324,0.286,0.25,6.3,11.5,0.19,1.145,0.5,ELXZ100E□□221MFB5D,290,272.6,145,246.5,2200
10,330,0.216,0.191,0.18,6.3,15,0.19,0.764,0.36,ELXZ100E□□331MF15D,400,376,200,340,3300
10,470,0.152,0.134,0.12,8,12,0.19,0.536,0.24,ELXZ100E□□471MH12D,555,521.7,277.5,471.75,4700
10,680,0.148,0.133,0.09,8,15,0.19,0.371,0.18,ELXZ100E□□681MH15D,730,690.66,437.13,633.83,6800
10,680,0.148,0.133,0.09,10,12.5,0.19,0.371,0.18,ELXZ100E□□681MJC5S,760,719.04,455.09,659.88,6800
10,1000,0.112,0.1,0.08,8,20,0.19,0.279,0.16,ELXZ100E□□102MH20D,810,766.35,485.03,703.29,10000
10,1000,0.112,0.1,0.068,10,16,0.19,0.279,0.136,ELXZ100E□□102MJ16S,1050,993.41,628.74,911.68,10000
10,1200,0.093,0.083,0.052,10,20,0.19,0.232,0.104,ELXZ100E□□122MJ20S,1220,1154.25,730.54,1059.28,12000
10,1500,0.074,0.067,0.045,10,25,0.19,0.186,0.09,ELXZ100E□□152MJ25S,1440,1362.4,862.28,1250.3,15000
10,1800,0.062,0.055,0.037,10,30,0.19,0.155,0.074,ELXZ100E□□182MJ30S,1690,1598.92,1011.98,1467.37,18000
10,2200,0.086,0.078,0.037,10,30,0.19,0.139,0.074,ELXZ100E□□222MJ30S,1690,1613.76,1270.68,1524.81,22000
10,2200,0.086,0.078,0.038,12.5,20,0.19,0.139,0.076,ELXZ100E□□222MK20S,1660,1585.11,1248.12,1497.74,22000
10,3300,0.062,0.057,0.03,12.5,25,0.19,0.1,0.06,ELXZ100E□□332MK25S,1950,1862.03,1466.17,1759.4,33000
