Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
6.3,1500,,0.063,10,12.5,,ELZA6R3E□□152MJC5S,960,908.26,574.85,833.53,9450
6.3,1800,,0.049,10,16,,ELZA6R3E□□182MJ16S,1240,1173.17,742.51,1076.65,11340
6.3,2700,,0.035,10,20,,ELZA6R3E□□272MJ20S,1550,1480.08,1165.41,1398.5,17010
6.3,3300,,0.033,10,25,,ELZA6R3E□□332MJ25S,1740,1661.5,1308.27,1569.92,20790
6.3,4700,,0.029,12.5,20,,ELZA6R3E□□472MK20S,1890,1841.95,1601.69,1793.9,29610
6.3,6800,,0.022,12.5,25,,ELZA6R3E□□682MK25S,2350,2290.25,1991.53,2230.51,42840
6.3,6800,,0.026,16,20,,ELZA6R3E□□682ML20S,2330,2270.76,1974.58,2211.53,42840
6.3,8200,,0.025,18,20,,ELZA6R3E□□822MM20S,2640,2572.88,2237.29,2505.76,51660
6.3,10000,,0.019,16,25,,ELZA6R3E□□103ML25S,2760,2689.83,2338.98,2619.66,63000
6.3,12000,,0.018,18,25,,ELZA6R3E□□123MM25S,2850,2777.54,2415.25,2705.08,75600
10,1000,,0.063,10,12.5,,ELZA100E□□102MJC5S,960,908.26,574.85,833.53,10000
10,1500,,0.049,10,16,,ELZA100E□□152MJ16S,1240,1173.17,742.51,1076.65,15000
10,2200,,0.035,10,20,,ELZA100E□□222MJ20S,1550,1480.08,1165.41,1398.5,22000
10,2700,,0.033,10,25,,ELZA100E□□272MJ25S,1740,1661.5,1308.27,1569.92,27000
10,3300,,0.029,12.5,20,,ELZA100E□□332MK20S,1890,1804.74,1421.05,1705.26,33000
10,4700,,0.022,12.5,25,,ELZA100E□□472MK25S,2350,2290.25,1991.53,2230.51,47000
10,4700,,0.026,16,20,,ELZA100E□□472ML20S,2330,2270.76,1974.58,2211.53,47000
10,6800,,0.019,16,25,,ELZA100E□□682ML25S,2760,2689.83,2338.98,2619.66,68000
10,6800,,0.025,18,20,,ELZA100E□□682MM20S,2640,2572.88,2237.29,2505.76,68000
10,8200,,0.018,18,25,,ELZA100E□□822MM25S,2850,2777.54,2415.25,2705.08,82000
16,820,,0.063,10,12.5,,ELZA160E□□821MJC5S,960,908.26,574.85,833.53,13120
16,1000,,0.049,10,16,,ELZA160E□□102MJ16S,1240,1173.17,742.51,1076.65,16000
16,1500,,0.035,10,20,,ELZA160E□□152MJ20S,1550,1466.47,928.14,1345.81,24000
16,1800,,0.033,10,25,,ELZA160E□□182MJ25S,1740,1646.23,1041.92,1510.78,28800
16,2200,,0.029,12.5,20,,ELZA160E□□222MK20S,1890,1804.74,1421.05,1705.26,35200
16,3300,,0.022,12.5,25,,ELZA160E□□332MK25S,2350,2243.98,1766.92,2120.3,52800
16,3900,,0.026,16,20,,ELZA160E□□392ML20S,2330,2224.89,1751.88,2102.26,62400
16,5600,,0.019,16,25,,ELZA160E□□562ML25S,2760,2689.83,2338.98,2619.66,89600
16,5600,,0.025,18,20,,ELZA160E□□562MM20S,2640,2572.88,2237.29,2505.76,89600
16,8200,,0.018,18,25,,ELZA160E□□822MM25S,2850,2777.54,2415.25,2705.08,131200
25,470,,0.063,10,12.5,,ELZA250E□□471MJC5S,960,902.4,480,816,11750
25,680,,0.049,10,16,,ELZA250E□□681MJ16S,1240,1173.17,742.51,1076.65,17000
25,1000,,0.035,10,20,,ELZA250E□□102MJ20S,1550,1466.47,928.14,1345.81,25000
25,1200,,0.033,10,25,,ELZA250E□□122MJ25S,1740,1646.23,1041.92,1510.78,30000
25,1500,,0.029,12.5,20,,ELZA250E□□152MK20S,1890,1788.14,1131.74,1641.02,37500
25,2200,,0.022,12.5,25,,ELZA250E□□222MK25S,2350,2243.98,1766.92,2120.3,55000
25,2700,,0.026,16,20,,ELZA250E□□272ML20S,2330,2224.89,1751.88,2102.26,67500
25,3300,,0.025,18,20,,ELZA250E□□332MM20S,2640,2520.9,1984.96,2381.95,82500
25,3900,,0.019,16,25,,ELZA250E□□392ML25S,2760,2635.49,2075.19,2490.23,97500
25,4700,,0.018,18,25,,ELZA250E□□472MM25S,2850,2777.54,2415.25,2705.08,117500
35,330,,0.063,10,12.5,,ELZA350E□□331MJC5S,960,902.4,480,816,11550
35,470,,0.049,10,16,,ELZA350E□□471MJ16S,1240,1165.6,620,1054,16450
35,680,,0.035,10,20,,ELZA350E□□681MJ20S,1550,1466.47,928.14,1345.81,23800
35,820,,0.033,10,25,,ELZA350E□□821MJ25S,1740,1646.23,1041.92,1510.78,28700
35,1000,,0.029,12.5,20,,ELZA350E□□102MK20S,1890,1788.14,1131.74,1641.02,35000
35,1500,,0.022,12.5,25,,ELZA350E□□152MK25S,2350,2223.35,1407.19,2040.42,52500
35,1800,,0.026,16,20,,ELZA350E□□182ML20S,2330,2204.43,1395.21,2023.05,63000
35,2200,,0.025,18,20,,ELZA350E□□222MM20S,2640,2520.9,1984.96,2381.95,77000
35,2700,,0.019,16,25,,ELZA350E□□272ML25S,2760,2635.49,2075.19,2490.23,94500
35,3300,,0.018,18,25,,ELZA350E□□332MM25S,2850,2721.43,2142.86,2571.43,115500
