Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 85°C@120Hz,Straight leads,Taping,VC
6.3,220,0.584,5,11,0.28,1.688,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA0JM221( ),240,200,2000,1386.0
6.3,470,0.273,6.3,11.2,0.28,0.79,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.5,5.0,2.5,ECA0JM471( ),380,200,2000,2961.0
6.3,1000,0.138,8,11.5,0.28,0.398,1.7,1.7,1.0,1.3,0.7,0.7,0.6,3.5,5.0,nan,ECA0JM102( ),580,200,1000,6300.0
6.3,2200,0.071,10,16,0.3,0.205,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA0JM222( ),890,200,500,13860.0
6.3,3300,0.053,10,20,0.32,0.153,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA0JM332( ),1020,200,500,20790.0
6.3,4700,0.041,12.5,20,0.34,0.119,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA0JM472( ),1170,200,500,29610.0
6.3,6800,0.034,12.5,25,0.38,0.098,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA0JM682( ),1270,200,500,42840.0
6.3,10000,0.03,16,25,0.46,0.088,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,7.5,nan,ECA0JM103( ),1450,100,250,63000.0
6.3,15000,0.026,16,31.5,0.56,0.076,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,nan,nan,ECA0JM153,1700,100,nan,94500.0
6.3,22000,0.024,18,35.5,0.7,0.069,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,nan,nan,ECA0JM223,1900,50,nan,138600.0
10,330,0.334,6.3,11.2,0.24,0.965,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.5,5.0,2.5,ECA1AM331( ),330,200,2000,3300.0
10,1000,0.119,10,12.5,0.24,0.345,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1AM102( ),630,200,500,10000.0
10,2200,0.063,10,20,0.26,0.181,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1AM222( ),920,200,500,22000.0
10,3300,0.047,12.5,20,0.28,0.137,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1AM332( ),1090,200,500,33000.0
10,4700,0.037,12.5,25,0.3,0.107,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1AM472( ),1200,200,500,47000.0
10,6800,0.031,16,25,0.34,0.09,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,7.5,nan,ECA1AM682( ),1400,100,250,68000.0
10,10000,0.028,16,31.5,0.42,0.082,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,nan,nan,ECA1AM103,1600,100,nan,100000.0
10,15000,0.025,18,35.5,0.52,0.073,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,nan,nan,ECA1AM153,1850,50,nan,150000.0
16,10,9.178,5,11,0.2,26.526,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA1CM100( ),30,200,2000,160.0
16,22,4.172,5,11,0.2,12.057,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA1CM220( ),75,200,2000,352.0
16,33,2.781,5,11,0.2,8.038,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA1CM330( ),110,200,2000,528.0
16,47,1.953,5,11,0.2,5.644,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA1CM470( ),130,200,2000,752.0
16,100,0.918,5,11,0.2,2.653,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA1CM101( ),180,200,2000,1600.0
16,220,0.417,6.3,11.2,0.2,1.206,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.5,5.0,2.5,ECA1CM221( ),280,200,2000,3520.0
16,470,0.195,8,11.5,0.2,0.564,1.7,1.7,1.0,1.3,0.7,0.7,0.6,3.5,5.0,nan,ECA1CM471( ),440,200,1000,7520.0
16,1000,0.101,10,16,0.2,0.292,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1CM102( ),680,200,500,16000.0
16,2200,0.054,12.5,20,0.22,0.157,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1CM222( ),1000,200,500,35200.0
