Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
200,82,0.634,0.599,10,30,0.12,1.941,EPAG201E□□820MJ30S,792,770,440,660,16400
200,100,0.812,0.707,10,35,0.12,1.592,EPAG201E□□101MJ35S,765,714,510,663,20000
200,120,0.677,0.589,10,40,0.12,1.326,EPAG201E□□121MJ40S,885,826,590,767,24000
200,150,0.541,0.472,12.5,30,0.12,1.061,EPAG201E□□151MK30S,975,910,650,845,30000
200,180,0.451,0.393,12.5,35,0.12,0.884,EPAG201E□□181MK35S,1125,1050,750,975,36000
200,220,0.369,0.322,12.5,40,0.12,0.723,EPAG201E□□221MK40S,1245,1162,830,1079,44000
200,220,0.369,0.322,14.5,30,0.12,0.723,EPAG201E□□221MU30S,1245,1162,830,1079,44000
200,270,0.301,0.262,14.5,35,0.12,0.589,EPAG201E□□271MU35S,1440,1344,960,1248,54000
200,270,0.301,0.262,16,30,0.12,0.589,EPAG201E□□271ML30S,1440,1344,960,1248,54000
200,330,0.246,0.214,16,35,0.12,0.482,EPAG201E□□331ML35S,1650,1540,1100,1430,66000
200,330,0.246,0.214,18,30,0.12,0.482,EPAG201E□□331MM30S,1650,1540,1100,1430,66000
200,390,0.208,0.181,16,40,0.12,0.408,EPAG201E□□391ML40S,1860,1736,1240,1612,78000
200,390,0.208,0.181,18,35,0.12,0.408,EPAG201E□□391MM35S,1860,1736,1240,1612,78000
200,470,0.173,0.151,18,40,0.12,0.339,EPAG201E□□471MM40S,2085,1946,1390,1807,94000
200,560,0.145,0.126,18,45,0.12,0.284,EPAG201E□□561MM45S,2340,2184,1560,2028,112000
400,27,2.406,2.274,10,30,0.15,7.368,EPAG401E□□270MJ30S,468,455,260,390,10800
400,33,1.969,1.861,10,35,0.15,6.029,EPAG401E□□330MJ35S,540,525,300,450,13200
400,39,1.666,1.574,10,40,0.15,5.101,EPAG401E□□390MJ40S,612,595,340,510,15600
400,47,1.382,1.306,12.5,30,0.15,4.233,EPAG401E□□470MK30S,666,647.5,370,555,18800
400,56,1.16,1.096,12.5,35,0.15,3.553,EPAG401E□□560MK35S,756,735,420,630,22400
400,68,0.955,0.903,12.5,40,0.15,2.926,EPAG401E□□680MK40S,864,840,480,720,27200
400,68,0.955,0.903,14.5,30,0.15,2.926,EPAG401E□□680MU30S,864,840,480,720,27200
400,82,0.792,0.749,14.5,35,0.15,2.426,EPAG401E□□820MU35S,954,927.5,530,795,32800
400,100,1.015,0.884,14.5,40,0.15,1.989,EPAG401E□□101MU40S,870,812,580,754,40000
400,100,1.015,0.884,16,30,0.15,1.989,EPAG401E□□101ML30S,870,812,580,754,40000
400,120,0.846,0.737,16,35,0.15,1.658,EPAG401E□□121ML35S,1005,938,670,871,48000
400,120,0.846,0.737,18,30,0.15,1.658,EPAG401E□□121MM30S,1005,938,670,871,48000
400,150,0.677,0.589,16,40,0.15,1.326,EPAG401E□□151ML40S,1155,1078,770,1001,60000
400,150,0.677,0.589,18,35,0.15,1.326,EPAG401E□□151MM35S,1155,1078,770,1001,60000
400,180,0.564,0.491,18,40,0.15,1.105,EPAG401E□□181MM40S,1320,1232,880,1144,72000
400,220,0.461,0.402,18,45,0.15,0.904,EPAG401E□□221MM45S,1500,1400,1000,1300,88000
420,22,3.937,3.721,10,30,0.2,12.057,EPAG421E□□220MJ30S,414,402.5,230,345,9240
420,27,3.208,3.032,10,35,0.2,9.824,EPAG421E□□270MJ35S,486,472.5,270,405,11340
420,33,2.625,2.481,10,40,0.2,8.038,EPAG421E□□330MJ40S,558,542.5,310,465,13860
420,39,2.221,2.099,12.5,30,0.2,6.801,EPAG421E□□390MK30S,594,577.5,330,495,16380
420,47,1.843,1.742,12.5,35,0.2,5.644,EPAG421E□□470MK35S,702,682.5,390,585,19740
420,56,1.547,1.462,12.5,40,0.2,4.737,EPAG421E□□560MK40S,774,752.5,430,645,23520
