Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
16,220,0.026,8,9,-55,105,0.12,0.723,3000,704,2000,PLV1C221MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2100,NRND,Normal,0.75
16,270,0.024,8,12,-55,105,0.12,0.589,3000,864,2000,PLV1C271MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2500,NRND,Normal,0.95
16,470,0.023,10,13,-55,105,0.12,0.339,3000,1504,1000,PLV1C471MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2900,NRND,Normal,1.5
20,150,0.027,8,9,-55,105,0.12,1.061,3000,600,2000,PLV1D151MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2000,NRND,Normal,0.75
20,220,0.025,8,12,-55,105,0.12,0.723,3000,880,2000,PLV1D221MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2400,NRND,Normal,0.95
20,330,0.024,10,13,-55,105,0.12,0.482,3000,1320,1000,PLV1D331MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2800,NRND,Normal,1.5
25,120,0.028,8,9,-55,105,0.12,1.326,3000,600,2000,PLV1E121MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2000,NRND,Normal,0.75
25,150,0.026,8,12,-55,105,0.12,1.061,3000,750,2000,PLV1E151MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2400,NRND,Normal,0.95
25,270,0.025,10,13,-55,105,0.12,0.589,3000,1350,1000,PLV1E271MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2800,NRND,Normal,1.5
35,56,0.029,8,9,-55,105,0.12,2.842,3000,392,2000,PLV1V560MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,1900,NRND,Normal,0.75
35,82,0.027,8,12,-55,105,0.12,1.941,3000,574,2000,PLV1V820MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2300,NRND,Normal,0.95
35,150,0.026,10,13,-55,105,0.12,1.061,3000,1050,1000,PLV1V151MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2700,NRND,Normal,1.5
50,33,0.032,8,9,-55,105,0.12,4.823,3000,330,2000,PLV1H330MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,1900,NRND,Normal,0.75
50,39,0.029,8,12,-55,105,0.12,4.081,3000,390,2000,PLV1H390MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2200,NRND,Normal,0.95
50,68,0.028,10,13,-55,105,0.12,2.341,3000,680,1000,PLV1H680MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2600,NRND,Normal,1.5
63,22,0.035,8,9,-55,105,0.12,7.234,3000,277,2000,PLV1J220MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,1800,NRND,Normal,0.75
63,27,0.033,8,12,-55,105,0.12,5.895,3000,340,2000,PLV1J270MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2100,NRND,Normal,0.95
63,47,0.029,10,13,-55,105,0.12,3.386,3000,592,1000,PLV1J470MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2600,NRND,Normal,1.5
80,10,0.04,8,9,-55,105,0.12,15.916,3000,160,2000,PLV1K100MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,1700,NRND,Normal,0.75
80,12,0.038,8,12,-55,105,0.12,13.263,3000,192,2000,PLV1K120MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,1900,NRND,Normal,0.95
80,22,0.035,10,13,-55,105,0.12,7.234,3000,352,1000,PLV1K220MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2300,NRND,Normal,1.5
100,6.8,0.045,8,9,-55,105,0.12,23.405,3000,136,2000,PLV2A6R8MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,1600,NRND,Normal,0.75
100,10,0.042,8,12,-55,105,0.12,15.916,3000,200,2000,PLV2A100MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,1800,NRND,Normal,0.95
100,18,0.038,10,13,-55,105,0.12,8.842,3000,360,1000,PLV2A180MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2200,NRND,Normal,1.5
