Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,VC
200,82,0.15,10,30,2.426,765,765,510,714,637.5,408,408,16400
200,100,0.15,10,35,1.989,900,900,600,840,750,480,480,20000
200,120,0.15,10,40,1.658,1020,1020,680,952,850,544,544,24000
200,150,0.15,12.5,30,1.326,1095,1095,730,1022,912.5,584,584,30000
200,180,0.15,12.5,35,1.105,1275,1275,850,1190,1062.5,680,680,36000
200,220,0.15,12.5,40,0.904,1455,1455,970,1358,1212.5,776,776,44000
200,220,0.15,14.5,30,0.904,1335,1335,890,1246,1112.5,712,712,44000
200,270,0.15,14.5,35,0.737,1560,1560,1040,1456,1300,832,832,54000
200,270,0.15,16,30,0.737,1515,1515,1010,1414,1262.5,808,808,54000
200,330,0.15,16,35,0.603,1755,1755,1170,1638,1462.5,936,936,66000
200,330,0.15,18,30,0.603,1755,1755,1170,1638,1462.5,936,936,66000
200,390,0.15,16,40,0.51,1995,1995,1330,1862,1662.5,1064,1064,78000
200,390,0.15,18,35,0.51,1995,1995,1330,1862,1662.5,1064,1064,78000
200,470,0.15,18,40,0.423,2295,2295,1530,2142,1912.5,1224,1224,94000
200,560,0.15,18,45,0.355,2595,2595,1730,2422,2162.5,1384,1384,112000
400,18,0.15,8,25,11.052,285,285,190,266,237.5,152,152,7200
400,22,0.15,8,30,9.043,330,330,220,308,275,176,176,8800
400,27,0.15,8,35,7.368,375,375,250,350,312.5,200,200,10800
400,33,0.15,8,45,6.029,495,495,330,462,412.5,264,264,13200
400,33,0.15,10,30,6.029,495,495,330,462,412.5,264,264,13200
400,39,0.15,8,50,5.101,525,525,350,490,437.5,280,280,15600
400,39,0.15,10,35,5.101,555,555,370,518,462.5,296,296,15600
400,47,0.15,10,40,4.233,645,645,430,602,537.5,344,344,18800
400,56,0.15,10,45,3.553,720,720,480,672,600,384,384,22400
400,56,0.15,12.5,30,3.553,705,705,470,658,587.5,376,376,22400
400,68,0.15,12.5,35,2.926,810,810,540,756,675,432,432,27200
400,82,0.15,12.5,40,2.426,930,930,620,868,775,496,496,32800
