Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 85°C@100kHz,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@50Hz,Ripple Current 85°C@60Hz,VC
6.3,33,0.22,5,11,8.842,RE3-6V330MA,72,72,60,66,48,48,207.9
6.3,47,0.22,5,11,6.208,RE3-6V470MA,84,84,70,77,56,56,296.09999999999997
6.3,100,0.22,5,11,2.918,RE3-6V101MA,120,120,100,110,80,80,630
6.3,220,0.22,6.3,11,1.326,RE2-6V221MMA,204,204,170,187,136,136,1386
6.3,330,0.22,6.3,11,0.884,RE2-6V331MMA,252,252,210,231,168,168,2079
6.3,470,0.22,8,11.5,0.621,RE2-6V471MMA,360,360,300,330,240,240,2961
6.3,1000,0.22,10,12.5,0.318,RE2-6V102MMA,636,636,530,583,424,424,6300
6.3,2200,0.24,12.5,20,0.169,RE2-6V222MMA,1188,1188,990,1089,792,792,13860
6.3,3300,0.26,12.5,20,0.129,RE2-6V332MMA,1380,1380,1150,1265,920,920,20790
6.3,4700,0.28,16,25,0.102,RE2-6V472MMA,2040,2040,1700,1870,1360,1360,29610
6.3,6800,0.32,16,25,0.086,RE2-6V682MMA,2280,2280,1900,2090,1520,1520,42840
6.3,10000,0.38,16,31.5,0.077,RE2-6V103MMA,2700,2700,2250,2475,1800,1800,63000
6.3,15000,0.48,18,35.5,0.069,RE2-6V153MMA,3480,3480,2900,3190,2320,2320,94500
10,22,0.19,5,11,11.454,RE3-10V220MA,60,60,50,55,40,40,220
10,33,0.19,5,11,7.636,RE3-10V330MA,78,78,65,71.5,52,52,330
10,47,0.19,5,11,5.362,RE3-10V470MA,90,90,75,82.5,60,60,470
10,100,0.19,5,11,2.52,RE3-10V101MA,132,132,110,121,88,88,1000
10,220,0.19,6.3,11,1.145,RE2-10V221MMA,228,228,190,209,152,152,2200
10,330,0.19,8,11.5,0.764,RE2-10V331MMA,324,324,270,297,216,216,3300
10,470,0.19,8,11.5,0.536,RE2-10V471MMA,396,396,330,363,264,264,4700
10,1000,0.19,10,16,0.279,RE2-10V102MMA,744,744,620,682,496,496,10000
10,2200,0.21,12.5,20,0.151,RE2-10V222MMA,1260,1260,1050,1155,840,840,22000
10,3300,0.23,12.5,25,0.117,RE2-10V332MMA,1620,1620,1350,1485,1080,1080,33000
10,4700,0.25,16,25,0.093,RE2-10V472MMA,2160,2160,1800,1980,1440,1440,47000
10,6800,0.29,16,31.5,0.08,RE2-10V682MMA,2640,2640,2200,2420,1760,1760,68000
10,10000,0.35,18,35.5,0.073,RE2-10V103MMA,3300,3300,2750,3025,2200,2200,100000
16,10,0.16,5,11,21.221,RE3-16V100MA,48,48,40,44,32,32,160
16,22,0.16,5,11,9.646,RE3-16V220MA,66,66,55,60.5,44,44,352
16,33,0.16,5,11,6.431,RE3-16V330MA,84,84,70,77,56,56,528
16,47,0.16,5,11,4.515,RE3-16V470MA,96,96,80,88,64,64,752
16,100,0.16,6.3,11,2.122,RE2-16V101MMA,168,168,140,154,112,112,1600
16,220,0.16,8,11.5,0.965,RE2-16V221MMA,288,288,240,264,192,192,3520
16,330,0.16,8,11.5,0.643,RE2-16V331MMA,360,360,300,330,240,240,5280
16,470,0.16,10,12.5,0.452,RE2-16V471MMA,504,504,420,462,336,336,7520
16,1000,0.16,10,20,0.239,RE2-16V102MMA,888,888,740,814,592,592,16000
16,2200,0.18,12.5,25,0.133,RE2-16V222MMA,1440,1440,1200,1320,960,960,35200
16,3300,0.2,16,25,0.104,RE2-16V332MMA,1980,1980,1650,1815,1320,1320,52800
16,4700,0.22,16,31.5,0.085,RE2-16V472MMA,2520,2520,2100,2310,1680,1680,75200
16,6800,0.26,18,35.5,0.074,RE2-16V682MMA,3120,3120,2600,2860,2080,2080,108800
25,4.7,0.14,5,11,39.507,RE3-25V4R7MA,42.5,42.5,25,37.5,20,20,117.5
25,10,0.14,5,11,18.568,RE3-25V100MA,68,68,40,60,32,32,250
25,22,0.14,5,11,8.44,RE3-25V220MA,102,102,60,90,48,48,550
25,33,0.14,5,11,5.627,RE3-25V330MA,119,119,70,105,56,56,825
25,47,0.14,5,11,3.951,RE3-25V470MA,117,117,90,108,72,72,1175
25,100,0.14,6.3,11,1.857,RE2-25V101MMA,195,195,150,180,120,120,2500
25,220,0.14,8,11.5,0.844,RE2-25V221MMA,338,338,260,312,208,208,5500
25,330,0.14,10,12.5,0.563,RE2-25V331MMA,494,494,380,456,304,304,8250
25,470,0.14,10,16,0.395,RE2-25V471MMA,650,650,500,600,400,400,11750
25,1000,0.14,12.5,20,0.212,RE2-25V102MMA,1300,1300,1000,1200,800,800,25000
25,2200,0.16,16,25,0.121,RE2-25V222MMA,1950,1950,1500,1800,1200,1200,55000
25,3300,0.18,16,31.5,0.096,RE2-25V332MMA,2470,2470,1900,2280,1520,1520,82500
25,4700,0.2,18,35.5,0.079,RE2-25V472MMA,3185,3185,2450,2940,1960,1960,117500
35,4.7,0.12,5,11,33.863,RE3-35V4R7MA,51,51,30,45,24,24,164.5
35,10,0.12,5,11,15.916,RE3-35V100MA,76.5,76.5,45,67.5,36,36,350
35,22,0.12,5,11,7.234,RE3-35V220MA,102,102,60,90,48,48,770
35,33,0.12,5,11,4.823,RE3-35V330MA,104,104,80,96,64,64,1155
35,47,0.12,6.3,11,3.386,RE2-35V470MMA,143,143,110,132,88,88,1645
35,100,0.12,8,11.5,1.592,RE2-35V101MMA,247,247,190,228,152,152,3500
35,220,0.12,10,12.5,0.723,RE2-35V221MMA,429,429,330,396,264,264,7700
35,330,0.12,10,16,0.482,RE2-35V331MMA,585,585,450,540,360,360,11550
35,470,0.12,10,20,0.339,RE2-35V471MMA,767,767,590,708,472,472,16450
35,1000,0.12,12.5,25,0.186,RE2-35V102MMA,1365,1365,1050,1260,840,840,35000
35,2200,0.14,16,31.5,0.109,RE2-35V222MMA,2275,2275,1750,2100,1400,1400,77000
35,3300,0.16,18,35.5,0.088,RE2-35V332MMA,2925,2925,2250,2700,1800,1800,115500
50,0.1,0.1,5,11,1326.292,RE3-50VR10MA,9.5,9.5,5,8,4,4,5
50,0.22,0.1,5,11,602.86,RE3-50VR22MA,13.3,13.3,7,11.2,5.6,5.6,11
50,0.33,0.1,5,11,401.907,RE3-50VR33MA,17.1,17.1,9,14.4,7.2,7.2,16.5
50,0.47,0.1,5,11,282.19,RE3-50VR47MA,19,19,10,16,8,8,23.5
50,1,0.1,5,11,132.629,RE3-50V010MA,28.5,28.5,15,24,12,12,50
50,2.2,0.1,5,11,60.286,RE3-50V2R2MA,38,38,20,32,16,16,110.00000000000001
50,3.3,0.1,5,11,40.191,RE3-50V3R3MA,47.5,47.5,25,40,20,20,165
50,4.7,0.1,5,11,28.219,RE3-50V4R7MA,57,57,30,48,24,24,235
50,10,0.1,5,11,13.263,RE3-50V100MA,85.5,85.5,45,72,36,36,500
50,22,0.1,5,11,6.029,RE3-50V220MA,91,91,70,84,56,56,1100
50,33,0.1,6.3,11,4.019,RE2-50V330MMA,130,130,100,120,80,80,1650
50,47,0.1,6.3,11,2.822,RE2-50V470MMA,156,156,120,144,96,96,2350
50,100,0.1,8,11.5,1.326,RE2-50V101MMA,273,273,210,252,168,168,5000
50,220,0.1,10,16,0.603,RE2-50V221MMA,520,520,400,480,320,320,11000
50,330,0.1,10,20,0.402,RE2-50V331MMA,702,702,540,648,432,432,16500
50,470,0.1,12.5,20,0.282,RE2-50V471MMA,962,962,740,888,592,592,23500
50,1000,0.1,16,25,0.159,RE2-50V102MMA,1755,1755,1350,1620,1080,1080,50000
50,2200,0.12,18,35.5,0.096,RE2-50V222MMA,2730,2730,2100,2520,1680,1680,110000
63,4.7,0.09,5,11,25.397,RE3-63V4R7MA,66.5,66.5,35,56,28,28,296.1
63,10,0.09,5,11,11.937,RE3-63V100MA,95,95,50,80,40,40,630
63,22,0.09,6.3,11,5.426,RE2-63V220MMA,110.5,110.5,85,102,68,68,1386
63,33,0.09,6.3,11,3.617,RE2-63V330MMA,130,130,100,120,80,80,2079
63,47,0.09,8,11.5,2.54,RE2-63V470MMA,195,195,150,180,120,120,2961
63,100,0.09,10,12.5,1.194,RE2-63V101MMA,338,338,260,312,208,208,6300
63,220,0.09,10,20,0.543,RE2-63V221MMA,598,598,460,552,368,368,13860
63,330,0.09,12.5,20,0.362,RE2-63V331MMA,845,845,650,780,520,520,20790
63,470,0.09,12.5,25,0.254,RE2-63V471MMA,1105,1105,850,1020,680,680,29610
63,1000,0.09,16,31.5,0.146,RE2-63V102MMA,2015,2015,1550,1860,1240,1240,63000
100,0.1,0.08,5,11,1061.034,RE3-100VR10M,9.5,9.5,5,8,4,4,10
100,0.22,0.08,5,11,482.288,RE3-100VR22M,15.2,15.2,8,12.8,6.4,6.4,22
100,0.33,0.08,5,11,321.525,RE3-100VR33M,19,19,10,16,8,8,33
100,0.47,0.08,5,11,225.752,RE3-100VR47M,19,19,10,16,8,8,47
100,1,0.08,5,11,106.103,RE3-100V010M,28.5,28.5,15,24,12,12,100
100,2.2,0.08,5,11,48.229,RE3-100V2R2M,47.5,47.5,25,40,20,20,220.00000000000003
100,3.3,0.08,5,11,32.153,RE3-100V3R3M,57,57,30,48,24,24,330
100,4.7,0.08,5,11,22.575,RE3-100V4R7M,66.5,66.5,35,56,28,28,470
100,10,0.08,6.3,11,10.61,RE2-100V100MMA,114,114,60,96,48,48,1000
100,22,0.08,8,11.5,4.823,RE2-100V220MMA,143,143,110,132,88,88,2200
100,33,0.08,10,12.5,3.215,RE2-100V330MMA,208,208,160,192,128,128,3300
100,47,0.08,10,16,2.258,RE2-100V470MMA,273,273,210,252,168,168,4700
100,100,0.08,12.5,20,1.061,RE2-100V101MMA,494,494,380,456,304,304,10000
100,220,0.08,16,25,0.482,RE2-100V221MMA,936,936,720,864,576,576,22000
100,330,0.08,16,25,0.322,RE2-100V331MMA,1144,1144,880,1056,704,704,33000
100,470,0.08,16,31.5,0.226,RE2-100V471MMA,1495,1495,1150,1380,920,920,47000
160,0.47,0.12,6.3,11,338.628,RE2-160VR47M,16,15,10,13,8,8,75.19999999999999
160,1,0.12,6.3,11,159.155,RE2-160V010M,24,22.5,15,19.5,12,12,160
160,2.2,0.12,6.3,11,72.343,RE2-160V2R2M,32,30,20,26,16,16,352
160,3.3,0.12,8,11.5,48.229,RE2-160V3R3M,56,52.5,35,45.5,28,28,528
160,4.7,0.12,8,11.5,33.863,RE2-160V4R7M,64,60,40,52,32,32,752
160,10,0.12,10,12.5,15.916,RE2-160V100M,112,105,70,91,56,56,1600
160,22,0.12,10,20,7.234,RE2-160V220M,192,180,120,156,96,96,3520
160,33,0.12,12.5,20,4.823,RE2-160V330M,288,270,180,234,144,144,5280
160,47,0.12,12.5,25,3.386,RE2-160V470M,368,345,230,299,184,184,7520
160,100,0.12,16,25,1.592,RE2-160V101M,640,600,400,520,320,320,16000
160,220,0.12,18,35.5,0.723,RE2-160V221M,1168,1095,730,949,584,584,35200
200,0.47,0.12,6.3,11,338.628,RE2-200VR47M,16,15,10,13,8,8,94
200,1,0.12,6.3,11,159.155,RE2-200V010M,24,22.5,15,19.5,12,12,200
200,2.2,0.12,6.3,11,72.343,RE2-200V2R2M,32,30,20,26,16,16,440.00000000000006
200,3.3,0.12,8,11.5,48.229,RE2-200V3R3M,56,52.5,35,45.5,28,28,660
200,4.7,0.12,10,12.5,33.863,RE2-200V4R7M,80,75,50,65,40,40,940
200,10,0.12,10,16,15.916,RE2-200V100M,120,112.5,75,97.5,60,60,2000
200,22,0.12,10,20,7.234,RE2-200V220M,192,180,120,156,96,96,4400
200,33,0.12,12.5,25,4.823,RE2-200V330M,304,285,190,247,152,152,6600
200,47,0.12,12.5,25,3.386,RE2-200V470M,352,330,220,286,176,176,9400
200,100,0.12,16,31.5,1.592,RE2-200V101M,688,645,430,559,344,344,20000
200,220,0.12,18,40,0.723,RE2-200V221M,1216,1140,760,988,608,608,44000
250,0.47,0.15,6.3,11,423.285,RE2-250VR47M,16,15,10,13,8,8,117.5
250,1,0.15,6.3,11,198.944,RE2-250V010M,24,22.5,15,19.5,12,12,250
250,2.2,0.15,8,11.5,90.429,RE2-250V2R2M,40,37.5,25,32.5,20,20,550
250,3.3,0.15,10,12.5,60.286,RE2-250V3R3M,56,52.5,35,45.5,28,28,825
250,4.7,0.15,10,12.5,42.328,RE2-250V4R7M,64,60,40,52,32,32,1175
250,10,0.15,10,20,19.894,RE2-250V100M,120,112.5,75,97.5,60,60,2500
250,22,0.15,12.5,25,9.043,RE2-250V220M,224,210,140,182,112,112,5500
250,33,0.15,12.5,25,6.029,RE2-250V330M,272,255,170,221,136,136,8250
250,47,0.15,16,25,4.233,RE2-250V470M,384,360,240,312,192,192,11750
250,100,0.15,18,35.5,1.989,RE2-250V101M,704,660,440,572,352,352,25000
350,0.47,0.15,6.3,11,423.285,RE2-350VR47M,16,15,10,13,8,8,164.5
350,1,0.15,8,11.5,198.944,RE2-350V010M,24,22.5,15,19.5,12,12,350
350,2.2,0.15,10,12.5,90.429,RE2-350V2R2M,48,45,30,39,24,24,770.0000000000001
350,3.3,0.15,10,12.5,60.286,RE2-350V3R3M,56,52.5,35,45.5,28,28,1155
350,4.7,0.15,10,16,42.328,RE2-350V4R7M,72,67.5,45,58.5,36,36,1645
350,10,0.15,10,20,19.894,RE2-350V100M,120,112.5,75,97.5,60,60,3500
350,22,0.15,12.5,25,9.043,RE2-350V220M,224,210,140,182,112,112,7700
350,33,0.15,16,25,6.029,RE2-350V330M,320,300,200,260,160,160,11550
