Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Length,CV (µF x V),Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Part Number,Ripple Current 85°C@120Hz,VC
6.3,220,1.172,5,all,0.28,1.688,1.2,1.2,1,1.1,0.8,0.8,RE3-6V221M,200.0,1386.0
6.3,330,0.781,6.3,all,0.28,1.125,1.2,1.2,1,1.1,0.8,0.8,RE3-6V331M,270.0,2079.0
6.3,470,0.549,6.3,all,0.28,0.79,1.2,1.2,1,1.1,0.8,0.8,RE3-6V471M,322.0,2961.0
6.3,1000,0.276,8,all,0.28,0.398,1.2,1.2,1,1.1,0.8,0.8,RE3-6V102M,546.0,6300.0
6.3,2200,0.142,10,all,0.3,0.205,1.2,1.2,1,1.1,0.8,0.8,RE3-6V222M,1010.0,13860.0
6.3,3300,0.106,10,all,0.32,0.153,1.2,1.2,1,1.1,0.8,0.8,RE3-6V332M,1230.0,20790.0
6.3,4700,0.082,12.5,all,0.34,0.119,1.2,1.2,1,1.1,0.8,0.8,RE3-6V472M,1710.0,29610.0
6.3,6800,0.068,12.5,all,0.38,0.098,1.2,1.2,1,1.1,0.8,0.8,RE3-6V682M,1930.0,42840.0
6.3,10000,0.059,16,all,0.44,0.085,1.2,1.2,1,1.1,0.8,0.8,RE3-6V103M,2450.0,63000.0
6.3,15000,0.052,16,all,0.54,0.074,1.2,1.2,1,1.1,0.8,0.8,RE3-6V153M,2860.0,94500.0
6.3,22000,0.047,18,all,0.68,0.068,1.2,1.2,1,1.1,0.8,0.8,RE3-6V223M,3340.0,138600.0
10,47,4.703,5,all,0.24,6.773,1.2,1.2,1,1.1,0.8,0.8,RE3-10V470M,99.0,470.0
10,100,2.21,5,all,0.24,3.183,1.2,1.2,1,1.1,0.8,0.8,RE3-10V101M,146.0,1000.0
10,220,1.005,6.3,all,0.24,1.447,1.2,1.2,1,1.1,0.8,0.8,RE3-10V221M,240.0,2200.0
10,330,0.67,6.3,all,0.24,0.965,1.2,1.2,1,1.1,0.8,0.8,RE3-10V331M,290.0,3300.0
10,470,0.47,8,all,0.24,0.677,1.2,1.2,1,1.1,0.8,0.8,RE3-10V471M,417.0,4700.0
10,1000,0.239,10,all,0.24,0.345,1.2,1.2,1,1.1,0.8,0.8,RE3-10V102M,650.0,10000.0
10,2200,0.126,10,all,0.26,0.181,1.2,1.2,1,1.1,0.8,0.8,RE3-10V222M,1080.0,22000.0
10,3300,0.095,12.5,all,0.28,0.137,1.2,1.2,1,1.1,0.8,0.8,RE3-10V332M,1430.0,33000.0
10,4700,0.074,12.5,all,0.3,0.107,1.2,1.2,1,1.1,0.8,0.8,RE3-10V472M,1780.0,47000.0
10,6800,0.062,16,all,0.34,0.09,1.2,1.2,1,1.1,0.8,0.8,RE3-10V682M,2220.0,68000.0
10,10000,0.055,16,all,0.4,0.08,1.2,1.2,1,1.1,0.8,0.8,RE3-10V103M,2700.0,100000.0
10,15000,0.049,18,all,0.5,0.071,1.2,1.2,1,1.1,0.8,0.8,RE3-10V153M,3100.0,150000.0
16,10,18.421,5,all,0.2,26.526,1.2,1.2,1,1.1,0.8,0.8,RE3-16V100M,50.0,160.0
16,22,8.373,5,all,0.2,12.057,1.2,1.2,1,1.1,0.8,0.8,RE3-16V220M,75.0,352.0
16,33,5.582,5,all,0.2,8.038,1.2,1.2,1,1.1,0.8,0.8,RE3-16V330M,92.0,528.0
16,47,3.919,5,all,0.2,5.644,1.2,1.2,1,1.1,0.8,0.8,RE3-16V470M,110.0,752.0
16,100,1.842,5,all,0.2,2.653,1.2,1.2,1,1.1,0.8,0.8,RE3-16V101M,160.0,1600.0
16,220,0.837,6.3,all,0.2,1.206,1.2,1.2,1,1.1,0.8,0.8,RE3-16V221M,264.0,3520.0
16,330,0.558,8,all,0.2,0.804,1.2,1.2,1,1.1,0.8,0.8,RE3-16V331M,383.0,5280.0
16,470,0.392,8,all,0.2,0.564,1.2,1.2,1,1.1,0.8,0.8,RE3-16V471M,457.0,7520.0
16,1000,0.203,10,all,0.2,0.292,1.2,1.2,1,1.1,0.8,0.8,RE3-16V102M,791.0,16000.0
16,2200,0.109,12.5,all,0.22,0.157,1.2,1.2,1,1.1,0.8,0.8,RE3-16V222M,1350.0,35200.0
16,3300,0.084,12.5,all,0.24,0.121,1.2,1.2,1,1.1,0.8,0.8,RE3-16V332M,1690.0,52800.0
16,4700,0.067,16,all,0.26,0.096,1.2,1.2,1,1.1,0.8,0.8,RE3-16V472M,2100.0,75200.0
16,6800,0.057,16,all,0.3,0.082,1.2,1.2,1,1.1,0.8,0.8,RE3-16V682M,2580.0,108800.0
16,10000,0.052,18,all,0.36,0.074,1.2,1.2,1,1.1,0.8,0.8,RE3-16V103M,3130.0,160000.0
25,4.7,15.623,5,≤1000,0.16,45.15,1.7,1.7,1,1.5,0.8,0.8,RE3-25V4R7M,38.0,117.5
25,4.7,26.716,5,>1000,0.16,45.15,1.3,1.3,1,1.2,0.8,0.8,RE3-25V4R7M,38.0,117.5
25,10,7.343,5,≤1000,0.16,21.221,1.7,1.7,1,1.5,0.8,0.8,RE3-25V100M,55.0,250.0
25,10,12.557,5,>1000,0.16,21.221,1.3,1.3,1,1.2,0.8,0.8,RE3-25V100M,55.0,250.0
25,22,3.338,5,≤1000,0.16,9.646,1.7,1.7,1,1.5,0.8,0.8,RE3-25V220M,82.0,550.0
25,22,5.708,5,>1000,0.16,9.646,1.3,1.3,1,1.2,0.8,0.8,RE3-25V220M,82.0,550.0
25,33,2.225,5,≤1000,0.16,6.431,1.7,1.7,1,1.5,0.8,0.8,RE3-25V330M,100.0,825.0
25,33,3.805,5,>1000,0.16,6.431,1.3,1.3,1,1.2,0.8,0.8,RE3-25V330M,100.0,825.0
25,47,1.562,5,≤1000,0.16,4.515,1.7,1.7,1,1.5,0.8,0.8,RE3-25V470M,118.0,1175.0
25,47,2.672,5,>1000,0.16,4.515,1.3,1.3,1,1.2,0.8,0.8,RE3-25V470M,118.0,1175.0
25,100,0.734,6.3,≤1000,0.16,2.122,1.7,1.7,1,1.5,0.8,0.8,RE3-25V101M,199.0,2500.0
25,100,1.256,6.3,>1000,0.16,2.122,1.3,1.3,1,1.2,0.8,0.8,RE3-25V101M,199.0,2500.0
25,220,0.334,8,≤1000,0.16,0.965,1.7,1.7,1,1.5,0.8,0.8,RE3-25V221M,349.0,5500.0
25,220,0.571,8,>1000,0.16,0.965,1.3,1.3,1,1.2,0.8,0.8,RE3-25V221M,349.0,5500.0
25,330,0.223,10,≤1000,0.16,0.643,1.7,1.7,1,1.5,0.8,0.8,RE3-25V331M,510.0,8250.0
25,330,0.381,10,>1000,0.16,0.643,1.3,1.3,1,1.2,0.8,0.8,RE3-25V331M,510.0,8250.0
25,470,0.156,10,≤1000,0.16,0.452,1.7,1.7,1,1.5,0.8,0.8,RE3-25V471M,545.0,11750.0
25,470,0.267,10,>1000,0.16,0.452,1.3,1.3,1,1.2,0.8,0.8,RE3-25V471M,545.0,11750.0
25,1000,0.083,10,≤1000,0.16,0.239,1.7,1.7,1,1.5,0.8,0.8,RE3-25V102M,996.0,25000.0
25,1000,0.141,10,>1000,0.16,0.239,1.3,1.3,1,1.2,0.8,0.8,RE3-25V102M,996.0,25000.0
25,2200,0.046,12.5,≤1000,0.18,0.133,1.7,1.7,1,1.5,0.8,0.8,RE3-25V222M,1660.0,55000.0
25,2200,0.078,12.5,>1000,0.18,0.133,1.3,1.3,1,1.2,0.8,0.8,RE3-25V222M,1660.0,55000.0
25,3300,0.036,16,≤1000,0.2,0.104,1.7,1.7,1,1.5,0.8,0.8,RE3-25V332M,2030.0,82500.0
25,3300,0.062,16,>1000,0.2,0.104,1.3,1.3,1,1.2,0.8,0.8,RE3-25V332M,2030.0,82500.0
25,4700,0.029,16,≤1000,0.22,0.085,1.7,1.7,1,1.5,0.8,0.8,RE3-25V472M,2650.0,117500.0
25,4700,0.05,16,>1000,0.22,0.085,1.3,1.3,1,1.2,0.8,0.8,RE3-25V472M,2650.0,117500.0
25,6800,0.026,18,≤1000,0.26,0.074,1.7,1.7,1,1.5,0.8,0.8,RE3-25V682M,3290.0,170000.0
25,6800,0.044,18,>1000,0.26,0.074,1.3,1.3,1,1.2,0.8,0.8,RE3-25V682M,3290.0,170000.0
35,4.7,13.67,5,≤1000,0.14,39.507,1.7,1.7,1,1.5,0.8,0.8,RE3-35V4R7M,40.0,164.5
35,4.7,23.377,5,>1000,0.14,39.507,1.3,1.3,1,1.2,0.8,0.8,RE3-35V4R7M,40.0,164.5
35,10,6.425,5,≤1000,0.14,18.568,1.7,1.7,1,1.5,0.8,0.8,RE3-35V100M,59.0,350.0
