Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Ripple Current 85°C@100kHz,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@50Hz,Ripple Current 85°C@60Hz,VC,Voltage_1
50,1,36.739,36.739,5,11,0.1,132.629,28.5,28.5,15,24,12,12,50,≤1000
50,1,78.479,78.479,5,11,0.1,132.629,19.5,19.5,15,18,12,12,50,>1000
63,1,33.065,33.065,5,11,0.09,119.366,28.5,28.5,15,24,12,12,63,≤1000
63,1,70.631,70.631,5,11,0.09,119.366,19.5,19.5,15,18,12,12,63,>1000
50,2.2,16.7,16.7,5,11,0.1,60.286,38,38,20,32,16,16,110.00000000000001,≤1000
50,2.2,35.672,35.672,5,11,0.1,60.286,26,26,20,24,16,16,110.00000000000001,>1000
63,2.2,15.03,15.03,5,11,0.09,54.257,38,38,20,32,16,16,138.60000000000002,≤1000
63,2.2,32.105,32.105,5,11,0.09,54.257,26,26,20,24,16,16,138.60000000000002,>1000
50,3.3,11.133,11.133,5,11,0.1,40.191,47.5,47.5,25,40,20,20,165,≤1000
50,3.3,23.781,23.781,5,11,0.1,40.191,32.5,32.5,25,30,20,20,165,>1000
63,3.3,10.02,10.02,5,11,0.09,36.172,47.5,47.5,25,40,20,20,207.89999999999998,≤1000
63,3.3,21.403,21.403,5,11,0.09,36.172,32.5,32.5,25,30,20,20,207.89999999999998,>1000
35,4.7,11.717,11.717,5,11,0.12,33.863,51,51,30,45,24,24,164.5,≤1000
35,4.7,20.037,20.037,5,11,0.12,33.863,39,39,30,36,24,24,164.5,>1000
50,4.7,7.817,7.817,5,11,0.1,28.219,57,57,30,48,24,24,235,≤1000
50,4.7,16.698,16.698,5,11,0.1,28.219,39,39,30,36,24,24,235,>1000
63,4.7,7.035,7.035,5,11,0.09,25.397,57,57,30,48,24,24,296.1,≤1000
