Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Size Code,VC
6.3,330,0.245,0.221,0.32,6.3,11.5,0.22,0.884,0.64,290,275.5,145,246.5,D11,2079
6.3,470,0.243,0.223,0.17,8,12,0.22,0.621,0.34,555,531.74,332.34,488.53,E12,2961
6.3,680,0.168,0.154,0.17,8,12,0.22,0.429,0.34,555,531.74,332.34,488.53,E12,4284
6.3,1000,0.124,0.114,0.12,10,12.5,0.22,0.318,0.24,760,728.14,455.09,668.98,F12,6300
6.3,2200,0.091,0.089,0.052,10,25,0.22,0.157,0.104,1440,1418.35,1082.71,1299.25,F25,13860
6.3,3300,0.066,0.064,0.042,12.5,20,0.22,0.113,0.084,1690,1664.59,1270.68,1524.81,G20,20790
6.3,4700,0.061,0.061,0.03,12.5,30,0.22,0.085,0.06,2310,2310,1957.63,2192.54,G30,29610
6.3,6800,0.048,0.048,0.028,16,25,0.22,0.066,0.056,2560,2560,2169.49,2429.83,J25,42840
6.3,10000,0.04,0.04,0.025,16,31.5,0.22,0.056,0.05,3010,3010,2550.85,2856.95,J31,63000
10,100,0.498,0.403,0.65,5,11.5,0.19,2.52,1.3,181,162.9,72.4,136.11,C11,1000
10,220,0.317,0.286,0.32,6.3,11.5,0.19,1.145,0.64,290,275.5,145,246.5,D11,2200
10,330,0.212,0.191,0.17,8,12,0.19,0.764,0.34,555,527.25,277.5,471.75,E12,3300
10,470,0.209,0.192,0.17,8,12,0.19,0.536,0.34,555,531.74,332.34,488.53,E12,4700
10,680,0.145,0.133,0.12,10,12.5,0.19,0.371,0.24,760,728.14,455.09,668.98,F12,6800
10,1000,0.109,0.1,0.08,10,16,0.19,0.279,0.16,1050,1005.99,628.74,924.25,F16,10000
10,2200,0.081,0.078,0.042,12.5,20,0.19,0.139,0.084,1690,1664.59,1270.68,1524.81,G20,22000
10,3300,0.059,0.057,0.034,12.5,25,0.19,0.1,0.068,1950,1920.68,1466.17,1759.4,G25,33000
10,4700,0.055,0.055,0.028,16,25,0.19,0.076,0.056,2560,2560,2169.49,2429.83,J25,47000
10,6800,0.043,0.043,0.025,16,31.5,0.19,0.06,0.05,3010,3010,2550.85,2856.95,J31,68000
16,330,0.178,0.161,0.17,8,12,0.16,0.643,0.34,555,527.25,277.5,471.75,E12,5280
16,470,0.176,0.162,0.12,10,12.5,0.16,0.452,0.24,760,728.14,455.09,668.98,F12,7520
16,680,0.122,0.112,0.08,10,16,0.16,0.312,0.16,1050,1005.99,628.74,924.25,F16,10880
16,1000,0.093,0.086,0.062,10,20,0.16,0.239,0.124,1220,1168.86,730.54,1073.89,F20,16000
16,2200,0.07,0.068,0.034,12.5,25,0.16,0.121,0.068,1950,1920.68,1466.17,1759.4,G25,35200
16,3300,0.052,0.05,0.028,16,25,0.16,0.088,0.056,2560,2521.5,1924.81,2309.77,J25,52800
16,4700,0.049,0.049,0.025,16,31.5,0.16,0.068,0.05,3010,3010,2550.85,2856.95,J31,75200
25,22,1.667,1.35,0.65,5,11.5,0.14,8.44,1.3,181,162.9,72.4,136.11,C11,550
25,33,1.111,0.9,0.32,6.3,11.5,0.14,5.627,0.64,290,261,116,218.08,D11,825
25,47,0.78,0.632,0.17,8,12,0.14,3.951,0.34,555,499.5,222,417.36,E12,1175
25,100,0.367,0.297,0.12,10,12.5,0.14,1.857,0.24,760,684,304,571.52,F12,2500
25,220,0.234,0.211,0.08,10,16,0.14,0.844,0.16,1050,997.5,525,892.5,F16,5500
25,330,0.156,0.141,0.062,10,20,0.14,0.563,0.124,1220,1159,610,1037,F20,8250
25,470,0.154,0.142,0.042,12.5,20,0.14,0.395,0.084,1690,1619.16,1011.98,1487.6,G20,11750
25,1000,0.083,0.076,0.034,12.5,25,0.14,0.212,0.068,1950,1868.26,1167.66,1716.47,G25,25000
25,2200,0.063,0.061,0.025,16,31.5,0.14,0.109,0.05,3010,2964.74,2263.16,2715.79,J31,55000
