Voltage,Capacitance,ESR 20°C@100kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Ripple Current 105°C@100kHz,Size Code,VC
25,1100,0.174,0.15,12.5,15,0.2,0.52,0.265,1.33,1.33,1.0,1.2,0.93,0.93,1210,G15,27500
25,1800,0.107,0.116,12.5,20,0.2,0.27,0.162,1.18,1.18,1.0,1.12,0.94,0.94,1670,G20,45000
25,2400,0.084,0.095,12.5,25,0.2,0.21,0.133,1.18,1.18,1.0,1.12,0.94,0.94,1950,G25,60000
25,3200,0.07,0.077,12.5,30,0.2,0.18,0.108,1.18,1.18,1.0,1.12,0.94,0.94,2330,G30,80000
25,3700,0.062,0.067,12.5,35,0.2,0.16,0.093,1.18,1.18,1.0,1.12,0.94,0.94,2620,G35,92500
25,4200,0.048,0.064,12.5,40,0.2,0.12,0.088,1.18,1.18,1.0,1.12,0.94,0.94,3160,G40,105000
25,2100,0.121,0.109,16,16,0.2,0.36,0.152,1.18,1.18,1.0,1.12,0.94,0.94,1700,J16,52500
25,3100,0.082,0.08,16,20,0.2,0.21,0.111,1.18,1.18,1.0,1.12,0.94,0.94,2230,J20,77500
25,4300,0.062,0.062,16,25,0.2,0.16,0.086,1.18,1.18,1.0,1.12,0.94,0.94,2650,J25,107500
25,5800,0.051,0.049,16,31.5,0.2,0.13,0.069,1.18,1.18,1.0,1.12,0.94,0.94,3210,J31,145000
25,6800,0.045,0.045,16,35.5,0.2,0.11,0.062,1.18,1.18,1.0,1.12,0.94,0.94,3570,J35,170000
25,7800,0.042,0.042,16,40,0.2,0.11,0.058,1.18,1.18,1.0,1.12,0.94,0.94,3880,J40,195000
25,3000,0.107,0.083,18,16,0.2,0.32,0.115,1.18,1.18,1.0,1.12,0.94,0.94,2010,K16,75000
25,4300,0.079,0.062,18,20,0.2,0.2,0.086,1.18,1.18,1.0,1.12,0.94,0.94,2500,K20,107500
25,6000,0.056,0.051,18,25,0.2,0.14,0.071,1.18,1.18,1.0,1.12,0.94,0.94,3000,K25,150000
25,8000,0.045,0.043,18,31.5,0.2,0.11,0.06,1.18,1.18,1.0,1.12,0.94,0.94,3660,K31,200000
25,9300,0.042,0.039,18,35.5,0.2,0.11,0.054,1.18,1.18,1.0,1.12,0.94,0.94,3960,K35,232500
25,11000,0.04,0.036,18,40,0.2,0.1,0.051,1.18,1.18,1.0,1.12,0.94,0.94,4300,K40,275000
35,830,0.174,0.145,12.5,15,0.16,0.52,0.256,1.33,1.33,1.0,1.2,0.93,0.93,1210,G15,29050
35,1300,0.107,0.132,12.5,20,0.16,0.27,0.184,1.18,1.18,1.0,1.12,0.94,0.94,1670,G20,45500
35,1600,0.084,0.107,12.5,25,0.16,0.21,0.149,1.18,1.18,1.0,1.12,0.94,0.94,1950,G25,56000
35,2200,0.07,0.087,12.5,30,0.16,0.18,0.121,1.18,1.18,1.0,1.12,0.94,0.94,2330,G30,77000
35,2500,0.062,0.076,12.5,35,0.16,0.16,0.106,1.18,1.18,1.0,1.12,0.94,0.94,2620,G35,87500
35,2900,0.048,0.066,12.5,40,0.16,0.12,0.091,1.18,1.18,1.0,1.12,0.94,0.94,3160,G40,101500
35,1500,0.121,0.114,16,16,0.16,0.36,0.159,1.18,1.18,1.0,1.12,0.94,0.94,1700,J16,52500
35,2100,0.082,0.091,16,20,0.16,0.21,0.126,1.18,1.18,1.0,1.12,0.94,0.94,2230,J20,73500
35,3000,0.062,0.07,16,25,0.16,0.16,0.097,1.18,1.18,1.0,1.12,0.94,0.94,2650,J25,105000
35,4000,0.051,0.057,16,31.5,0.16,0.13,0.08,1.18,1.18,1.0,1.12,0.94,0.94,3210,J31,140000
35,4600,0.045,0.05,16,35.5,0.16,0.11,0.069,1.18,1.18,1.0,1.12,0.94,0.94,3570,J35,161000
35,5300,0.042,0.047,16,40,0.16,0.11,0.065,1.18,1.18,1.0,1.12,0.94,0.94,3880,J40,185500
35,2100,0.107,0.091,18,16,0.16,0.32,0.126,1.18,1.18,1.0,1.12,0.94,0.94,2010,K16,73500
35,3000,0.079,0.07,18,20,0.16,0.2,0.097,1.18,1.18,1.0,1.12,0.94,0.94,2500,K20,105000
35,4200,0.056,0.054,18,25,0.16,0.14,0.076,1.18,1.18,1.0,1.12,0.94,0.94,3000,K25,147000
35,5600,0.045,0.044,18,31.5,0.16,0.11,0.062,1.18,1.18,1.0,1.12,0.94,0.94,3660,K31,196000
35,6500,0.042,0.041,18,35.5,0.16,0.11,0.057,1.18,1.18,1.0,1.12,0.94,0.94,3960,K35,227500
35,7400,0.04,0.039,18,40,0.16,0.1,0.054,1.18,1.18,1.0,1.12,0.94,0.94,4300,K40,259000
