Voltage,Capacitance,ESR 20°C@100kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Ripple Current 105°C@100kHz,Size Code,VC
25,4200,0.033,0.057,16,20,0.2,0.095,0.088,1.25,1.19,1.0,1.06,2250,J20,105000
25,5300,0.029,0.048,18,20,0.2,0.082,0.075,1.25,1.19,1.0,1.06,2500,K20,132500
25,5900,0.024,0.043,16,25,0.2,0.073,0.067,1.25,1.19,1.0,1.06,2600,J25,147500
25,7500,0.022,0.038,18,25,0.2,0.063,0.06,1.25,1.19,1.0,1.06,2800,K25,187500
25,8000,0.021,0.038,16,31.5,0.2,0.052,0.06,1.25,1.19,1.0,1.06,3200,J31,200000
25,9500,0.019,0.034,18,31.5,0.2,0.046,0.053,1.25,1.19,1.0,1.06,3500,K31,237500
25,10000,0.019,0.034,16,35.5,0.2,0.045,0.053,1.25,1.19,1.0,1.06,3500,J35,250000
25,11000,0.017,0.032,18,35.5,0.2,0.04,0.051,1.25,1.19,1.0,1.06,3700,K35,275000
25,11000,0.017,0.032,16,40,0.2,0.04,0.051,1.25,1.19,1.0,1.06,3800,J40,275000
25,14000,0.015,0.029,18,40,0.2,0.035,0.045,1.25,1.19,1.0,1.06,4000,K40,350000
35,2500,0.033,0.106,16,20,0.16,0.095,0.106,,,,,2250,J20,87500
35,3100,0.029,0.094,18,20,0.16,0.082,0.094,,,,,2500,K20,108500
35,3500,0.024,0.083,16,25,0.16,0.073,0.083,,,,,2600,J25,122500
35,4500,0.022,0.071,18,25,0.16,0.063,0.071,,,,,2800,K25,157500
35,4700,0.021,0.068,16,31.5,0.16,0.052,0.068,,,,,3200,J31,164500
35,5600,0.019,0.062,18,31.5,0.16,0.046,0.062,,,,,3500,K31,196000
35,6000,0.019,0.062,16,35.5,0.16,0.045,0.062,,,,,3500,J35,210000
35,7100,0.017,0.056,18,35.5,0.16,0.04,0.056,,,,,3700,K35,248500
35,6600,0.017,0.056,16,40,0.16,0.04,0.056,,,,,3800,J40,231000
35,8400,0.015,0.051,18,40,0.16,0.035,0.051,,,,,4000,K40,294000
