Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Size Code,VC
6.3,150,0.575,0.486,0.22,5,11.5,0.22,1.945,0.8,345,317.4,172.5,251.85,C11,945
6.3,220,0.392,0.332,0.22,5,11.5,0.22,1.326,0.8,345,317.4,172.5,251.85,C11,1386
6.3,330,0.302,0.267,0.094,6.3,11.5,0.22,0.884,0.35,540,507.36,296.7,415.38,D11,2079
6.3,470,0.212,0.187,0.094,6.3,11.5,0.22,0.621,0.35,540,507.36,296.7,415.38,D11,2961
6.3,820,0.139,0.128,0.056,8,12,0.22,0.356,0.19,945,905.39,565.87,752.6,E12,5166
6.3,1200,0.104,0.095,0.045,8,15,0.22,0.265,0.15,1250,1197.6,748.5,995.51,E15,7560
6.3,1200,0.104,0.095,0.039,10,12.5,0.22,0.265,0.14,1560,1494.61,934.13,1242.4,F12,7560
6.3,1500,0.083,0.076,0.029,8,20,0.22,0.212,0.11,1500,1437.13,898.2,1194.61,E20,9450
6.3,1800,0.069,0.063,0.028,10,16,0.22,0.177,0.1,2000,1916.17,1197.6,1592.81,F16,11340
6.3,2200,0.08,0.077,0.02,10,20,0.22,0.157,0.06,2500,2447.55,1748.25,2115.38,F20,13860
6.3,2700,0.065,0.062,0.017,10,25,0.22,0.128,0.051,2900,2839.16,2027.97,2453.85,F25,17010
6.3,3900,0.049,0.047,0.017,12.5,20,0.22,0.095,0.043,2600,2545.45,1818.18,2200,G20,24570
6.3,4700,0.043,0.041,0.015,12.5,25,0.22,0.085,0.038,3200,3132.87,2237.76,2707.69,G25,29610
6.3,5600,0.039,0.037,0.013,12.5,30,0.22,0.076,0.033,3795,3715.38,2653.85,3211.15,G30,35280
6.3,6800,0.034,0.032,0.012,12.5,35,0.22,0.066,0.031,4120,4033.57,2881.12,3486.15,G35,42840
6.3,6800,0.034,0.032,0.015,16,20,0.22,0.066,0.038,3575,3500,2500,3025,J20,42840
6.3,8200,0.031,0.03,0.013,16,25,0.22,0.061,0.035,3810,3730.07,2664.34,3223.85,J25,51660
10,100,0.744,0.63,0.22,5,11.5,0.19,2.52,0.8,345,317.4,172.5,251.85,C11,1000
10,120,0.62,0.525,0.22,5,11.5,0.19,2.1,0.8,345,317.4,172.5,251.85,C11,1200
10,150,0.496,0.42,0.22,5,11.5,0.19,1.68,0.8,345,317.4,172.5,251.85,C11,1500
10,220,0.338,0.286,0.094,6.3,11.5,0.19,1.145,0.35,540,496.8,270,394.2,D11,2200
10,270,0.276,0.233,0.094,6.3,11.5,0.19,0.933,0.35,540,496.8,270,394.2,D11,2700
10,330,0.261,0.231,0.094,6.3,11.5,0.19,0.764,0.35,540,507.36,296.7,415.38,D11,3300
10,680,0.127,0.112,0.056,8,12,0.19,0.371,0.19,945,887.88,519.23,726.92,E12,6800
10,1000,0.109,0.1,0.045,8,15,0.19,0.279,0.15,1250,1197.6,748.5,995.51,E15,10000
10,1000,0.109,0.1,0.039,10,12.5,0.19,0.279,0.14,1560,1494.61,934.13,1242.4,F12,10000
10,1500,0.073,0.067,0.029,8,20,0.19,0.186,0.11,1500,1437.13,898.2,1194.61,E20,15000
10,1500,0.073,0.067,0.028,10,16,0.19,0.186,0.1,2000,1916.17,1197.6,1592.81,F16,15000
10,1800,0.06,0.055,0.02,10,20,0.19,0.155,0.06,2500,2395.21,1497.01,1991.02,F20,18000
10,2200,0.071,0.068,0.017,10,25,0.19,0.139,0.051,2900,2839.16,2027.97,2453.85,F25,22000
10,3300,0.051,0.049,0.017,12.5,20,0.19,0.1,0.043,2600,2545.45,1818.18,2200,G20,33000
10,3900,0.043,0.042,0.015,12.5,25,0.19,0.085,0.038,3200,3132.87,2237.76,2707.69,G25,39000
10,4700,0.039,0.037,0.013,12.5,30,0.19,0.076,0.033,3795,3715.38,2653.85,3211.15,G30,47000
10,4700,0.039,0.037,0.015,16,20,0.19,0.076,0.038,3575,3500,2500,3025,J20,47000
10,5600,0.035,0.034,0.012,12.5,35,0.19,0.069,0.031,4120,4033.57,2881.12,3486.15,G35,56000
10,6800,0.031,0.03,0.013,16,25,0.19,0.06,0.035,3810,3730.07,2664.34,3223.85,J25,68000
16,82,0.764,0.647,0.22,5,11.5,0.16,2.588,0.8,345,317.4,172.5,251.85,C11,1312
16,100,0.627,0.531,0.22,5,11.5,0.16,2.122,0.8,345,317.4,172.5,251.85,C11,1600
16,180,0.348,0.295,0.094,6.3,11.5,0.16,1.179,0.35,540,496.8,270,394.2,D11,2880
16,220,0.285,0.241,0.094,6.3,11.5,0.16,0.965,0.35,540,496.8,270,394.2,D11,3520
16,470,0.154,0.136,0.056,8,12,0.16,0.452,0.19,945,887.88,519.23,726.92,E12,7520
16,680,0.107,0.094,0.045,8,15,0.16,0.312,0.15,1250,1174.45,686.81,961.54,E15,10880
16,680,0.107,0.094,0.039,10,12.5,0.16,0.312,0.14,1560,1465.71,857.14,1200,F12,10880
16,1000,0.093,0.086,0.029,8,20,0.16,0.239,0.11,1500,1437.13,898.2,1194.61,E20,16000
16,1000,0.093,0.086,0.028,10,16,0.16,0.239,0.1,2000,1916.17,1197.6,1592.81,F16,16000
16,1500,0.062,0.057,0.02,10,20,0.16,0.159,0.06,2500,2395.21,1497.01,1991.02,F20,24000
16,1800,0.052,0.048,0.017,10,25,0.16,0.133,0.051,2900,2778.44,1736.53,2309.58,F25,28800
16,2200,0.062,0.059,0.017,12.5,20,0.16,0.121,0.043,2600,2545.45,1818.18,2200,G20,35200
16,2700,0.05,0.048,0.015,12.5,25,0.16,0.098,0.038,3200,3132.87,2237.76,2707.69,G25,43200
16,3300,0.045,0.043,0.013,12.5,30,0.16,0.088,0.033,3795,3715.38,2653.85,3211.15,G30,52800
16,3300,0.045,0.043,0.015,16,20,0.16,0.088,0.038,3575,3500,2500,3025,J20,52800
16,3900,0.038,0.037,0.012,12.5,35,0.16,0.075,0.031,4120,4033.57,2881.12,3486.15,G35,62400
16,4700,0.035,0.033,0.013,16,25,0.16,0.068,0.035,3810,3730.07,2664.34,3223.85,J25,75200
25,39,1.406,1.19,0.22,5,11.5,0.14,4.761,0.8,345,317.4,172.5,251.85,C11,975
25,56,0.979,0.829,0.22,5,11.5,0.14,3.316,0.8,345,317.4,172.5,251.85,C11,1400
25,68,0.807,0.683,0.22,5,11.5,0.14,2.731,0.8,345,317.4,172.5,251.85,C11,1700
25,82,0.669,0.566,0.22,5,11.5,0.14,2.264,0.8,345,317.4,172.5,251.85,C11,2050
25,100,0.548,0.464,0.094,6.3,11.5,0.14,1.857,0.35,540,496.8,270,394.2,D11,2500
25,120,0.457,0.387,0.094,6.3,11.5,0.14,1.547,0.35,540,496.8,270,394.2,D11,3000
25,150,0.366,0.309,0.094,6.3,11.5,0.14,1.238,0.35,540,496.8,270,394.2,D11,3750
25,330,0.192,0.17,0.056,8,12,0.14,0.563,0.19,945,887.88,519.23,726.92,E12,8250
25,390,0.163,0.144,0.045,8,15,0.14,0.476,0.15,1250,1174.45,686.81,961.54,E15,9750
25,470,0.135,0.119,0.039,10,12.5,0.14,0.395,0.14,1560,1465.71,857.14,1200,F12,11750
