Voltage,Capacitance,ESR 20°C@100kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Ripple Current 125°C@100kHz,Ripple Current 135°C@100kHz,Size Code,VC
25,2000,0.042,0.086,12.5,20,0.14,0.48,0.119,1.18,1.18,1.0,1.12,0.94,0.94,2760,1690,G20,50000
25,3000,0.033,0.064,12.5,25,0.14,0.3,0.088,1.18,1.18,1.0,1.12,0.94,0.94,3480,2010,G25,75000
25,3300,0.035,0.058,16,20,0.14,0.27,0.08,1.18,1.18,1.0,1.12,0.94,0.94,3040,2160,J20,82500
25,3600,0.028,0.053,12.5,30,0.14,0.24,0.074,1.18,1.18,1.0,1.12,0.94,0.94,4490,2900,G30,90000
25,4300,0.034,0.049,18,20,0.14,0.22,0.068,1.18,1.18,1.0,1.12,0.94,0.94,3250,2320,K20,107500
25,4700,0.025,0.045,12.5,35,0.14,0.21,0.062,1.18,1.18,1.0,1.12,0.94,0.94,5140,3190,G35,117500
25,4700,0.028,0.045,16,25,0.14,0.22,0.062,1.18,1.18,1.0,1.12,0.94,0.94,4260,2870,J25,117500
25,5100,0.024,0.045,12.5,40,0.14,0.19,0.062,1.18,1.18,1.0,1.12,0.94,0.94,5810,3470,G40,127500
25,5600,0.023,0.041,16,31.5,0.14,0.18,0.057,1.18,1.18,1.0,1.12,0.94,0.94,5480,3400,J31,140000
25,7500,0.02,0.036,16,35.5,0.14,0.14,0.05,1.18,1.18,1.0,1.12,0.94,0.94,6070,3630,J35,187500
25,7500,0.022,0.036,18,31.5,0.14,0.16,0.05,1.18,1.18,1.0,1.12,0.94,0.94,5600,3470,K31,187500
25,9100,0.019,0.033,16,40,0.14,0.12,0.047,1.18,1.18,1.0,1.12,0.94,0.94,6810,3930,J40,227500
25,10000,0.019,0.032,18,35.5,0.14,0.12,0.045,1.18,1.18,1.0,1.12,0.94,0.94,6280,3750,K35,250000
25,12000,0.018,0.03,18,40,0.14,0.1,0.042,1.18,1.18,1.0,1.12,0.94,0.94,7070,4080,K40,300000
35,1300,0.042,0.103,12.5,20,0.12,0.48,0.143,1.18,1.18,1.0,1.12,0.94,0.94,2760,1690,G20,45500
35,1800,0.033,0.074,12.5,25,0.12,0.3,0.103,1.18,1.18,1.0,1.12,0.94,0.94,3480,2010,G25,63000
35,2000,0.035,0.076,16,20,0.12,0.27,0.106,1.18,1.18,1.0,1.12,0.94,0.94,3040,2160,J20,70000
35,2200,0.028,0.069,12.5,30,0.12,0.24,0.096,1.18,1.18,1.0,1.12,0.94,0.94,4490,2900,G30,77000
35,2400,0.034,0.064,18,20,0.12,0.22,0.088,1.18,1.18,1.0,1.12,0.94,0.94,3250,2320,K20,84000
35,2700,0.025,0.056,12.5,35,0.12,0.21,0.079,1.18,1.18,1.0,1.12,0.94,0.94,5140,3190,G35,94500
35,3000,0.028,0.057,16,25,0.12,0.22,0.08,1.18,1.18,1.0,1.12,0.94,0.94,4260,2870,J25,105000
35,3300,0.024,0.052,12.5,40,0.12,0.19,0.072,1.18,1.18,1.0,1.12,0.94,0.94,5810,3470,G40,115500
35,3600,0.023,0.048,16,31.5,0.12,0.18,0.066,1.18,1.18,1.0,1.12,0.94,0.94,5480,3400,J31,126000
35,3900,0.027,0.044,18,25,0.12,0.19,0.061,1.18,1.18,1.0,1.12,0.94,0.94,4500,2900,K25,136500
35,4300,0.02,0.044,16,35.5,0.12,0.14,0.062,1.18,1.18,1.0,1.12,0.94,0.94,6070,3630,J35,150500
35,4700,0.022,0.041,18,31.5,0.12,0.16,0.056,1.18,1.18,1.0,1.12,0.94,0.94,5600,3470,K31,164500
35,5600,0.019,0.037,16,40,0.12,0.12,0.052,1.18,1.18,1.0,1.12,0.94,0.94,6810,3930,J40,196000
35,6200,0.019,0.037,18,35.5,0.12,0.12,0.051,1.18,1.18,1.0,1.12,0.94,0.94,6280,3750,K35,217000
35,7500,0.018,0.033,18,40,0.12,0.1,0.046,1.18,1.18,1.0,1.12,0.94,0.94,7070,4080,K40,262500
50,620,0.073,0.121,12.5,20,0.1,0.88,0.214,1.33,1.33,1.0,1.2,0.93,0.93,2400,1470,G20,31000
50,820,0.058,0.091,12.5,25,0.1,0.67,0.162,1.33,1.33,1.0,1.2,0.93,0.93,3350,2260,G25,41000
50,1000,0.05,0.09,16,20,0.1,0.55,0.159,1.33,1.33,1.0,1.2,0.93,0.93,2960,1870,J20,50000
50,1100,0.048,0.104,12.5,30,0.1,0.52,0.145,1.18,1.18,1.0,1.12,0.94,0.94,4220,2520,G30,55000
50,1300,0.042,0.088,12.5,35,0.1,0.44,0.122,1.18,1.18,1.0,1.12,0.94,0.94,4810,2780,G35,65000
50,1300,0.042,0.088,16,25,0.1,0.44,0.122,1.18,1.18,1.0,1.12,0.94,0.94,4040,2500,J25,65000
50,1300,0.042,0.088,18,20,0.1,0.44,0.122,1.18,1.18,1.0,1.12,0.94,0.94,3130,2110,K20,65000
50,1600,0.037,0.071,12.5,40,0.1,0.36,0.099,1.18,1.18,1.0,1.12,0.94,0.94,5240,3020,G40,80000
50,1600,0.035,0.071,16,31.5,0.1,0.36,0.099,1.18,1.18,1.0,1.12,0.94,0.94,5130,2960,J31,80000
50,1800,0.033,0.064,18,25,0.1,0.32,0.088,1.18,1.18,1.0,1.12,0.94,0.94,4230,2530,K25,90000
