Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Size Code,VC
50,1200,0.095,0.095,0.048,16,31.5,0.1,0.2,0.133,2940,2940,2491.53,2790.51,J31,60000
35,1500,0.089,0.089,0.024,16,31.5,0.12,0.14,0.124,3160,3160,2677.97,2999.32,J31,52500
50,1500,0.076,0.076,0.039,16,35.5,0.1,0.16,0.106,3300,3300,2796.61,3132.2,J35,75000
35,2200,0.069,0.069,0.023,16,35.5,0.12,0.13,0.096,3590,3590,3042.37,3407.46,J35,77000
50,2200,0.061,0.061,0.033,18,35.5,0.1,0.15,0.084,3520,3520,2983.05,3341.02,K35,110000
25,2700,0.064,0.064,0.024,16,31.5,0.14,0.14,0.088,3160,3160,2677.97,2999.32,J31,67500
35,2700,0.056,0.056,0.02,18,31.5,0.12,0.11,0.079,3410,3410,2889.83,3236.61,K31,94500
25,3300,0.058,0.058,0.023,16,35.5,0.14,0.13,0.08,3590,3590,3042.37,3407.46,J35,82500
35,3300,0.052,0.052,0.019,18,35.5,0.12,0.1,0.072,3840,3840,3254.24,3644.75,K35,115500
25,4700,0.045,0.045,0.02,18,31.5,0.14,0.11,0.062,3410,3410,2889.83,3236.61,K31,117500
35,4700,0.041,0.041,0.017,18,40,0.12,0.094,0.056,4250,4250,3601.69,4033.9,K40,164500
25,5600,0.041,0.041,0.019,18,35.5,0.14,0.1,0.057,3840,3840,3254.24,3644.75,K35,140000
25,6800,0.036,0.036,0.017,18,40,0.14,0.094,0.051,4250,4250,3601.69,4033.9,K40,170000
