Voltage,Capacitance,ESR 20°C@100kHz,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Ripple Current 125°C@100kHz,Ripple Current 135°C@100kHz,Size Code,VC
25,1800,0.033,0.085,0.085,12.5,25,0.14,0.3,0.118,1.18,1.18,1.0,1.12,3480,2010,G25,45000
25,2200,0.028,0.078,0.078,12.5,30,0.14,0.24,0.109,1.18,1.18,1.0,1.12,4490,2900,G30,55000
25,2700,0.025,0.064,0.064,12.5,35,0.14,0.21,0.088,1.18,1.18,1.0,1.12,5140,3190,G35,67500
25,3300,0.024,0.058,0.058,12.5,40,0.14,0.19,0.08,1.18,1.18,1.0,1.12,5810,3470,G40,82500
25,4700,0.023,0.045,0.045,16,31.5,0.14,0.18,0.062,1.18,1.18,1.0,1.12,5480,3400,J31,117500
25,5400,0.02,0.042,0.042,16,35.5,0.14,0.14,0.059,1.18,1.18,1.0,1.12,6070,3630,J35,135000
25,6200,0.019,0.04,0.04,16,40,0.14,0.12,0.056,1.18,1.18,1.0,1.12,6810,3930,J40,155000
25,6200,0.022,0.04,0.04,18,31.5,0.14,0.16,0.056,1.18,1.18,1.0,1.12,5600,3470,K31,155000
25,7800,0.019,0.034,0.034,18,35.5,0.14,0.12,0.048,1.18,1.18,1.0,1.12,6280,3750,K35,195000
25,8200,0.018,0.035,0.035,18,40,0.14,0.1,0.049,1.18,1.18,1.0,1.12,7070,4080,K40,205000
35,1100,0.033,0.121,0.121,12.5,25,0.12,0.3,0.169,1.18,1.18,1.0,1.12,3480,2010,G25,38500
35,1500,0.028,0.089,0.089,12.5,30,0.12,0.24,0.124,1.18,1.18,1.0,1.12,4490,2900,G30,52500
35,1800,0.025,0.074,0.074,12.5,35,0.12,0.21,0.103,1.18,1.18,1.0,1.12,5140,3190,G35,63000
35,2000,0.024,0.076,0.076,12.5,40,0.12,0.19,0.106,1.18,1.18,1.0,1.12,5810,3470,G40,70000
35,2700,0.023,0.056,0.056,16,31.5,0.12,0.18,0.079,1.18,1.18,1.0,1.12,5480,3400,J31,94500
35,3100,0.02,0.055,0.055,16,35.5,0.12,0.14,0.077,1.18,1.18,1.0,1.12,6070,3630,J35,108500
35,3600,0.019,0.048,0.048,16,40,0.12,0.12,0.066,1.18,1.18,1.0,1.12,6810,3930,J40,126000
35,3600,0.022,0.048,0.048,18,31.5,0.12,0.16,0.066,1.18,1.18,1.0,1.12,5600,3470,K31,126000
35,4700,0.019,0.041,0.041,18,35.5,0.12,0.12,0.056,1.18,1.18,1.0,1.12,6280,3750,K35,164500
35,5400,0.018,0.039,0.039,18,40,0.12,0.1,0.054,1.18,1.18,1.0,1.12,7070,4080,K40,189000
50,560,0.079,0.134,0.134,12.5,25,0.1,0.39,0.237,1.33,1.33,1.0,1.2,3350,2260,G25,28000
50,750,0.065,0.1,0.1,12.5,30,0.1,0.3,0.177,1.33,1.33,1.0,1.2,4220,2520,G30,37500
50,900,0.057,0.083,0.083,12.5,35,0.1,0.25,0.147,1.33,1.33,1.0,1.2,4810,2780,G35,45000
