Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
4,560,0.01,8,11.5,-55,105,0.08,0.189,2000,336,2000,RNS0G561MDN1,Uni-Polar,Radial Lead,Standard,5230,MP,Normal,0.93
4,820,0.01,10,12.5,-55,105,0.08,0.129,2000,492,1600,RNS0G821MDN1,Uni-Polar,Radial Lead,Standard,5500,MP,Normal,1.35
4,1200,0.01,10,12.5,-55,105,0.15,0.188,2000,720,1600,RNS0G122MDN1,Uni-Polar,Radial Lead,Standard,5500,MP,Normal,1.35
6.3,47,0.042,6.3,7,-55,105,0.07,1.975,2000,50,4000,RNS0J470MDS1,Uni-Polar,Radial Lead,Standard,2050,MP,Normal,0.39
6.3,150,0.021,8,11.5,-55,105,0.07,0.619,2000,141,2000,RNS0J151MDN1,Uni-Polar,Radial Lead,Standard,3900,MP,Normal,0.93
6.3,220,0.021,8,11.5,-55,105,0.07,0.422,2000,207,2000,RNS0J221MDN1,Uni-Polar,Radial Lead,Standard,3900,MP,Normal,0.93
6.3,330,0.01,10,12.5,-55,105,0.07,0.281,2000,311,1600,RNS0J331MDN1,Uni-Polar,Radial Lead,Standard,5500,MP,Normal,1.35
6.3,390,0.01,8,11.5,-55,105,0.08,0.272,2000,368,2000,RNS0J391MDN1,Uni-Polar,Radial Lead,Standard,5230,MP,Normal,0.93
6.3,680,0.01,10,12.5,-55,105,0.08,0.156,2000,642,1600,RNS0J681MDN1,Uni-Polar,Radial Lead,Standard,5500,MP,Normal,1.35
6.3,820,0.01,10,12.5,-55,105,0.12,0.194,2000,774,1600,RNS0J821MDN1,Uni-Polar,Radial Lead,Standard,5500,MP,Normal,1.35
6.3,1000,0.01,10,12.5,-55,105,0.12,0.186,2000,945,1600,RNS0J102MDN1,Uni-Polar,Radial Lead,Standard,5500,MP,Normal,1.35
10,33,0.049,6.3,7,-55,105,0.07,2.813,2000,50,4000,RNS1A330MDS1,Uni-Polar,Radial Lead,Standard,1900,MP,Normal,0.39
10,68,0.035,6.3,10,-55,105,0.07,1.365,2000,102,3200,RNS1A680MDS1,Uni-Polar,Radial Lead,Standard,2650,MP,Normal,0.54
10,100,0.021,8,11.5,-55,105,0.07,0.928,2000,150,2000,RNS1A101MDN1,Uni-Polar,Radial Lead,Standard,3900,MP,Normal,0.93
10,220,0.01,10,12.5,-55,105,0.07,0.422,2000,330,1600,RNS1A221MDN1,Uni-Polar,Radial Lead,Standard,5500,MP,Normal,1.35
10,470,0.01,10,12.5,-55,105,0.08,0.226,2000,705,1600,RNS1A471MDN1,Uni-Polar,Radial Lead,Standard,5500,MP,Normal,1.35
16,22,0.049,6.3,7,-55,105,0.06,3.617,2000,52,4000,RNS1C220MDS1,Uni-Polar,Radial Lead,Standard,1900,MP,Normal,0.39
16,33,0.049,6.3,7,-55,105,0.06,2.411,2000,79,4000,RNS1C330MDS1,Uni-Polar,Radial Lead,Standard,1900,MP,Normal,0.39
16,47,0.042,6.3,10,-55,105,0.06,1.693,2000,112,3200,RNS1C470MDS1,Uni-Polar,Radial Lead,Standard,2400,MP,Normal,0.54
16,68,0.025,8,11.5,-55,105,0.06,1.17,2000,163,2000,RNS1C680MDN1,Uni-Polar,Radial Lead,Standard,3600,MP,Normal,0.93
16,100,0.021,8,11.5,-55,105,0.06,0.796,2000,240,2000,RNS1C101MDN1,Uni-Polar,Radial Lead,Standard,3900,MP,Normal,0.93
16,150,0.01,10,12.5,-55,105,0.06,0.531,2000,360,1600,RNS1C151MDN1,Uni-Polar,Radial Lead,Standard,5500,MP,Normal,1.35
16,180,0.016,8,11.5,-55,105,0.08,0.589,2000,432,2000,RNS1C181MDN1,Uni-Polar,Radial Lead,Standard,4700,MP,Normal,0.93
16,330,0.01,10,12.5,-55,105,0.08,0.322,2000,792,1600,RNS1C331MDN1,Uni-Polar,Radial Lead,Standard,5500,MP,Normal,1.35
