Voltage,Capacitance,ESR 20°C@100kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Ripple Current 125°C@100kHz,Size Code,VC
10,1000,0.059,0.165,12.5,15,0.2,0.292,1.33,1.33,1.0,1.2,0.93,0.93,1380,G15,10000
10,2200,0.032,0.104,12.5,25,0.2,0.145,1.18,1.18,1.0,1.12,0.94,0.94,2400,G25,22000
10,2200,0.032,0.104,16,20,0.2,0.145,1.18,1.18,1.0,1.12,0.94,0.94,2280,J20,22000
10,2200,0.041,0.104,18,16,0.2,0.145,1.18,1.18,1.0,1.12,0.94,0.94,2170,K16,22000
10,3300,0.024,0.075,16,25,0.2,0.104,1.18,1.18,1.0,1.12,0.94,0.94,3100,J25,33000
10,3300,0.029,0.075,18,20,0.2,0.104,1.18,1.18,1.0,1.12,0.94,0.94,2490,K20,33000
10,4700,0.02,0.057,16,31.5,0.2,0.079,1.18,1.18,1.0,1.12,0.94,0.94,3160,J31,47000
10,4700,0.022,0.057,18,25,0.2,0.079,1.18,1.18,1.0,1.12,0.94,0.94,3200,K25,47000
16,470,0.04,0.255,12.5,20,0.16,0.452,1.33,1.33,1.0,1.2,0.93,0.93,1820,G20,7520
16,1000,0.04,0.135,12.5,20,0.16,0.239,1.33,1.33,1.0,1.2,0.93,0.93,1820,G20,16000
16,1000,0.044,0.135,16,16,0.16,0.239,1.33,1.33,1.0,1.2,0.93,0.93,1930,J16,16000
16,2200,0.032,0.087,12.5,25,0.16,0.121,1.18,1.18,1.0,1.12,0.94,0.94,2400,G25,35200
16,2200,0.024,0.087,16,25,0.16,0.121,1.18,1.18,1.0,1.12,0.94,0.94,3100,J25,35200
16,2200,0.029,0.087,18,20,0.16,0.121,1.18,1.18,1.0,1.12,0.94,0.94,2490,K20,35200
16,3300,0.02,0.064,16,31.5,0.16,0.088,1.18,1.18,1.0,1.12,0.94,0.94,3160,J31,52800
16,3300,0.022,0.064,18,25,0.16,0.088,1.18,1.18,1.0,1.12,0.94,0.94,3200,K25,52800
16,3900,0.019,0.054,16,35.5,0.16,0.075,1.18,1.18,1.0,1.12,0.94,0.94,3590,J35,62400
16,3900,0.018,0.054,18,31.5,0.16,0.075,1.18,1.18,1.0,1.12,0.94,0.94,3410,K31,62400
25,470,0.04,0.223,12.5,20,0.14,0.395,1.33,1.33,1.0,1.2,0.93,0.93,1820,G20,11750
25,1000,0.032,0.12,12.5,25,0.14,0.212,1.33,1.33,1.0,1.2,0.93,0.93,2400,G25,25000
25,1000,0.044,0.12,16,16,0.14,0.212,1.33,1.33,1.0,1.2,0.93,0.93,1930,J16,25000
